Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,6.72,6.83,6.45,6.46,4424500,0.0,0.0
2025-10-09,6.79,7.01,6.71,6.8,3775300,0.0,0.0
2025-10-08,7.26,7.39,6.65,6.66,7429500,0.0,0.0
2025-10-07,7.41,7.46,7.11,7.44,4584900,0.0,0.0
2025-10-06,7.13,7.38,6.89,7.34,7546300,0.0,0.0
2025-10-03,6.59,7.17,6.55,7.04,5286700,0.0,0.0
2025-10-02,6.59,6.66,6.5,6.55,2702100,0.0,0.0
2025-10-01,6.73,6.83,6.45,6.6,4320500,0.0,0.0
2025-09-30,6.9,6.98,6.7,6.79,2749600,0.0,0.0
2025-09-29,7.03,7.09,6.76,6.95,3274200,0.0,0.0
2025-09-26,7.05,7.39,6.99,7.04,5110900,0.0,0.0
2025-09-25,6.95,7.09,6.78,6.87,3325500,0.0,0.0
2025-09-24,6.86,7.22,6.82,7.03,4002700,0.0,0.0
2025-09-23,6.85,7.16,6.81,6.92,4334900,0.0,0.0
2025-09-22,6.58,6.95,6.55,6.88,5625800,0.0,0.0
2025-09-19,6.69,6.91,6.51,6.58,7969100,0.0,0.0
2025-09-18,6.54,6.7,6.37,6.45,5961500,0.0,0.0
2025-09-17,6.93,7.05,6.52,6.53,7124800,0.0,0.0
2025-09-16,6.91,7.04,6.72,6.97,5546400,0.0,0.0
2025-09-15,7.08,7.12,6.4,6.74,9185800,0.0,0.0
2025-09-12,7.42,7.59,6.83,6.84,10200400,0.0,0.0
2025-09-11,8.11,8.11,7.41,7.66,9183900,0.0,0.0
2025-09-10,9.97,9.99,7.8,8.09,17186400,0.0,0.0
2025-09-09,10.19,10.53,9.93,9.94,2152200,0.0,0.0
2025-09-08,10.8,10.84,10.07,10.09,3767300,0.0,0.0
2025-09-05,10.31,10.7,10.05,10.69,2521200,0.0,0.0
2025-09-04,11.06,11.27,10.17,10.46,3949700,0.0,0.0
2025-09-03,10.69,10.83,10.44,10.45,1627000,0.0,0.0
2025-09-02,10.93,10.93,10.6,10.69,1561400,0.0,0.0
2025-08-29,10.62,10.9,10.52,10.72,2766900,0.0,0.0
2025-08-28,10.66,10.91,10.55,10.61,2606900,0.0,0.0
2025-08-27,10.3,11.26,10.3,10.61,4062800,0.0,0.0
2025-08-26,10.49,10.72,10.28,10.35,2325600,0.0,0.0
2025-08-25,10.28,10.56,10.23,10.43,1616500,0.0,0.0
2025-08-22,10.3,10.42,10.1,10.24,2502100,0.0,0.0
2025-08-21,10.02,10.39,9.95,10.31,3397000,0.0,0.0
2025-08-20,9.55,10.09,9.34,10.03,2555700,0.0,0.0
2025-08-19,9.62,9.77,9.48,9.49,1834100,0.0,0.0
2025-08-18,9.68,9.85,9.56,9.71,1932600,0.0,0.0
2025-08-15,10.0,10.07,9.72,9.73,2173900,0.0,0.0
2025-08-14,10.15,10.28,9.89,9.97,2091600,0.0,0.0
2025-08-13,10.55,10.58,10.0,10.22,2499300,0.0,0.0
2025-08-12,10.7,10.95,10.33,10.46,2050100,0.0,0.0
2025-08-11,10.41,10.72,10.33,10.7,2694000,0.0,0.0
2025-08-08,10.53,10.76,10.28,10.34,2844900,0.0,0.0
2025-08-07,11.09,11.23,10.4,10.45,2906700,0.0,0.0
2025-08-06,11.06,11.28,10.27,10.99,4911400,0.0,0.0
2025-08-05,11.23,11.26,10.73,11.06,2637700,0.0,0.0
2025-08-04,11.2,11.22,11.02,11.2,1667800,0.0,0.0
2025-08-01,11.1,11.35,10.67,11.1,2408200,0.0,0.0
2025-07-31,11.23,11.59,11.13,11.36,2023000,0.0,0.0
2025-07-30,11.5,11.61,11.11,11.34,2268300,0.0,0.0
2025-07-29,11.4,11.54,11.18,11.43,1844100,0.0,0.0
2025-07-28,11.5,11.85,11.24,11.39,2561000,0.0,0.0
2025-07-25,11.76,11.77,11.22,11.32,2024900,0.0,0.0
2025-07-24,11.21,11.61,11.12,11.5,1935400,0.0,0.0
2025-07-23,11.09,11.49,11.06,11.24,1735600,0.0,0.0
2025-07-22,11.38,11.46,11.07,11.09,2369500,0.0,0.0
