Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,9.77,10.0,9.62,9.7,3612400,0.0,0.0
2025-10-09,10.36,10.36,9.67,9.75,3673500,0.0,0.0
2025-10-08,10.32,10.44,10.07,10.31,4483700,0.0,0.0
2025-10-07,9.72,10.16,9.59,10.07,4671200,0.0,0.0
2025-10-06,10.2,10.34,9.63,9.66,4593900,0.0,0.0
2025-10-03,9.83,10.39,9.83,9.99,6662000,0.0,0.0
2025-10-02,10.22,10.44,9.32,9.65,7572000,0.0,0.0
2025-10-01,8.67,10.16,8.27,10.12,9146700,0.0,0.0
2025-09-30,8.49,9.06,8.47,8.8,5489800,0.0,0.0
2025-09-29,8.58,8.58,8.34,8.48,3259000,0.0,0.0
2025-09-26,7.99,8.33,7.97,8.3,3006900,0.0,0.0
2025-09-25,7.73,7.97,7.61,7.94,4100300,0.0,0.0
2025-09-24,7.75,7.86,7.6,7.68,3082000,0.0,0.0
2025-09-23,7.7,8.06,7.67,7.73,4759800,0.0,0.0
2025-09-22,7.6,7.81,7.51,7.64,3671000,0.0,0.0
2025-09-19,7.26,7.55,7.26,7.53,12692700,0.0,0.0
2025-09-18,7.05,7.27,6.9,7.25,2944200,0.0,0.0
2025-09-17,7.0,7.36,6.95,7.04,3274800,0.0,0.0
2025-09-16,7.28,7.31,7.11,7.14,4534200,0.0,0.0
2025-09-15,6.96,7.33,6.92,7.3,3274800,0.0,0.0
2025-09-12,7.05,7.05,6.83,6.92,3090300,0.0,0.0
2025-09-11,6.7,7.05,6.59,6.98,3405000,0.0,0.0
2025-09-10,6.76,6.98,6.59,6.61,3949800,0.0,0.0
2025-09-09,6.76,6.86,6.64,6.74,3432700,0.0,0.0
2025-09-08,6.83,6.89,6.67,6.73,3130500,0.0,0.0
2025-09-05,6.85,6.87,6.67,6.76,4043800,0.0,0.0
2025-09-04,6.67,6.78,6.56,6.75,2508100,0.0,0.0
2025-09-03,6.79,6.85,6.59,6.7,3062200,0.0,0.0
2025-09-02,6.9,6.95,6.55,6.69,4487600,0.0,0.0
2025-08-29,6.59,6.94,6.47,6.84,3796000,0.0,0.0
2025-08-28,6.6,6.68,6.44,6.46,2120200,0.0,0.0
2025-08-27,6.54,6.6,6.41,6.59,1868400,0.0,0.0
2025-08-26,6.45,6.63,6.4,6.56,2684400,0.0,0.0
