Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,68.18,68.49,64.88,65.22,18737800,0.0,0.0
2025-10-09,69.55,69.66,67.89,68.06,13410900,0.0,0.0
2025-10-08,68.91,69.43,68.67,69.09,13051800,0.0,0.0
2025-10-07,71.23,71.58,68.9,68.91,17368000,0.0,0.0
2025-10-06,72.02,72.39,71.01,71.17,14039600,0.0,0.0
2025-10-03,74.78,74.78,71.92,71.93,18794900,0.0,0.0
2025-10-02,75.0,76.97,73.88,74.57,26254400,0.0,0.0
2025-10-01,74.35,74.69,71.61,74.2,57921900,0.0,0.0
2025-09-30,70.07,70.21,68.82,69.73,40567700,0.0,0.0
2025-09-29,69.77,69.96,68.74,69.55,18479300,0.0,0.0
2025-09-26,69.38,69.44,68.03,69.31,15627600,0.0,0.0
2025-09-25,71.16,71.16,69.05,69.24,13075300,0.0,0.0
2025-09-24,70.67,71.53,70.45,71.22,10024500,0.0,0.0
2025-09-23,71.57,72.42,70.73,70.93,10432400,0.0,0.0
2025-09-22,70.79,72.49,70.43,71.28,12336300,0.0,0.0
2025-09-19,72.01,72.25,70.74,70.89,33415600,0.0,0.0
2025-09-18,73.44,73.6,71.63,72.1,14918400,0.0,0.0
2025-09-17,73.07,73.32,71.61,72.31,11108700,0.0,0.0
2025-09-16,72.8,73.38,72.09,72.75,8813600,0.0,0.0
2025-09-15,73.18,73.21,72.58,73.03,10323800,0.0,0.0
2025-09-12,74.24,74.28,71.93,73.0,11806000,0.0,0.0
2025-09-11,74.41,75.53,74.01,74.33,9803400,0.0,0.0
2025-09-10,75.25,75.46,73.33,74.25,11359300,0.0,0.0
2025-09-09,73.99,74.55,73.05,73.6,8740200,0.0,0.0
2025-09-08,74.26,74.58,73.71,74.15,13793300,0.0,0.0
2025-09-05,74.8,75.41,73.63,73.91,13758400,0.0,0.0
2025-09-04,74.75,75.77,74.51,75.35,11096200,0.0,0.0
2025-09-03,74.4,75.18,73.91,74.74,8300100,0.0,0.0
2025-09-02,75.64,76.05,74.0,74.29,15078700,0.4,0.0
2025-08-29,77.35,78.72,76.72,76.97,14208800,0.0,0.0
2025-08-28,78.17,78.25,77.32,77.52,7478600,0.0,0.0
2025-08-27,78.55,79.1,77.25,77.66,12636700,0.0,0.0
2025-08-26,78.59,79.07,77.97,78.24,6874800,0.0,0.0
2025-08-25,78.06,79.76,77.98,78.76,12488900,0.0,0.0
2025-08-22,76.14,78.73,75.86,77.97,10985900,0.0,0.0
2025-08-21,75.31,75.84,74.74,75.79,6354900,0.0,0.0
2025-08-20,76.29,77.16,75.77,75.87,6282600,0.0,0.0
2025-08-19,77.8,78.38,76.28,76.48,7684800,0.0,0.0
2025-08-18,76.71,77.86,76.45,77.03,9069100,0.0,0.0
2025-08-15,76.34,77.1,75.77,76.57,9767700,0.0,0.0
2025-08-14,75.52,76.2,74.96,76.0,7990500,0.0,0.0
2025-08-13,75.09,77.29,74.8,76.8,13472600,0.0,0.0
2025-08-12,74.33,75.33,73.96,74.51,6397700,0.0,0.0
2025-08-11,73.94,74.4,72.67,73.64,6985700,0.0,0.0
2025-08-08,73.82,74.57,73.01,73.81,6739000,0.0,0.0
2025-08-07,75.93,75.96,73.62,73.97,8717600,0.0,0.0
2025-08-06,74.08,75.59,73.87,75.09,7579800,0.0,0.0
2025-08-05,74.52,75.32,73.86,74.0,6533800,0.0,0.0
2025-08-04,74.64,74.87,73.78,74.43,8839000,0.0,0.0
2025-08-01,73.06,74.31,72.16,74.23,11911600,0.0,0.0
2025-07-31,75.96,76.01,73.93,74.3,16700000,0.0,0.0
2025-07-30,77.38,77.9,75.57,76.28,14601700,0.0,0.0
2025-07-29,78.35,78.96,77.36,77.93,12885500,0.0,0.0
2025-07-28,78.59,79.58,77.16,78.83,22631100,0.0,0.0
2025-07-25,75.52,76.17,75.14,75.88,7208400,0.0,0.0
2025-07-24,76.11,77.14,75.02,75.03,10037800,0.0,0.0
2025-07-23,75.76,76.81,75.43,76.35,16428100,0.0,0.0
2025-07-22,73.69,75.15,73.66,75.0,11297500,0.0,0.0
2025-07-21,72.55,74.42,72.53,73.64,12743900,0.0,0.0
2025-07-18,72.9,72.9,71.75,72.1,8801000,0.0,0.0
2025-07-17,71.75,72.83,71.67,72.6,9180400,0.0,0.0
2025-07-16,71.53,72.33,70.78,71.73,9008600,0.0,0.0
2025-07-15,71.89,72.5,71.21,71.62,9708300,0.0,0.0
2025-07-14,71.97,72.2,70.66,71.88,11385400,0.0,0.0
2025-07-11,73.31,73.46,72.03,72.25,12771400,0.0,0.0
2025-07-10,72.74,75.11,72.57,74.23,13033000,0.0,0.0
2025-07-09,73.75,74.53,73.04,73.18,12076700,0.0,0.0
2025-07-08,75.74,75.91,73.27,73.54,19572400,0.0,0.0
2025-07-07,75.65,77.1,75.46,76.13,17296900,0.0,0.0
2025-07-03,75.88,76.63,75.19,76.0,12022600,0.0,0.0
2025-07-02,72.79,76.44,72.62,76.0,36882300,0.0,0.0
2025-07-01,71.62,73.56,71.46,73.03,27512900,0.0,0.0
2025-06-30,71.08,71.34,69.7,70.67,31090400,0.0,0.0
2025-06-27,69.43,73.81,69.33,71.67,117530300,0.0,0.0
2025-06-26,61.24,62.41,60.51,62.22,39659800,0.0,0.0
2025-06-25,61.13,61.21,60.05,60.52,12186200,0.0,0.0
2025-06-24,61.01,61.66,60.17,61.1,12564000,0.0,0.0
2025-06-23,59.27,60.98,59.13,60.47,15921300,0.0,0.0
2025-06-20,59.44,59.73,58.88,59.48,19084000,0.0,0.0
2025-06-18,59.69,60.14,59.06,59.2,14194300,0.0,0.0
2025-06-17,60.98,60.98,59.37,59.69,13649700,0.0,0.0
2025-06-16,61.06,61.86,60.92,61.58,13681600,0.0,0.0
2025-06-13,61.43,62.46,59.8,60.22,16509700,0.0,0.0
2025-06-12,62.42,62.6,61.44,62.48,9830500,0.0,0.0
2025-06-11,64.07,64.51,62.26,62.78,10238700,0.0,0.0
2025-06-10,62.06,63.83,61.93,63.54,15287000,0.0,0.0
2025-06-09,62.97,63.16,61.56,61.59,11640000,0.0,0.0
2025-06-06,62.35,62.76,61.8,62.48,13299600,0.0,0.0
2025-06-05,62.61,63.33,61.91,62.35,12336300,0.0,0.0
2025-06-04,62.06,62.71,61.95,62.45,10242300,0.0,0.0
2025-06-03,60.92,62.13,60.15,62.05,10286100,0.0,0.0
2025-06-02,59.74,61.28,59.29,61.25,14065300,0.4,0.0
2025-05-30,60.28,60.4,59.39,59.88,18155100,0.0,0.0
2025-05-29,61.76,62.16,60.41,60.72,12218000,0.0,0.0
2025-05-28,62.0,62.37,60.84,61.05,10015600,0.0,0.0
2025-05-27,60.41,62.1,60.13,62.09,16642100,0.0,0.0
2025-05-23,59.16,59.67,58.79,59.32,14282400,0.0,0.0
2025-05-22,59.87,60.9,59.45,60.6,16764500,0.0,0.0
2025-05-21,60.45,61.04,59.18,59.28,17354700,0.0,0.0
2025-05-20,61.77,62.45,61.55,61.83,10771800,0.0,0.0
2025-05-19,61.42,61.7,61.04,61.35,15105300,0.0,0.0
2025-05-16,61.77,63.0,61.77,62.37,12950600,0.0,0.0
2025-05-15,59.93,61.94,59.71,61.67,14371100,0.0,0.0
2025-05-14,61.32,62.13,60.8,61.01,13736300,0.0,0.0
2025-05-13,61.88,62.04,61.24,61.66,17003100,0.0,0.0
2025-05-12,61.65,62.73,61.08,61.85,29776600,0.0,0.0
2025-05-09,58.45,58.68,57.54,57.62,13954400,0.0,0.0
2025-05-08,58.99,59.68,58.11,58.22,19009000,0.0,0.0
2025-05-07,57.19,58.12,56.88,57.93,11883500,0.0,0.0
2025-05-06,56.48,57.04,56.12,56.37,11440300,0.0,0.0
2025-05-05,57.44,57.66,56.62,56.68,15971000,0.0,0.0
2025-05-02,57.19,58.01,56.64,57.9,14723900,0.0,0.0
2025-05-01,56.01,56.54,55.6,56.09,10527000,0.0,0.0
2025-04-30,55.2,55.93,54.11,55.74,17205900,0.0,0.0
2025-04-29,56.33,57.06,56.07,56.86,12968000,0.0,0.0
2025-04-28,57.05,57.4,56.13,56.64,13321200,0.0,0.0
2025-04-25,57.53,57.57,55.95,56.94,17156000,0.0,0.0
2025-04-24,57.13,58.01,56.46,57.79,14508500,0.0,0.0
2025-04-23,58.31,58.51,56.03,56.72,21660300,0.0,0.0
2025-04-22,55.99,57.41,55.58,56.39,16852200,0.0,0.0
2025-04-21,54.58,55.7,52.87,55.46,17280900,0.0,0.0
2025-04-17,53.19,55.36,53.02,55.11,18935100,0.0,0.0
2025-04-16,54.08,54.5,52.71,52.92,19094900,0.0,0.0
2025-04-15,54.04,54.74,53.53,54.19,15977100,0.0,0.0
2025-04-14,54.99,56.02,54.03,54.76,28346600,0.0,0.0
2025-04-11,53.76,54.38,52.24,53.75,22617100,0.0,0.0
2025-04-10,56.56,56.58,51.67,53.76,53919800,0.0,0.0
2025-04-09,52.65,58.85,51.86,58.62,44732500,0.0,0.0
2025-04-08,58.08,58.08,51.76,52.64,30404300,0.0,0.0
2025-04-07,54.75,56.51,52.77,54.96,45374400,0.0,0.0
2025-04-04,52.6,58.52,51.88,56.58,67775700,0.0,0.0
2025-04-03,55.71,57.99,54.75,54.93,71499500,0.0,0.0
2025-04-02,63.55,64.63,63.41,64.2,11161400,0.0,0.0
2025-04-01,63.08,64.4,62.56,64.0,13489500,0.0,0.0
2025-03-31,62.1,63.24,61.91,62.73,17400000,0.0,0.0
2025-03-28,65.09,65.09,62.4,62.55,19600300,0.0,0.0
2025-03-27,64.73,66.31,64.52,65.03,16435800,0.0,0.0
2025-03-26,65.6,65.81,64.19,64.97,18688300,0.0,0.0
2025-03-25,66.77,67.25,65.46,65.76,17394100,0.0,0.0
2025-03-24,67.76,68.08,65.91,66.6,26552500,0.0,0.0
2025-03-21,65.81,67.92,64.41,67.14,77287000,0.0,0.0
2025-03-20,72.06,72.79,70.68,71.02,25202300,0.0,0.0
2025-03-19,71.79,72.57,71.44,72.13,10830500,0.0,0.0
2025-03-18,73.02,73.29,71.87,72.45,8972300,0.0,0.0
2025-03-17,71.29,73.08,71.18,72.83,15996900,0.0,0.0
2025-03-14,72.42,72.68,70.48,70.82,12183000,0.0,0.0
2025-03-13,72.32,73.07,70.83,71.79,10195900,0.0,0.0
2025-03-12,73.49,73.63,72.37,72.72,12304900,0.0,0.0
2025-03-11,75.02,75.19,72.76,73.3,12837000,0.0,0.0
2025-03-10,76.6,79.25,75.17,75.5,15822600,0.0,0.0
2025-03-07,76.57,78.07,76.07,77.67,9294300,0.0,0.0
2025-03-06,75.84,77.41,75.84,76.8,9623700,0.0,0.0
2025-03-05,76.42,77.39,75.56,76.9,9853600,0.0,0.0
2025-03-04,76.79,77.73,75.88,76.41,10034100,0.0,0.0
2025-03-03,79.05,80.01,76.98,77.49,8628800,0.4,0.0
2025-02-28,77.93,78.68,76.87,78.1,14113800,0.0,0.0
2025-02-27,80.13,80.13,78.13,78.68,11651900,0.0,0.0
2025-02-26,80.73,81.06,79.49,79.81,16058100,0.0,0.0
2025-02-25,78.97,80.59,78.71,80.35,15522500,0.0,0.0
2025-02-24,77.56,79.73,77.43,78.94,24553500,0.0,0.0
2025-02-21,76.11,76.69,74.59,75.22,12823400,0.0,0.0
2025-02-20,75.62,75.98,75.06,75.94,10689600,0.0,0.0
2025-02-19,75.54,76.38,74.82,75.5,14184100,0.0,0.0
2025-02-18,73.25,76.38,73.25,76.29,28252400,0.0,0.0
2025-02-14,71.95,72.27,71.13,71.82,9254400,0.0,0.0
2025-02-13,71.24,72.37,70.43,71.99,9739600,0.0,0.0
2025-02-12,69.42,71.24,69.15,71.05,10810900,0.0,0.0
2025-02-11,69.39,70.79,69.33,70.15,9636600,0.0,0.0
2025-02-10,68.2,69.76,67.96,69.75,16201300,0.0,0.0
2025-02-07,69.38,69.63,67.47,67.53,27428700,0.0,0.0
2025-02-06,73.98,74.14,70.43,70.54,16059400,0.0,0.0
2025-02-05,75.02,75.51,73.16,73.32,9807400,0.0,0.0
2025-02-04,76.25,76.85,74.77,75.44,11943700,0.0,0.0
2025-02-03,73.65,75.41,72.0,75.31,18539200,0.0,0.0
2025-01-31,76.8,77.54,75.48,75.61,13098000,0.0,0.0
2025-01-30,75.57,77.45,75.57,77.02,10902100,0.0,0.0
2025-01-29,73.21,75.82,73.08,75.3,11764800,0.0,0.0
2025-01-28,74.07,74.34,72.92,73.15,8694400,0.0,0.0
2025-01-27,72.21,74.58,72.19,74.32,11665400,0.0,0.0
2025-01-24,72.83,73.01,72.03,72.34,8106700,0.0,0.0
2025-01-23,72.11,73.25,71.16,73.05,10677400,0.0,0.0
2025-01-22,72.15,73.45,71.79,72.8,13029300,0.0,0.0
2025-01-21,70.11,72.05,69.95,71.95,14199900,0.0,0.0
2025-01-17,70.24,70.32,69.66,69.66,9711300,0.0,0.0
2025-01-16,69.71,70.04,69.14,69.92,13694600,0.0,0.0
2025-01-15,70.79,71.04,69.66,69.88,13468100,0.0,0.0
2025-01-14,70.87,71.0,69.35,69.98,16732900,0.0,0.0
2025-01-13,69.98,71.39,69.6,70.88,14584300,0.0,0.0
2025-01-10,70.65,71.18,69.9,70.01,15677400,0.0,0.0
2025-01-08,70.36,70.62,69.82,70.1,11855000,0.0,0.0
2025-01-07,71.19,72.21,70.78,70.89,10463500,0.0,0.0
2025-01-06,72.52,73.08,70.77,70.8,14947300,0.0,0.0
2025-01-03,72.68,72.95,71.79,72.08,10083500,0.0,0.0
2025-01-02,74.98,75.41,72.02,72.44,10883400,0.0,0.0
2024-12-31,73.65,75.11,73.53,74.41,9425600,0.0,0.0
2024-12-30,74.34,74.5,73.3,73.4,9042900,0.0,0.0
2024-12-27,75.24,75.64,74.53,75.14,6334400,0.0,0.0
2024-12-26,75.32,76.17,75.26,75.65,6363500,0.0,0.0
2024-12-24,75.47,75.82,75.08,75.51,4919100,0.0,0.0
2024-12-23,75.05,77.1,74.47,75.48,14203800,0.0,0.0
2024-12-20,74.69,76.7,73.61,75.65,49883400,0.0,0.0
2024-12-19,75.65,76.64,75.15,75.81,27067600,0.0,0.0
