Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,14.55,14.96,13.88,13.91,1068900,0.0,0.0
2025-10-09,14.2,14.49,13.8,14.48,1195000,0.0,0.0
2025-10-08,14.44,14.91,14.13,14.26,1453600,0.0,0.0
2025-10-07,14.76,14.81,14.15,14.18,1222300,0.0,0.0
2025-10-06,14.47,14.78,14.06,14.74,1352700,0.0,0.0
2025-10-03,14.46,14.65,14.27,14.35,1143900,0.0,0.0
2025-10-02,14.3,14.52,14.11,14.3,1157000,0.0,0.0
2025-10-01,14.16,14.63,14.12,14.27,1426800,0.0,0.0
2025-09-30,14.78,14.95,14.2,14.3,1936600,0.0,0.0
2025-09-29,15.66,16.12,14.45,14.78,1528400,0.0,0.0
2025-09-26,15.69,16.16,15.66,15.73,1033000,0.0,0.0
2025-09-25,16.0,16.37,15.48,15.89,1379600,0.0,0.0
2025-09-24,17.16,17.16,16.17,16.19,897600,0.0,0.0
2025-09-23,17.05,17.25,16.84,16.94,972100,0.0,0.0
2025-09-22,16.81,17.46,16.42,17.18,1083700,0.0,0.0
2025-09-19,17.34,17.87,16.88,17.07,3181600,0.0,0.0
2025-09-18,17.71,17.78,17.17,17.33,1320500,0.0,0.0
2025-09-17,17.0,17.78,16.79,17.43,1168200,0.0,0.0
2025-09-16,17.48,17.7,16.71,17.08,1779000,0.0,0.0
2025-09-15,17.38,17.77,16.92,17.5,1190700,0.0,0.0
2025-09-12,17.1,17.55,16.57,17.24,1231200,0.0,0.0
2025-09-11,16.69,17.48,16.59,17.1,1338500,0.0,0.0
2025-09-10,16.4,16.74,16.14,16.5,1499100,0.0,0.0
2025-09-09,15.85,16.91,15.52,16.55,1963400,0.0,0.0
2025-09-08,16.36,16.77,15.04,15.78,2217800,0.0,0.0
2025-09-05,16.0,16.39,15.59,16.05,1345100,0.0,0.0
2025-09-04,15.97,16.07,15.14,15.87,3051500,0.0,0.0
2025-09-03,17.59,17.69,15.98,16.33,1995900,0.0,0.0
2025-09-02,17.46,18.1,17.02,17.6,1287600,0.0,0.0
2025-08-29,18.0,18.13,17.23,17.81,1484500,0.0,0.0
