Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,11.06,11.15,10.73,10.74,1330700,0.0,0.0
2025-10-09,11.16,11.2,10.98,11.06,675400,0.0,0.0
2025-10-08,11.05,11.2,10.93,11.15,658400,0.0,0.0
2025-10-07,11.13,11.21,10.87,11.03,728900,0.0,0.0
2025-10-06,11.13,11.25,11.04,11.14,856900,0.0,0.0
2025-10-03,11.44,11.54,11.15,11.16,841400,0.0,0.0
2025-10-02,11.67,11.74,11.24,11.29,591400,0.0,0.0
2025-10-01,11.19,11.72,11.19,11.72,692600,0.0,0.0
2025-09-30,11.22,11.33,11.15,11.31,387000,0.0,0.0
2025-09-29,11.34,11.34,11.15,11.28,393500,0.0,0.0
2025-09-26,11.25,11.45,11.19,11.31,812900,0.0,0.0
2025-09-25,11.06,11.24,10.98,11.24,373100,0.0,0.0
2025-09-24,11.27,11.32,11.1,11.13,426600,0.0,0.0
2025-09-23,11.15,11.43,11.12,11.21,465500,0.0,0.0
2025-09-22,10.85,11.15,10.76,11.09,554500,0.0,0.0
2025-09-19,11.06,11.08,10.81,10.92,1180200,0.0,0.0
2025-09-18,10.81,11.07,10.76,11.04,570400,0.0,0.0
2025-09-17,10.85,10.99,10.69,10.75,490200,0.0,0.0
2025-09-16,10.76,10.9,10.66,10.88,388600,0.0,0.0
2025-09-15,10.56,10.78,10.5,10.74,661800,0.0,0.0
2025-09-12,10.67,10.67,10.5,10.53,609000,0.0,0.0
2025-09-11,10.65,10.75,10.59,10.67,638600,0.0,0.0
2025-09-10,10.42,10.68,10.35,10.65,459100,0.0,0.0
2025-09-09,10.53,10.58,10.36,10.43,471400,0.0,0.0
2025-09-08,10.58,10.62,10.43,10.48,429300,0.0,0.0
2025-09-05,10.59,10.71,10.39,10.5,519400,0.0,0.0
2025-09-04,10.36,10.63,10.31,10.63,1388100,0.0,0.0
2025-09-03,10.38,10.54,10.3,10.31,611200,0.0,0.0
2025-09-02,10.28,10.41,10.11,10.41,1905800,0.0,0.0
2025-08-29,10.48,10.51,10.33,10.4,406300,0.0,0.0
2025-08-28,10.36,10.46,10.27,10.44,485600,0.0,0.0
2025-08-27,10.21,10.42,10.21,10.3,587600,0.0,0.0
2025-08-26,10.32,10.39,10.2,10.35,624200,0.0,0.0
2025-08-25,10.34,10.41,10.28,10.32,680000,0.0,0.0
2025-08-22,10.06,10.43,9.97,10.39,1075000,0.0,0.0
2025-08-21,9.88,10.0,9.85,10.0,457100,0.0,0.0
2025-08-20,9.81,9.91,9.65,9.9,804100,0.0,0.0
2025-08-19,9.95,10.04,9.76,9.76,782400,0.0,0.0
2025-08-18,9.81,9.94,9.8,9.92,582400,0.0,0.0
2025-08-15,10.01,10.11,9.78,9.86,794500,0.0,0.0
2025-08-14,9.9,10.0,9.86,10.0,1109600,0.0,0.0
2025-08-13,9.85,10.15,9.78,10.0,1382100,0.0,0.0
2025-08-12,9.58,9.9,9.45,9.87,1217800,0.0,0.0
2025-08-11,9.26,9.66,9.26,9.49,1365400,0.0,0.0
2025-08-08,9.04,9.3,8.99,9.29,1574200,0.0,0.0
2025-08-07,9.21,9.21,8.86,8.99,881300,0.0,0.0
2025-08-06,9.2,9.4,8.84,9.0,1233200,0.0,0.0
2025-08-05,8.73,9.01,8.69,8.89,1049100,0.0,0.0
2025-08-04,8.73,8.88,8.63,8.68,662800,0.0,0.0
2025-08-01,8.86,8.93,8.68,8.71,685400,0.0,0.0
2025-07-31,8.83,9.04,8.77,9.02,1111500,0.0,0.0
2025-07-30,9.05,9.16,8.95,8.98,1100200,0.0,0.0
2025-07-29,9.18,9.2,9.03,9.05,705000,0.0,0.0
2025-07-28,9.07,9.16,8.98,9.13,700200,0.0,0.0
2025-07-25,9.1,9.13,8.97,9.03,627800,0.0,0.0
2025-07-24,8.9,9.11,8.77,9.04,981700,0.0,0.0
2025-07-23,8.72,8.97,8.67,8.95,1231000,0.0,0.0
2025-07-22,8.39,8.7,8.37,8.61,1075600,0.0,0.0
2025-07-21,8.48,8.51,8.35,8.36,639200,0.0,0.0
2025-07-18,8.55,8.56,8.4,8.43,689100,0.0,0.0
2025-07-17,8.41,8.56,8.4,8.49,997700,0.0,0.0
2025-07-16,8.43,8.51,8.17,8.42,1008000,0.0,0.0
2025-07-15,8.54,8.6,8.32,8.41,1045900,0.0,0.0
2025-07-14,8.52,8.55,8.44,8.54,928700,0.0,0.0
2025-07-11,8.58,8.59,8.36,8.54,802100,0.0,0.0
2025-07-10,8.54,8.7,8.51,8.62,583100,0.0,0.0
2025-07-09,8.63,8.65,8.5,8.55,490300,0.0,0.0
2025-07-08,8.57,8.74,8.5,8.57,628700,0.0,0.0
2025-07-07,8.71,8.8,8.46,8.55,607500,0.0,0.0
2025-07-03,8.79,8.85,8.64,8.82,472200,0.0,0.0
2025-07-02,8.61,8.87,8.51,8.74,722900,0.0,0.0
2025-07-01,8.5,8.83,8.44,8.66,848800,0.0,0.0
2025-06-30,8.8,8.81,8.51,8.51,553200,0.0,0.0
2025-06-27,8.66,8.81,8.59,8.8,1684300,0.0,0.0
2025-06-26,8.53,8.66,8.44,8.65,1186000,0.0,0.0
2025-06-25,8.65,8.83,8.46,8.5,1976500,0.0,0.0
2025-06-24,8.5,8.78,8.44,8.63,739400,0.0,0.0
2025-06-23,8.56,8.62,8.4,8.54,974100,0.0,0.0
2025-06-20,8.66,8.67,8.48,8.55,1025700,0.0,0.0
2025-06-18,8.57,8.62,8.51,8.58,522500,0.0,0.0
2025-06-17,8.66,8.88,8.59,8.6,679000,0.0,0.0
2025-06-16,8.42,8.74,8.37,8.74,721900,0.0,0.0
2025-06-13,8.67,8.67,8.35,8.39,590600,0.0,0.0
