Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,193.51,195.62,182.05,183.16,266534400,0.0,0.0
2025-10-09,192.23,195.3,191.06,192.57,182997200,0.0,0.0
2025-10-08,186.57,189.6,186.54,189.11,130168900,0.0,0.0
2025-10-07,186.23,189.06,184.0,185.04,140088000,0.0,0.0
2025-10-06,185.5,187.23,183.33,185.54,157678100,0.0,0.0
2025-10-03,189.19,190.36,185.38,187.62,137596900,0.0,0.0
2025-10-02,189.6,191.05,188.06,188.89,136805800,0.0,0.0
2025-10-01,185.24,188.14,183.9,187.24,173844900,0.0,0.0
2025-09-30,182.08,187.35,181.48,186.58,236981000,0.0,0.0
2025-09-29,180.43,184.0,180.32,181.85,193063500,0.0,0.0
2025-09-26,178.17,179.77,174.93,178.19,148573700,0.0,0.0
2025-09-25,174.48,180.26,173.13,177.69,191586700,0.0,0.0
2025-09-24,179.77,179.78,175.4,176.97,143564100,0.0,0.0
2025-09-23,181.97,182.42,176.21,178.43,192559600,0.0,0.0
2025-09-22,175.3,184.55,174.71,183.61,269637000,0.0,0.0
2025-09-19,175.77,178.08,175.18,176.67,237182100,0.0,0.0
2025-09-18,173.98,177.1,172.96,176.24,191763300,0.0,0.0
2025-09-17,172.64,173.2,168.41,170.29,211843800,0.0,0.0
2025-09-16,177.0,177.5,174.38,174.88,140737800,0.0,0.0
2025-09-15,175.67,178.85,174.51,177.75,147061600,0.0,0.0
2025-09-12,177.77,178.6,176.45,177.82,124911000,0.0,0.0
2025-09-11,179.68,180.28,176.48,177.17,151159300,0.01,0.0
2025-09-10,176.63,179.28,175.46,177.32,226852000,0.0,0.0
2025-09-09,169.08,170.97,166.73,170.75,157548400,0.0,0.0
2025-09-08,167.54,170.95,167.34,168.3,163769100,0.0,0.0
2025-09-05,168.02,169.02,164.06,167.01,224441400,0.0,0.0
2025-09-04,170.56,171.85,169.4,171.65,141670100,0.0,0.0
2025-09-03,171.05,172.4,168.87,170.61,164424900,0.0,0.0
2025-09-02,169.99,172.37,167.21,170.77,231164900,0.0,0.0
2025-08-29,178.1,178.14,173.14,174.17,243257900,0.0,0.0
2025-08-28,180.81,184.46,176.4,180.16,281787800,0.0,0.0
2025-08-27,181.97,182.48,179.09,181.59,235518900,0.0,0.0
2025-08-26,180.05,182.38,178.8,181.76,168688200,0.0,0.0
2025-08-25,178.34,181.9,176.56,179.8,163012800,0.0,0.0
2025-08-22,172.6,178.58,171.19,177.98,172789400,0.0,0.0
2025-08-21,174.84,176.89,173.8,174.97,140040900,0.0,0.0
2025-08-20,175.16,175.99,168.79,175.39,215142700,0.0,0.0
2025-08-19,182.42,182.49,175.48,175.63,185229200,0.0,0.0
2025-08-18,180.59,182.93,180.58,182.0,132008000,0.0,0.0
2025-08-15,181.87,181.89,178.03,180.44,156602200,0.0,0.0
2025-08-14,179.74,183.01,179.45,182.01,129554000,0.0,0.0
2025-08-13,182.61,183.96,179.34,181.58,179871700,0.0,0.0
2025-08-12,182.95,184.47,179.45,183.15,145485700,0.0,0.0
2025-08-11,182.04,183.83,180.24,182.05,138323200,0.0,0.0
2025-08-08,181.54,183.29,180.39,182.69,123396700,0.0,0.0
2025-08-07,181.56,183.87,178.79,180.76,151878400,0.0,0.0
2025-08-06,176.32,179.89,176.24,179.41,137192300,0.0,0.0
2025-08-05,179.61,180.25,175.89,178.25,156407600,0.0,0.0
2025-08-04,175.15,180.19,174.51,179.99,148174600,0.0,0.0
2025-08-01,174.08,176.53,170.88,173.71,204529000,0.0,0.0
2025-07-31,182.89,183.29,175.92,177.86,221685400,0.0,0.0
2025-07-30,176.5,179.88,176.03,179.26,174312200,0.0,0.0
2025-07-29,177.95,179.37,175.01,175.5,154077500,0.0,0.0
2025-07-28,174.01,176.99,173.96,176.74,140023500,0.0,0.0
2025-07-25,173.6,174.71,172.95,173.49,122316800,0.0,0.0
2025-07-24,172.43,173.82,171.29,173.73,128984600,0.0,0.0
2025-07-23,169.52,171.25,167.96,170.77,154082200,0.0,0.0
2025-07-22,171.33,171.38,164.57,167.02,193114300,0.0,0.0
2025-07-21,172.74,173.37,170.99,171.37,123126100,0.0,0.0
2025-07-18,173.63,174.24,171.25,172.4,146456400,0.0,0.0
2025-07-17,172.01,174.15,170.82,172.99,160841100,0.0,0.0
2025-07-16,171.05,171.74,168.89,171.36,158831500,0.0,0.0
2025-07-15,171.18,172.39,169.19,170.69,230627400,0.0,0.0
2025-07-14,165.36,165.48,162.01,164.06,136975800,0.0,0.0
2025-07-11,163.71,167.88,163.46,164.91,193633300,0.0,0.0
2025-07-10,164.31,164.49,161.6,164.09,167704100,0.0,0.0
2025-07-09,161.21,164.41,161.15,162.87,183656400,0.0,0.0
2025-07-08,159.32,160.21,158.38,159.99,138133000,0.0,0.0
2025-07-07,158.19,159.3,157.33,158.23,140139000,0.0,0.0
2025-07-03,158.36,160.97,157.76,159.33,143716100,0.0,0.0
2025-07-02,152.97,157.59,152.96,157.24,171224100,0.0,0.0
2025-07-01,156.28,157.19,151.48,153.29,213143600,0.0,0.0
2025-06-30,158.39,158.65,155.95,157.98,194580300,0.0,0.0
2025-06-27,156.03,158.7,155.25,157.74,263234500,0.0,0.0
2025-06-26,155.97,156.71,153.99,155.01,198145700,0.0,0.0
2025-06-25,149.26,154.44,149.25,154.3,269146500,0.0,0.0
2025-06-24,145.55,147.95,145.49,147.89,187566100,0.0,0.0
2025-06-23,142.49,144.77,142.02,144.16,154308900,0.0,0.0
2025-06-20,145.44,146.19,142.64,143.84,242956200,0.0,0.0
2025-06-18,144.0,145.64,143.11,145.47,161494100,0.0,0.0
2025-06-17,144.48,145.21,143.77,144.11,139108000,0.0,0.0
2025-06-16,143.34,146.17,143.19,144.68,183133700,0.0,0.0
2025-06-13,142.47,143.57,140.84,141.96,180820600,0.0,0.0
2025-06-12,141.96,144.99,141.84,144.99,162365000,0.0,0.0
2025-06-11,144.6,144.98,141.86,142.82,167694000,0.01,0.0
2025-06-10,142.67,144.27,141.51,143.94,155881900,0.0,0.0
2025-06-09,143.17,144.98,141.92,142.61,185114500,0.0,0.0
2025-06-06,142.49,143.25,141.49,141.7,153986200,0.0,0.0
2025-06-05,142.15,143.98,138.81,139.97,231397900,0.0,0.0
2025-06-04,142.17,142.37,139.52,141.9,167120800,0.0,0.0
2025-06-03,138.76,141.98,137.93,141.2,225578800,0.0,0.0
2025-06-02,135.47,138.1,135.38,137.36,197663100,0.0,0.0
2025-05-30,138.7,139.6,132.9,135.11,333170900,0.0,0.0
2025-05-29,142.23,143.47,137.89,139.17,369241900,0.0,0.0
2025-05-28,136.01,137.23,134.77,134.79,304021100,0.0,0.0
2025-05-27,134.13,135.64,133.29,135.48,192953600,0.0,0.0
2025-05-23,129.98,132.66,129.14,131.27,198821300,0.0,0.0
2025-05-22,132.21,134.23,131.53,132.81,187344000,0.0,0.0
2025-05-21,133.04,137.38,130.57,131.78,270608700,0.0,0.0
2025-05-20,134.27,134.56,132.6,134.36,161514200,0.0,0.0
2025-05-19,132.37,135.85,132.37,135.55,193154600,0.0,0.0
2025-05-16,136.2,136.33,133.44,135.38,226542500,0.0,0.0
2025-05-15,134.27,136.28,132.64,134.81,226632600,0.0,0.0
2025-05-14,133.18,135.42,131.66,135.32,281180800,0.0,0.0
2025-05-13,124.96,131.2,124.45,129.91,330430100,0.0,0.0
2025-05-12,121.95,122.98,120.26,122.98,225023300,0.0,0.0
2025-05-09,117.34,118.22,115.2,116.64,132972200,0.0,0.0
