Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,5.24,5.42,5.11,5.12,428600,0.0,0.0
2025-10-09,5.22,5.37,5.17,5.21,389700,0.0,0.0
2025-10-08,5.18,5.29,5.14,5.23,357900,0.0,0.0
2025-10-07,5.03,5.26,5.01,5.18,432300,0.0,0.0
2025-10-06,5.12,5.25,4.88,5.03,728200,0.0,0.0
2025-10-03,5.24,5.45,5.11,5.13,336700,0.0,0.0
2025-10-02,5.29,5.34,5.14,5.22,400700,0.0,0.0
2025-10-01,5.29,5.3,4.95,5.27,815000,0.0,0.0
2025-09-30,5.06,5.33,5.01,5.31,661400,0.0,0.0
2025-09-29,4.87,5.08,4.76,5.05,535600,0.0,0.0
2025-09-26,4.74,4.92,4.71,4.84,637800,0.0,0.0
2025-09-25,4.7,4.79,4.59,4.7,408700,0.0,0.0
2025-09-24,4.69,4.73,4.5,4.72,490100,0.0,0.0
2025-09-23,4.47,4.79,4.47,4.71,584100,0.0,0.0
2025-09-22,4.43,4.49,4.37,4.46,398000,0.0,0.0
2025-09-19,4.56,4.63,4.4,4.42,846000,0.0,0.0
2025-09-18,4.41,4.52,4.37,4.52,315700,0.0,0.0
2025-09-17,4.53,4.55,4.3,4.34,347300,0.0,0.0
2025-09-16,4.67,4.72,4.51,4.52,532500,0.0,0.0
2025-09-15,4.5,4.64,4.41,4.64,455800,0.0,0.0
2025-09-12,4.5,4.59,4.41,4.47,377500,0.0,0.0
2025-09-11,4.58,4.65,4.5,4.5,573400,0.0,0.0
2025-09-10,4.65,4.73,4.51,4.54,375400,0.0,0.0
2025-09-09,4.57,4.74,4.57,4.71,448900,0.0,0.0
2025-09-08,5.09,5.09,4.49,4.56,897200,0.0,0.0
2025-09-05,5.16,5.22,4.99,5.03,430600,0.0,0.0
2025-09-04,5.14,5.19,4.93,5.11,411000,0.0,0.0
2025-09-03,5.1,5.44,5.05,5.13,652600,0.0,0.0
2025-09-02,5.05,5.38,4.98,5.11,817700,0.0,0.0
2025-08-29,5.03,5.04,4.91,5.04,378800,0.0,0.0
2025-08-28,5.1,5.13,4.93,4.97,416100,0.0,0.0
2025-08-27,5.14,5.15,4.96,5.1,568500,0.0,0.0
2025-08-26,5.01,5.22,4.9,5.18,639500,0.0,0.0
2025-08-25,5.3,5.33,4.9,4.99,525800,0.0,0.0
2025-08-22,5.23,5.37,5.04,5.25,671900,0.0,0.0
2025-08-21,5.09,5.4,5.08,5.22,820700,0.0,0.0
2025-08-20,5.08,5.22,4.96,5.11,687500,0.0,0.0
2025-08-19,5.0,5.32,4.84,5.09,1258300,0.0,0.0
2025-08-18,5.81,6.07,4.81,5.01,1706500,0.0,0.0
2025-08-15,5.36,5.81,5.29,5.73,1022500,0.0,0.0
2025-08-14,5.08,5.45,5.08,5.32,634600,0.0,0.0
2025-08-13,4.89,5.44,4.87,5.3,1726600,0.0,0.0
