Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,14.41,14.84,13.53,13.58,4298500,0.0,0.0
2025-10-09,14.84,15.05,14.36,14.5,1734600,0.0,0.0
2025-10-08,14.56,15.12,14.4,14.86,2834900,0.0,0.0
2025-10-07,14.81,15.22,14.24,14.44,3255000,0.0,0.0
2025-10-06,13.77,14.76,13.66,14.74,5235800,0.0,0.0
2025-10-03,13.43,13.97,13.32,13.59,2167300,0.0,0.0
2025-10-02,12.89,13.4,12.88,13.38,2381300,0.0,0.0
2025-10-01,13.02,13.06,12.66,12.84,1910800,0.0,0.0
2025-09-30,13.01,13.16,12.75,13.15,1462100,0.0,0.0
2025-09-29,12.9,13.18,12.71,13.12,1736700,0.0,0.0
2025-09-26,13.12,13.27,12.72,12.91,1530300,0.0,0.0
2025-09-25,13.18,13.33,12.7,13.1,2182800,0.0,0.0
2025-09-24,13.92,14.03,13.47,13.49,2446600,0.0,0.0
2025-09-23,13.97,14.68,13.8,13.9,2012700,0.0,0.0
2025-09-22,13.7,14.15,13.36,13.92,1869300,0.0,0.0
2025-09-19,13.84,14.41,13.75,13.91,3415800,0.0,0.0
2025-09-18,13.38,13.86,13.15,13.77,1721600,0.0,0.0
2025-09-17,13.48,13.77,12.96,13.18,2039600,0.0,0.0
2025-09-16,13.63,13.66,13.02,13.44,1478900,0.0,0.0
2025-09-15,13.32,13.83,13.26,13.63,1581900,0.0,0.0
2025-09-12,13.36,13.42,13.16,13.3,1172400,0.0,0.0
2025-09-11,13.27,13.65,13.16,13.31,1503300,0.0,0.0
2025-09-10,13.55,13.74,13.04,13.19,1900200,0.0,0.0
2025-09-09,13.41,13.58,13.16,13.51,1366300,0.0,0.0
2025-09-08,13.47,13.57,13.06,13.39,1548000,0.0,0.0
2025-09-05,13.32,13.43,12.83,13.39,1931000,0.0,0.0
2025-09-04,13.22,13.23,12.86,13.16,1994100,0.0,0.0
2025-09-03,13.7,13.86,13.17,13.26,2372600,0.0,0.0
2025-09-02,13.83,14.11,13.5,13.7,2457300,0.0,0.0
2025-08-29,14.75,14.78,14.06,14.29,2247700,0.0,0.0
2025-08-28,14.93,15.15,14.5,14.63,2578700,0.0,0.0
2025-08-27,13.6,15.14,13.51,14.86,7162800,0.0,0.0
2025-08-26,12.75,13.67,12.72,13.6,2374000,0.0,0.0
2025-08-25,12.79,12.95,12.65,12.72,1584800,0.0,0.0
2025-08-22,12.65,13.22,12.4,13.02,2257300,0.0,0.0
2025-08-21,12.35,12.62,12.29,12.57,2051800,0.0,0.0
2025-08-20,12.26,12.69,12.1,12.59,2528500,0.0,0.0
2025-08-19,12.64,12.84,11.99,12.21,3165700,0.0,0.0
2025-08-18,12.99,13.16,12.62,12.69,2708900,0.0,0.0
2025-08-15,13.48,13.48,13.05,13.3,2421200,0.0,0.0
2025-08-14,13.25,13.48,12.81,13.35,1964400,0.0,0.0
2025-08-13,13.51,13.81,13.11,13.57,2741900,0.0,0.0
2025-08-12,12.95,13.61,12.94,13.28,2999900,0.0,0.0
2025-08-11,12.4,13.26,12.38,12.79,3412200,0.0,0.0
2025-08-08,13.2,14.23,12.01,12.35,7451900,0.0,0.0
2025-08-07,13.26,13.4,12.21,12.35,3489000,0.0,0.0
2025-08-06,13.27,13.27,12.81,13.0,2018500,0.0,0.0
2025-08-05,13.49,13.51,13.0,13.24,1964300,0.0,0.0
2025-08-04,12.83,13.3,12.7,13.28,2808600,0.0,0.0
2025-08-01,13.0,13.22,12.47,12.62,4414000,0.0,0.0
2025-07-31,13.64,13.73,13.27,13.41,1953400,0.0,0.0
2025-07-30,14.07,14.16,13.41,13.64,3263500,0.0,0.0
2025-07-29,15.1,15.18,13.96,14.02,3498300,0.0,0.0
2025-07-28,15.42,15.58,14.67,14.86,2515400,0.0,0.0
2025-07-25,15.65,15.75,15.25,15.4,2097000,0.0,0.0
2025-07-24,15.63,16.0,15.53,15.58,2463500,0.0,0.0
2025-07-23,16.33,16.55,15.71,15.89,2555100,0.0,0.0
2025-07-22,16.2,16.38,15.31,16.14,4334900,0.0,0.0
2025-07-21,16.93,17.28,16.3,16.33,3783600,0.0,0.0
