Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,9.91,10.1,8.26,8.29,3318600,0.0,0.0
2025-10-09,9.34,10.69,9.25,9.39,3432000,0.0,0.0
2025-10-08,9.86,10.09,9.25,9.36,2026200,0.0,0.0
2025-10-07,9.98,10.41,9.51,9.93,2027800,0.0,0.0
2025-10-06,10.0,10.24,9.72,9.79,1935400,0.0,0.0
2025-10-03,9.93,10.21,9.51,9.87,2376800,0.0,0.0
2025-10-02,9.4,9.95,9.21,9.87,2349800,0.0,0.0
2025-10-01,8.43,9.38,8.27,9.23,2365200,0.0,0.0
2025-09-30,8.5,8.66,8.26,8.59,1126300,0.0,0.0
2025-09-29,9.07,9.25,8.55,8.6,1505300,0.0,0.0
2025-09-26,8.99,9.23,8.5,8.86,1773200,0.0,0.0
2025-09-25,8.29,9.25,8.29,8.97,5110000,0.0,0.0
2025-09-24,9.26,9.63,8.79,9.2,3588100,0.0,0.0
2025-09-23,8.69,9.53,8.48,9.26,5270800,0.0,0.0
2025-09-22,8.2,8.8,7.81,8.77,4913300,0.0,0.0
2025-09-19,7.79,8.08,7.72,7.9,2902000,0.0,0.0
2025-09-18,7.38,7.82,7.22,7.71,2414400,0.0,0.0
2025-09-17,7.25,7.36,7.01,7.24,2275200,0.0,0.0
2025-09-16,7.28,7.3,7.03,7.27,1350400,0.0,0.0
2025-09-15,7.44,7.5,7.15,7.22,1613000,0.0,0.0
2025-09-12,7.34,7.49,7.18,7.37,1994300,0.0,0.0
2025-09-11,6.82,7.36,6.75,7.16,2365300,0.0,0.0
2025-09-10,7.1,7.11,6.84,6.85,1470600,0.0,0.0
2025-09-09,6.88,7.05,6.66,7.04,1481900,0.0,0.0
2025-09-08,6.85,7.04,6.83,6.9,1232100,0.0,0.0
2025-09-05,7.02,7.1,6.55,6.82,1874100,0.0,0.0
2025-09-04,7.01,7.14,6.88,7.0,1085100,0.0,0.0
2025-09-03,7.38,7.43,6.86,6.97,1699000,0.0,0.0
2025-09-02,7.17,7.54,7.08,7.37,949100,0.0,0.0
2025-08-29,7.6,7.65,7.28,7.56,970700,0.0,0.0
2025-08-28,7.9,7.95,7.66,7.67,728800,0.0,0.0
2025-08-27,7.87,8.09,7.76,7.8,1452600,0.0,0.0
2025-08-26,7.61,8.12,7.61,7.87,1227300,0.0,0.0
2025-08-25,7.64,7.89,7.42,7.68,1425600,0.0,0.0
2025-08-22,7.32,7.77,7.23,7.67,1479400,0.0,0.0
2025-08-21,7.15,7.53,7.09,7.44,1256000,0.0,0.0
2025-08-20,7.03,7.28,6.85,7.22,1733800,0.0,0.0
2025-08-19,7.34,7.4,7.04,7.14,1693900,0.0,0.0
2025-08-18,7.4,7.63,7.29,7.42,1140300,0.0,0.0
2025-08-15,7.52,7.55,7.26,7.44,1097900,0.0,0.0
2025-08-14,7.4,7.68,7.23,7.56,1276400,0.0,0.0
2025-08-13,7.7,7.91,7.4,7.8,2223000,0.0,0.0
2025-08-12,7.5,7.68,7.36,7.63,1509500,0.0,0.0
2025-08-11,7.6,7.93,7.43,7.51,2056800,0.0,0.0
2025-08-08,7.52,7.71,7.39,7.6,2318500,0.0,0.0
2025-08-07,7.7,7.92,6.95,7.23,5650900,0.0,0.0
2025-08-06,8.74,8.77,8.1,8.23,2117900,0.0,0.0
2025-08-05,8.66,8.99,8.48,8.92,2317400,0.0,0.0
2025-08-04,8.03,8.6,7.99,8.52,1462100,0.0,0.0
2025-08-01,7.82,8.07,7.64,7.92,1824400,0.0,0.0
2025-07-31,8.28,8.59,8.17,8.18,1510400,0.0,0.0
2025-07-30,8.62,8.63,8.14,8.2,2561000,0.0,0.0
2025-07-29,9.65,9.67,8.47,8.51,3556200,0.0,0.0
2025-07-28,10.5,10.69,9.63,9.82,1917900,0.0,0.0
2025-07-25,10.38,10.44,9.98,10.3,1294100,0.0,0.0
2025-07-24,10.52,10.71,10.25,10.35,1761600,0.0,0.0
2025-07-23,10.1,10.74,10.01,10.73,3709100,0.0,0.0
2025-07-22,10.8,10.8,9.84,10.09,2910800,0.0,0.0
2025-07-21,12.18,13.0,10.66,10.8,4143200,0.0,0.0
2025-07-18,12.39,12.71,11.8,12.24,4923200,0.0,0.0
2025-07-17,10.32,12.8,10.3,12.68,13480300,0.0,0.0
2025-07-16,9.17,9.74,8.75,9.65,3656900,0.0,0.0
2025-07-15,9.66,10.49,9.11,9.17,6182500,0.0,0.0
2025-07-14,8.67,9.06,8.24,9.04,2604200,0.0,0.0
2025-07-11,8.76,9.55,8.63,8.7,5524700,0.0,0.0
2025-07-10,8.57,8.89,8.31,8.33,1677900,0.0,0.0
2025-07-09,8.42,8.52,8.04,8.5,2162000,0.0,0.0
2025-07-08,8.05,8.54,7.92,8.42,2391000,0.0,0.0
2025-07-07,8.06,8.17,7.65,7.95,1741900,0.0,0.0
2025-07-03,8.23,8.3,8.1,8.22,688100,0.0,0.0
2025-07-02,8.1,8.4,7.96,8.21,1957000,0.0,0.0
2025-07-01,8.7,8.7,7.92,8.05,2334900,0.0,0.0
2025-06-30,8.84,9.1,8.63,8.66,1952200,0.0,0.0
2025-06-27,9.3,9.39,8.7,8.81,6259400,0.0,0.0
2025-06-26,8.32,9.59,8.2,9.47,3208400,0.0,0.0
2025-06-25,8.9,8.94,8.17,8.23,2038700,0.0,0.0
2025-06-24,8.55,9.0,8.46,8.78,1908800,0.0,0.0
2025-06-23,8.43,8.48,7.78,8.31,2422300,0.0,0.0
2025-06-20,9.16,9.29,8.59,8.66,2832700,0.0,0.0
2025-06-18,8.55,9.16,8.48,8.91,2101800,0.0,0.0
2025-06-17,8.9,8.9,8.37,8.58,1862700,0.0,0.0
2025-06-16,8.15,8.91,8.09,8.9,2754200,0.0,0.0
2025-06-13,8.46,8.53,7.93,7.96,2737500,0.0,0.0
2025-06-12,8.77,8.9,8.47,8.62,2063300,0.0,0.0
2025-06-11,9.51,9.88,8.76,8.78,4022200,0.0,0.0
2025-06-10,9.56,10.17,8.95,9.38,3685100,0.0,0.0
2025-06-09,10.38,10.38,9.46,9.54,4763600,0.0,0.0
2025-06-06,8.43,10.44,8.43,9.59,9116700,0.0,0.0
2025-06-05,9.2,9.3,8.1,8.23,4689100,0.0,0.0
2025-06-04,7.36,9.07,7.16,8.92,6624100,0.0,0.0
2025-06-03,7.68,7.7,7.15,7.24,2609300,0.0,0.0
2025-06-02,8.47,8.55,7.42,7.53,3530300,0.0,0.0
2025-05-30,7.74,8.47,7.4,7.87,3359000,0.0,0.0
