Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,3.22,3.22,2.99,3.12,7950800,0.0,0.0
2025-10-09,3.19,3.22,3.08,3.19,3351000,0.0,0.0
2025-10-08,3.33,3.43,3.21,3.22,5177200,0.0,0.0
2025-10-07,3.14,3.34,3.08,3.31,4911800,0.0,0.0
2025-10-06,3.32,3.32,3.12,3.14,4092300,0.0,0.0
2025-10-03,3.38,3.38,3.2,3.25,3743000,0.0,0.0
2025-10-02,3.38,3.42,3.26,3.33,4624000,0.0,0.0
2025-10-01,3.27,3.49,3.27,3.34,4372900,0.0,0.0
2025-09-30,3.61,3.73,3.28,3.29,7043400,0.0,0.0
2025-09-29,3.62,3.73,3.53,3.63,3477200,0.0,0.0
2025-09-26,3.48,3.55,3.37,3.51,4357800,0.0,0.0
2025-09-25,3.75,3.76,3.47,3.49,5952900,0.0,0.0
2025-09-24,3.76,4.0,3.73,3.86,8072500,0.0,0.0
2025-09-23,3.87,3.97,3.62,3.71,6173000,0.0,0.0
2025-09-22,3.74,3.97,3.72,3.85,5871700,0.0,0.0
2025-09-19,3.79,3.85,3.62,3.75,13344900,0.0,0.0
2025-09-18,3.84,4.1,3.75,3.8,7106600,0.0,0.0
2025-09-17,3.88,4.01,3.79,3.82,3513700,0.0,0.0
2025-09-16,3.63,4.14,3.6,3.89,9299000,0.0,0.0
2025-09-15,3.81,3.86,3.47,3.59,6604700,0.0,0.0
2025-09-12,4.1,4.14,3.77,3.79,5394400,0.0,0.0
2025-09-11,4.07,4.17,4.05,4.14,3367200,0.0,0.0
2025-09-10,4.12,4.21,3.89,4.08,6530800,0.0,0.0
2025-09-09,4.13,4.25,4.02,4.13,5768900,0.0,0.0
2025-09-08,4.37,4.56,4.16,4.16,6231600,0.0,0.0
2025-09-05,4.63,4.64,4.32,4.36,6285300,0.0,0.0
2025-09-04,4.74,4.76,4.49,4.56,6061100,0.0,0.0
2025-09-03,4.81,5.23,4.72,4.75,9376900,0.0,0.0
2025-09-02,4.49,4.93,4.48,4.76,9875400,0.0,0.0
2025-08-29,4.52,4.76,4.41,4.51,9114200,0.0,0.0
2025-08-28,4.58,4.83,4.49,4.55,10276400,0.0,0.0
2025-08-27,4.35,4.59,4.14,4.59,13324900,0.0,0.0
2025-08-26,4.0,4.28,3.98,4.26,9791200,0.0,0.0
2025-08-25,4.17,4.3,3.96,3.98,9454900,0.0,0.0
2025-08-22,3.65,4.21,3.62,4.18,24213200,0.0,0.0
2025-08-21,3.19,3.9,3.16,3.64,21785700,0.0,0.0
2025-08-20,3.14,3.25,2.94,3.21,8919700,0.0,0.0
2025-08-19,2.95,3.34,2.95,3.22,16758500,0.0,0.0
2025-08-18,2.9,2.95,2.62,2.95,20963500,0.0,0.0
2025-08-15,2.6,3.49,2.51,2.94,173718300,0.0,0.0
2025-08-14,1.9,1.95,1.8,1.85,4127800,0.0,0.0
2025-08-13,1.83,1.99,1.81,1.91,4547500,0.0,0.0
2025-08-12,1.74,1.81,1.72,1.8,2245900,0.0,0.0
2025-08-11,1.79,1.83,1.7,1.74,2332100,0.0,0.0
2025-08-08,1.84,1.88,1.77,1.78,1918300,0.0,0.0
2025-08-07,1.89,1.91,1.81,1.88,2413200,0.0,0.0
2025-08-06,1.95,2.0,1.82,1.83,3600900,0.0,0.0
2025-08-05,1.77,1.94,1.74,1.93,3598100,0.0,0.0
2025-08-04,1.7,1.79,1.7,1.76,2302000,0.0,0.0
2025-08-01,1.67,1.69,1.63,1.67,2031200,0.0,0.0
2025-07-31,1.72,1.76,1.67,1.71,1829100,0.0,0.0
2025-07-30,1.62,1.85,1.62,1.73,4874000,0.0,0.0
2025-07-29,1.59,1.7,1.57,1.57,3116000,0.0,0.0
2025-07-28,1.59,1.63,1.54,1.58,2012000,0.0,0.0
2025-07-25,1.59,1.64,1.55,1.57,2829100,0.0,0.0
2025-07-24,1.65,1.72,1.6,1.6,4920200,0.0,0.0
2025-07-23,1.59,1.7,1.54,1.66,3804500,0.0,0.0
2025-07-22,1.74,1.74,1.47,1.52,9272800,0.0,0.0
2025-07-21,1.78,1.92,1.76,1.83,1796600,0.0,0.0
2025-07-18,1.85,1.91,1.74,1.76,1982300,0.0,0.0
2025-07-17,1.85,1.92,1.82,1.82,1663000,0.0,0.0
2025-07-16,1.88,1.95,1.83,1.84,2433000,0.0,0.0
2025-07-15,1.96,1.97,1.84,1.85,1572500,0.0,0.0
2025-07-14,1.83,2.01,1.83,1.95,2306100,0.0,0.0
2025-07-11,1.89,1.92,1.81,1.83,1347600,0.0,0.0
2025-07-10,1.92,1.96,1.85,1.91,1831500,0.0,0.0
2025-07-09,1.75,2.04,1.73,1.9,9428400,0.0,0.0
2025-07-08,1.6,1.71,1.6,1.7,1745500,0.0,0.0
2025-07-07,1.61,1.63,1.56,1.59,1183600,0.0,0.0
2025-07-03,1.61,1.63,1.58,1.62,611400,0.0,0.0
2025-07-02,1.45,1.7,1.45,1.61,3913700,0.0,0.0
2025-07-01,1.42,1.5,1.4,1.45,2188000,0.0,0.0
2025-06-30,1.44,1.45,1.4,1.42,1228000,0.0,0.0
2025-06-27,1.43,1.5,1.39,1.42,5164400,0.0,0.0
2025-06-26,1.43,1.44,1.4,1.43,1445500,0.0,0.0
2025-06-25,1.5,1.52,1.41,1.42,1712800,0.0,0.0
2025-06-24,1.5,1.55,1.48,1.5,1699700,0.0,0.0
2025-06-23,1.45,1.5,1.41,1.48,1284000,0.0,0.0
2025-06-20,1.49,1.5,1.41,1.45,2107700,0.0,0.0
2025-06-18,1.41,1.54,1.38,1.49,1519700,0.0,0.0
2025-06-17,1.55,1.56,1.42,1.42,2339200,0.0,0.0
2025-06-16,1.54,1.59,1.5,1.54,2039800,0.0,0.0
2025-06-13,1.49,1.55,1.47,1.52,1254000,0.0,0.0
2025-06-12,1.5,1.55,1.48,1.52,820300,0.0,0.0
2025-06-11,1.58,1.59,1.5,1.5,1227300,0.0,0.0
2025-06-10,1.51,1.61,1.51,1.54,2407200,0.0,0.0
2025-06-09,1.53,1.55,1.46,1.5,1600100,0.0,0.0
2025-06-06,1.37,1.58,1.35,1.5,3690900,0.0,0.0
2025-06-05,1.33,1.39,1.3,1.33,1221300,0.0,0.0
2025-06-04,1.36,1.39,1.33,1.33,619200,0.0,0.0
2025-06-03,1.32,1.41,1.28,1.36,1266400,0.0,0.0
2025-06-02,1.33,1.4,1.32,1.33,1646300,0.0,0.0
2025-05-30,1.38,1.39,1.28,1.32,1416000,0.0,0.0
2025-05-29,1.4,1.43,1.37,1.39,1051400,0.0,0.0
2025-05-28,1.45,1.47,1.35,1.37,1935500,0.0,0.0
2025-05-27,1.38,1.47,1.38,1.41,1587800,0.0,0.0
2025-05-23,1.38,1.44,1.35,1.37,1416900,0.0,0.0
2025-05-22,1.32,1.44,1.29,1.39,1467300,0.0,0.0
2025-05-21,1.38,1.39,1.29,1.32,2264400,0.0,0.0
2025-05-20,1.36,1.41,1.33,1.41,1645800,0.0,0.0
2025-05-19,1.46,1.47,1.3,1.36,1640900,0.0,0.0
2025-05-16,1.32,1.53,1.31,1.45,2865500,0.0,0.0
2025-05-15,1.27,1.36,1.26,1.31,3142200,0.0,0.0
2025-05-14,1.35,1.36,1.28,1.28,2454700,0.0,0.0
