Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,150.94,151.51,149.45,149.69,7366800,0.0,0.0
2025-10-09,150.74,150.87,149.58,150.58,6134500,0.0,0.0
2025-10-08,152.79,152.79,150.63,150.69,5254700,0.0,0.0
2025-10-07,150.76,153.17,150.05,152.54,6844400,0.0,0.0
2025-10-06,151.5,152.32,150.4,150.41,6737000,0.0,0.0
2025-10-03,152.0,153.43,152.0,152.27,5212600,0.0,0.0
2025-10-02,152.72,152.8,151.63,152.05,6892100,0.0,0.0
2025-10-01,153.7,153.89,151.41,153.18,7566000,0.0,0.0
2025-09-30,153.46,154.38,152.84,153.65,7762600,0.0,0.0
2025-09-29,152.42,153.72,151.79,153.53,8139700,0.0,0.0
2025-09-26,152.23,152.68,151.53,152.5,5721100,0.0,0.0
2025-09-25,153.23,153.88,151.78,152.15,7511400,0.0,0.0
2025-09-24,152.05,153.63,151.79,152.42,6483300,0.0,0.0
2025-09-23,153.2,153.29,150.97,152.5,8853400,0.0,0.0
2025-09-22,156.08,156.08,153.05,153.07,8712900,0.0,0.0
2025-09-19,157.61,157.62,155.97,156.04,17224800,0.0,0.0
2025-09-18,158.15,159.02,157.16,157.32,7651500,0.0,0.0
2025-09-17,158.43,161.67,158.43,160.33,6764200,0.0,0.0
2025-09-16,157.14,158.39,156.89,158.05,6559600,0.0,0.0
2025-09-15,157.88,158.52,156.2,156.83,5995000,0.0,0.0
2025-09-12,157.93,159.13,157.78,157.9,5957000,0.0,0.0
2025-09-11,157.72,159.35,157.39,158.63,5819500,0.0,0.0
2025-09-10,158.6,158.94,155.89,157.35,6205500,0.0,0.0
2025-09-09,158.61,159.87,158.2,159.46,4984900,0.0,0.0
2025-09-08,159.61,160.27,158.25,159.01,7178400,0.0,0.0
2025-09-05,158.55,160.56,158.41,160.02,6436200,0.0,0.0
2025-09-04,158.52,159.75,157.81,159.19,6934900,0.0,0.0
2025-09-03,157.65,158.64,156.5,158.17,6592500,0.0,0.0
2025-09-02,157.36,158.86,156.98,157.99,6432800,0.0,0.0
2025-08-29,156.09,157.56,155.65,157.04,5318200,0.0,0.0
2025-08-28,157.0,157.01,155.03,155.65,5857400,0.0,0.0
2025-08-27,156.15,157.13,155.79,156.96,4551200,0.0,0.0
2025-08-26,155.92,156.7,155.34,155.97,6338000,0.0,0.0
2025-08-25,158.39,158.7,155.89,156.15,4692500,0.0,0.0
