Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,27.9,27.96,27.73,27.78,3419200,0.0,0.0
2025-10-09,28.17,28.17,27.86,27.89,719200,0.0,0.0
2025-10-08,27.94,28.28,27.9,28.21,1098000,0.0,0.0
2025-10-07,27.87,27.99,27.83,27.91,1070800,0.0,0.0
2025-10-06,27.82,28.01,27.82,27.86,870700,0.0,0.0
2025-10-03,27.82,27.92,27.79,27.9,1656200,0.0,0.0
2025-10-02,27.8,27.84,27.75,27.83,1188000,0.0,0.0
2025-10-01,27.83,27.85,27.78,27.8,1240800,0.0,0.0
2025-09-30,27.78,27.83,27.76,27.8,1485400,0.0,0.0
2025-09-29,27.8,27.83,27.74,27.8,1102300,0.0,0.0
2025-09-26,27.82,27.89,27.78,27.81,1228300,0.0,0.0
2025-09-25,27.85,27.88,27.78,27.79,1477400,0.0,0.0
2025-09-24,27.96,28.0,27.73,27.79,4534500,0.0,0.0
2025-09-23,28.25,28.42,27.93,27.95,2374500,0.0,0.0
2025-09-22,27.8,28.35,27.79,28.25,6179400,0.0,0.0
2025-09-19,26.52,26.74,25.28,25.75,5856500,0.0,0.0
2025-09-18,26.6,27.31,26.32,26.42,1490200,0.0,0.0
2025-09-17,26.39,27.01,26.34,26.58,939300,0.0,0.0
2025-09-16,26.44,26.55,26.26,26.38,1019800,0.0,0.0
2025-09-15,26.52,26.74,26.28,26.51,837000,0.0,0.0
2025-09-12,26.79,26.86,26.54,26.6,897700,0.0,0.0
2025-09-11,26.96,27.09,26.76,26.81,1710000,0.0,0.0
2025-09-10,26.93,27.03,26.61,26.8,1290300,0.0,0.0
2025-09-09,26.97,27.31,26.43,27.1,2150500,0.0,0.0
2025-09-08,28.1,28.79,26.99,27.11,4984600,0.0,0.0
2025-09-05,26.29,26.38,25.83,25.85,993200,0.0,0.0
2025-09-04,25.61,26.31,25.53,26.28,1128200,0.0,0.0
2025-09-03,25.79,26.05,25.44,25.59,1762600,0.0,0.0
2025-09-02,25.67,26.32,25.67,25.89,1246700,0.0,0.0
2025-08-29,26.13,26.24,25.88,25.9,1050100,0.21,0.0
2025-08-28,25.99,26.08,25.73,26.06,1116800,0.0,0.0
