Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,24.53,26.8,24.3,25.79,6158600,0.0,0.0
2025-10-09,25.02,25.47,23.72,23.94,4406300,0.0,0.0
2025-10-08,24.18,24.72,23.61,24.34,4007000,0.0,0.0
2025-10-07,24.49,24.83,23.12,23.6,4367200,0.0,0.0
2025-10-06,23.26,24.13,22.61,23.58,5156100,0.0,0.0
2025-10-03,21.56,22.51,21.26,21.84,2447300,0.0,0.0
2025-10-02,21.01,21.49,20.25,21.01,2379300,0.0,0.0
2025-10-01,19.9,20.8,19.88,20.67,1940400,0.0,0.0
2025-09-30,20.31,20.69,20.01,20.23,1827600,0.0,0.0
2025-09-29,21.81,21.87,20.08,20.6,3159200,0.0,0.0
2025-09-26,19.79,22.62,19.75,21.16,9026200,0.0,0.0
2025-09-25,18.6,19.82,18.21,19.0,2378200,0.0,0.0
2025-09-24,19.2,19.76,18.82,18.86,2652800,0.0,0.0
2025-09-23,19.16,19.84,18.67,18.95,2799500,0.0,0.0
2025-09-22,18.79,19.41,18.14,18.86,3685000,0.0,0.0
2025-09-19,17.63,18.41,17.52,18.31,7725900,0.0,0.0
2025-09-18,17.11,17.46,16.72,17.41,2023600,0.0,0.0
2025-09-17,16.88,17.65,16.81,16.99,2404100,0.0,0.0
2025-09-16,18.44,18.46,16.88,16.92,2792600,0.0,0.0
2025-09-15,17.36,18.11,17.28,18.01,2152200,0.0,0.0
2025-09-12,17.37,17.54,16.89,17.32,1365100,0.0,0.0
2025-09-11,17.23,17.58,17.1,17.21,1313100,0.0,0.0
2025-09-10,17.29,17.74,17.04,17.25,2771900,0.0,0.0
2025-09-09,18.2,18.28,16.69,16.71,3978400,0.0,0.0
2025-09-08,18.67,18.96,17.59,18.06,2125400,0.0,0.0
2025-09-05,18.5,18.71,18.05,18.43,1448500,0.0,0.0
2025-09-04,18.81,19.07,17.82,18.07,2943300,0.0,0.0
2025-09-03,19.0,19.75,18.84,19.2,2227000,0.0,0.0
2025-09-02,19.0,19.13,18.0,18.69,2726400,0.0,0.0
2025-08-29,18.44,19.09,18.44,18.87,1666900,0.0,0.0
2025-08-28,18.62,18.89,18.42,18.47,1230500,0.0,0.0
2025-08-27,18.25,18.76,18.02,18.61,1174100,0.0,0.0
2025-08-26,18.09,18.64,18.08,18.51,1846400,0.0,0.0
2025-08-25,17.73,18.7,17.66,18.07,2547500,0.0,0.0
2025-08-22,17.86,18.71,17.57,17.73,2583200,0.0,0.0
2025-08-21,17.05,18.01,16.97,17.87,2248100,0.0,0.0
2025-08-20,16.43,17.05,16.41,17.04,1385600,0.0,0.0
2025-08-19,17.58,17.58,16.28,16.35,2154900,0.0,0.0
2025-08-18,17.6,17.67,16.71,17.57,2259800,0.0,0.0
2025-08-15,17.53,18.1,17.15,17.31,2815300,0.0,0.0
2025-08-14,17.04,17.66,16.9,17.53,1573100,0.0,0.0
2025-08-13,17.43,17.49,16.66,17.03,1457100,0.0,0.0
2025-08-12,17.56,17.75,16.87,17.37,1285200,0.0,0.0
2025-08-11,16.67,17.61,16.34,17.37,1476500,0.0,0.0
2025-08-08,17.53,17.8,16.64,16.9,1770100,0.0,0.0
2025-08-07,17.8,17.99,16.82,17.3,1872000,0.0,0.0
2025-08-06,16.63,17.28,16.56,17.26,1980100,0.0,0.0
2025-08-05,16.64,16.75,16.25,16.68,1112600,0.0,0.0
2025-08-04,15.55,16.74,15.48,16.74,1871800,0.0,0.0
2025-08-01,15.35,15.45,14.69,15.16,1711500,0.0,0.0
2025-07-31,15.0,15.37,14.92,15.1,1395300,0.0,0.0
2025-07-30,15.26,15.49,14.82,14.95,1343300,0.0,0.0
2025-07-29,16.0,16.05,15.29,15.47,1409500,0.0,0.0
2025-07-28,16.21,16.41,15.73,15.88,1522500,0.0,0.0
2025-07-25,16.5,16.73,15.91,16.21,2488100,0.0,0.0
2025-07-24,16.83,17.28,16.5,16.84,1921000,0.0,0.0
2025-07-23,17.76,18.03,16.53,16.98,3588500,0.0,0.0
