Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,15.4,15.93,14.96,14.96,1924000,0.0,0.0
2025-10-09,15.38,15.57,15.12,15.16,1633400,0.0,0.0
2025-10-08,16.0,16.08,15.12,15.43,3228400,0.0,0.0
2025-10-07,16.52,16.6,15.57,15.85,2584100,0.0,0.0
2025-10-06,16.97,17.12,16.34,16.44,1986100,0.0,0.0
2025-10-03,17.02,17.45,16.77,17.02,1433100,0.0,0.0
2025-10-02,17.09,17.18,16.59,16.8,1726300,0.0,0.0
2025-10-01,16.76,17.17,16.61,16.91,1587600,0.0,0.0
2025-09-30,17.03,17.18,16.47,16.78,2870400,0.0,0.0
2025-09-29,17.1,17.33,16.78,17.04,1585400,0.0,0.0
2025-09-26,17.45,17.55,17.0,17.09,1407700,0.0,0.0
2025-09-25,17.22,17.62,16.86,17.39,2032700,0.0,0.0
2025-09-24,18.61,18.67,17.75,17.82,2129100,0.0,0.0
2025-09-23,19.2,19.36,18.22,18.3,2758000,0.0,0.0
2025-09-22,18.97,19.44,18.75,18.89,2145600,0.0,0.0
2025-09-19,18.98,19.18,18.7,18.86,4171400,0.0,0.0
2025-09-18,18.09,19.04,17.86,18.86,2744000,0.0,0.0
2025-09-17,17.99,18.48,17.68,18.09,2252200,0.0,0.0
2025-09-16,17.58,17.95,17.14,17.94,1673700,0.0,0.0
2025-09-15,17.5,18.14,17.33,17.66,2682600,0.0,0.0
2025-09-12,18.14,18.31,17.28,17.44,2577000,0.0,0.0
2025-09-11,18.23,18.4,17.72,18.15,2892800,0.0,0.0
2025-09-10,18.98,18.99,18.0,18.13,2037600,0.0,0.0
2025-09-09,19.1,19.14,18.52,18.76,1689400,0.0,0.0
2025-09-08,18.15,19.22,18.12,19.04,2553400,0.0,0.0
2025-09-05,18.24,18.7,17.7,18.2,2274000,0.0,0.0
2025-09-04,17.88,18.05,17.65,17.95,2062100,0.0,0.0
2025-09-03,17.81,18.02,17.65,17.83,2790100,0.0,0.0
2025-09-02,16.7,18.12,16.7,17.75,3586800,0.0,0.0
2025-08-29,16.28,16.98,15.96,16.97,2324100,0.0,0.0
2025-08-28,16.43,16.65,16.06,16.09,1715700,0.0,0.0
2025-08-27,15.78,16.45,15.77,16.27,1715100,0.0,0.0
2025-08-26,16.39,16.45,15.79,15.87,3094500,0.0,0.0
2025-08-25,16.57,17.13,16.33,16.39,1643400,0.0,0.0
2025-08-22,15.6,16.7,15.46,16.63,1900200,0.0,0.0
2025-08-21,15.18,15.81,14.76,15.64,1517400,0.0,0.0
2025-08-20,14.8,15.45,14.32,15.32,1256900,0.0,0.0
2025-08-19,15.99,16.24,14.91,14.98,1972000,0.0,0.0
2025-08-18,15.3,16.0,15.23,15.96,1649200,0.0,0.0
2025-08-15,15.48,15.52,14.97,15.34,1039300,0.0,0.0
2025-08-14,15.7,15.96,15.18,15.42,1162100,0.0,0.0
2025-08-13,15.76,16.26,15.4,16.05,2166000,0.0,0.0
2025-08-12,14.97,15.54,14.43,15.5,1980100,0.0,0.0
2025-08-11,14.13,15.0,14.13,14.89,1720400,0.0,0.0
2025-08-08,15.16,15.18,14.15,14.2,1872800,0.0,0.0
2025-08-07,16.33,16.62,14.66,14.89,2437500,0.0,0.0
2025-08-06,15.3,17.38,15.01,16.04,7010000,0.0,0.0
2025-08-05,13.1,13.5,12.82,13.16,2827200,0.0,0.0
2025-08-04,12.66,13.29,12.48,12.86,1940900,0.0,0.0
2025-08-01,12.12,12.51,11.86,12.3,2401800,0.0,0.0
2025-07-31,12.82,13.0,12.38,12.62,1709800,0.0,0.0
2025-07-30,13.1,13.31,12.72,12.76,1859900,0.0,0.0
2025-07-29,13.2,13.2,12.58,12.81,1364000,0.0,0.0
2025-07-28,13.62,13.81,13.02,13.12,1122000,0.0,0.0
2025-07-25,13.33,13.67,12.98,13.42,1347900,0.0,0.0
2025-07-24,14.12,14.22,13.16,13.26,1822300,0.0,0.0
2025-07-23,13.52,14.34,13.51,14.21,1914000,0.0,0.0
2025-07-22,13.4,13.54,12.83,13.38,1311300,0.0,0.0
2025-07-21,13.64,13.96,13.15,13.46,1359600,0.0,0.0
2025-07-18,13.15,13.63,13.04,13.48,2012400,0.0,0.0
2025-07-17,12.79,13.02,12.75,13.0,1089000,0.0,0.0
2025-07-16,12.24,12.79,11.98,12.78,1289600,0.0,0.0
2025-07-15,12.38,12.64,11.74,12.16,1858000,0.0,0.0
2025-07-14,12.18,12.53,12.18,12.38,1672500,0.0,0.0
2025-07-11,13.14,13.31,12.14,12.28,2066700,0.0,0.0
2025-07-10,12.95,13.59,12.64,13.31,2726900,0.0,0.0
2025-07-09,12.61,12.99,12.13,12.89,1866300,0.0,0.0
2025-07-08,12.82,13.2,12.23,12.46,1773900,0.0,0.0
2025-07-07,12.26,12.89,12.05,12.68,2334700,0.0,0.0
2025-07-03,12.47,12.47,12.02,12.28,1282800,0.0,0.0
2025-07-02,12.07,12.52,11.89,12.44,2335200,0.0,0.0
2025-07-01,11.82,12.83,11.74,12.09,3759900,0.0,0.0
2025-06-30,12.0,12.35,11.53,11.79,4543700,0.0,0.0
2025-06-27,11.93,12.02,11.41,11.78,3061300,0.0,0.0
2025-06-26,10.84,12.09,10.55,11.94,2739700,0.0,0.0
2025-06-25,11.0,11.18,10.6,10.83,852800,0.0,0.0
2025-06-24,10.55,10.98,10.18,10.91,2287900,0.0,0.0
2025-06-23,10.52,10.6,9.91,10.44,2247500,0.0,0.0
2025-06-20,10.99,11.02,10.63,10.72,1843100,0.0,0.0
2025-06-18,10.87,11.68,10.84,10.9,2333500,0.0,0.0
2025-06-17,11.03,11.2,10.69,10.9,1394800,0.0,0.0
2025-06-16,10.97,11.44,10.73,11.25,1726700,0.0,0.0
2025-06-13,10.89,11.15,10.51,10.62,1990100,0.0,0.0
2025-06-12,11.28,11.4,11.11,11.26,1183200,0.0,0.0
2025-06-11,11.3,11.93,11.22,11.42,2221200,0.0,0.0
2025-06-10,11.05,11.37,10.75,11.24,1697100,0.0,0.0
2025-06-09,11.0,11.11,10.57,11.05,2331500,0.0,0.0
2025-06-06,9.6,11.0,9.5,10.86,4546200,0.0,0.0
2025-06-05,9.58,9.6,9.24,9.33,1763900,0.0,0.0
2025-06-04,9.46,9.83,9.45,9.63,1575900,0.0,0.0
2025-06-03,9.42,9.71,9.12,9.47,1793200,0.0,0.0
2025-06-02,9.12,9.39,8.85,9.35,1573400,0.0,0.0
2025-05-30,9.36,9.4,9.08,9.12,4008000,0.0,0.0
2025-05-29,9.95,9.95,9.16,9.43,1711500,0.0,0.0
2025-05-28,9.97,9.97,9.37,9.84,2531900,0.0,0.0
2025-05-27,10.4,10.4,9.72,9.93,3141000,0.0,0.0
2025-05-23,9.59,10.27,9.52,10.13,2975100,0.0,0.0
2025-05-22,9.34,9.98,9.3,9.86,3233900,0.0,0.0
2025-05-21,9.91,9.91,9.04,9.51,4433500,0.0,0.0
2025-05-20,10.69,12.2,9.5,10.1,7867000,0.0,0.0
2025-05-19,10.31,10.76,10.12,10.63,1815000,0.0,0.0
2025-05-16,10.01,10.85,9.83,10.78,2545900,0.0,0.0
2025-05-15,10.72,10.78,9.81,10.02,2742200,0.0,0.0
2025-05-14,10.48,11.14,10.33,10.79,2783800,0.0,0.0
2025-05-13,10.74,11.02,10.03,10.5,2072100,0.0,0.0
2025-05-12,10.45,10.61,10.03,10.59,2534900,0.0,0.0
2025-05-09,10.91,11.08,9.95,10.31,2373600,0.0,0.0
2025-05-08,10.65,11.35,9.72,10.88,7003500,0.0,0.0
2025-05-07,8.01,10.87,7.5,10.65,24000000,0.0,0.0
2025-05-06,6.08,6.43,6.02,6.34,2742000,0.0,0.0
2025-05-05,6.3,6.33,5.92,6.25,2182100,0.0,0.0
2025-05-02,6.21,6.45,6.2,6.38,1606100,0.0,0.0
2025-05-01,6.01,6.32,5.83,6.14,2190200,0.0,0.0
2025-04-30,5.9,5.99,5.7,5.8,2263500,0.0,0.0
2025-04-29,5.77,6.23,5.71,6.18,1884200,0.0,0.0
2025-04-28,5.96,5.98,5.6,5.79,1620400,0.0,0.0
2025-04-25,5.57,5.99,5.3,5.91,2021200,0.0,0.0
2025-04-24,5.11,5.59,5.06,5.49,1513600,0.0,0.0
2025-04-23,5.2,5.39,5.0,5.11,1659500,0.0,0.0
2025-04-22,4.68,5.08,4.68,4.88,1687300,0.0,0.0
2025-04-21,5.2,5.22,4.64,4.66,2045000,0.0,0.0
2025-04-17,5.07,5.38,5.07,5.29,1577600,0.0,0.0
2025-04-16,5.26,5.27,4.98,5.07,2302800,0.0,0.0
2025-04-15,5.35,5.69,5.26,5.44,1211100,0.0,0.0
2025-04-14,5.71,5.78,5.28,5.32,1243200,0.0,0.0
2025-04-11,5.37,5.51,5.01,5.47,1700700,0.0,0.0
2025-04-10,5.7,5.7,5.3,5.39,1571500,0.0,0.0
2025-04-09,5.2,6.19,4.79,5.93,3465500,0.0,0.0
2025-04-08,5.91,5.94,5.1,5.23,3575900,0.0,0.0
2025-04-07,5.2,6.0,4.91,5.63,3892200,0.0,0.0
2025-04-04,6.05,6.17,5.26,5.64,2904700,0.0,0.0
2025-04-03,6.72,6.74,6.23,6.45,2422100,0.0,0.0
2025-04-02,7.0,7.36,6.88,6.99,1560400,0.0,0.0
2025-04-01,7.17,7.47,6.92,7.18,2082900,0.0,0.0
2025-03-31,7.07,7.76,7.02,7.29,3901900,0.0,0.0
2025-03-28,7.21,7.45,7.06,7.39,2747800,0.0,0.0
2025-03-27,7.53,7.93,7.24,7.36,2519300,0.0,0.0
2025-03-26,7.99,8.48,7.43,7.58,3523000,0.0,0.0
2025-03-25,6.91,8.06,6.83,7.96,5454700,0.0,0.0
2025-03-24,6.9,7.04,6.65,6.86,2736400,0.0,0.0
2025-03-21,6.5,6.93,6.25,6.8,4359400,0.0,0.0
2025-03-20,6.14,6.57,6.11,6.4,1869300,0.0,0.0
2025-03-19,6.3,6.62,6.09,6.27,2410500,0.0,0.0
2025-03-18,6.05,6.45,5.78,6.25,2160000,0.0,0.0
2025-03-17,5.94,6.43,5.91,6.29,2077400,0.0,0.0
2025-03-14,5.72,6.19,5.72,5.94,2175500,0.0,0.0
2025-03-13,5.94,6.04,5.56,5.58,1548100,0.0,0.0
2025-03-12,5.82,6.15,5.66,5.96,1994900,0.0,0.0
2025-03-11,5.86,6.09,5.6,5.61,1553300,0.0,0.0
2025-03-10,6.23,6.3,5.51,5.8,2037400,0.0,0.0
2025-03-07,6.41,6.71,6.05,6.59,1519900,0.0,0.0
2025-03-06,6.83,7.12,6.39,6.45,1701000,0.0,0.0
2025-03-05,6.8,7.3,6.53,7.19,1898500,0.0,0.0
2025-03-04,6.63,6.77,5.86,6.77,3517000,0.0,0.0
2025-03-03,6.97,7.11,6.6,6.92,2614400,0.0,0.0
2025-02-28,6.54,7.19,6.35,6.99,3773300,0.0,0.0
2025-02-27,6.64,7.19,6.2,6.7,7774100,0.0,0.0
2025-02-26,4.85,6.92,4.82,6.6,31966500,0.0,0.0
2025-02-25,3.89,3.97,3.72,3.79,2379400,0.0,0.0
2025-02-24,4.35,4.43,3.91,3.93,3043300,0.0,0.0
2025-02-21,4.9,4.92,4.32,4.33,1004400,0.0,0.0
2025-02-20,5.17,5.17,4.65,4.81,776600,0.0,0.0
2025-02-19,5.24,5.24,4.98,5.16,969200,0.0,0.0
2025-02-18,4.81,5.41,4.72,5.21,1847700,0.0,0.0
2025-02-14,4.94,5.01,4.76,4.81,649500,0.0,0.0
2025-02-13,4.8,4.93,4.6,4.91,1298200,0.0,0.0
2025-02-12,4.54,5.03,4.5,4.75,1317400,0.0,0.0
2025-02-11,4.42,4.68,4.34,4.65,863400,0.0,0.0
2025-02-10,4.51,4.51,4.28,4.47,1023600,0.0,0.0
2025-02-07,4.48,4.61,4.39,4.42,690900,0.0,0.0
2025-02-06,4.58,4.6,4.47,4.49,488500,0.0,0.0
2025-02-05,4.68,4.68,4.41,4.53,844800,0.0,0.0
2025-02-04,4.39,4.66,4.25,4.64,856200,0.0,0.0
2025-02-03,4.3,4.78,4.21,4.4,1362400,0.0,0.0
2025-01-31,4.3,4.48,4.2,4.45,1313700,0.0,0.0
2025-01-30,4.23,4.41,4.22,4.3,955600,0.0,0.0
2025-01-29,4.27,4.33,4.05,4.15,837800,0.0,0.0
2025-01-28,4.31,4.41,4.15,4.29,525500,0.0,0.0
2025-01-27,4.29,4.5,3.99,4.31,1115100,0.0,0.0
2025-01-24,4.41,4.64,4.32,4.41,615400,0.0,0.0
2025-01-23,4.43,4.55,4.32,4.41,774900,0.0,0.0
2025-01-22,4.5,4.68,4.44,4.53,910700,0.0,0.0
2025-01-21,4.72,4.75,4.52,4.53,659800,0.0,0.0
2025-01-17,4.84,4.97,4.55,4.62,671300,0.0,0.0
2025-01-16,4.79,4.9,4.65,4.75,766500,0.0,0.0
2025-01-15,4.8,5.03,4.69,4.78,1430500,0.0,0.0
2025-01-14,4.61,4.75,4.3,4.46,806800,0.0,0.0
2025-01-13,4.32,4.54,4.3,4.5,1077300,0.0,0.0
2025-01-10,4.5,4.6,4.38,4.51,1152200,0.0,0.0
2025-01-08,5.01,5.13,4.6,4.68,1924000,0.0,0.0
2025-01-07,5.19,5.25,4.74,5.07,2752300,0.0,0.0
2025-01-06,5.41,5.5,5.18,5.24,1468200,0.0,0.0
