Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,35.68,35.84,32.49,33.02,58124900,0.0,0.0
2025-10-09,34.7,36.64,33.6,35.07,66185800,0.0,0.0
2025-10-08,36.12,39.55,32.51,34.25,83873300,0.0,0.0
2025-10-07,36.96,37.9,33.85,35.72,90346500,0.0,0.0
2025-10-06,32.01,36.42,31.85,35.02,74825300,0.0,0.0
2025-10-03,30.6,33.28,29.95,32.7,89971300,0.0,0.0
2025-10-02,26.2,29.61,26.03,29.21,72187900,0.0,0.0
2025-10-01,24.39,25.82,23.91,25.63,43929500,0.0,0.0
2025-09-30,24.94,25.48,23.67,24.71,46242400,0.0,0.0
2025-09-29,27.02,28.57,24.97,25.31,68895900,0.0,0.0
2025-09-26,26.35,28.5,26.02,26.76,60598600,0.0,0.0
2025-09-25,26.01,27.33,24.62,26.34,65488800,0.0,0.0
2025-09-24,28.44,29.18,26.36,27.72,66549300,0.0,0.0
2025-09-23,25.88,27.99,25.6,27.52,66448000,0.0,0.0
2025-09-22,24.49,26.26,22.84,25.67,69773500,0.0,0.0
2025-09-19,23.32,27.33,23.32,26.88,102188600,0.0,0.0
2025-09-18,22.87,24.85,22.34,24.02,80856500,0.0,0.0
2025-09-17,18.98,22.85,18.93,22.54,126852200,0.0,0.0
2025-09-16,18.38,19.18,17.9,18.98,39742600,0.0,0.0
2025-09-15,17.7,18.58,17.26,18.32,44351300,0.0,0.0
2025-09-12,16.67,17.98,16.54,17.76,59652400,0.0,0.0
2025-09-11,16.11,16.72,15.96,16.52,38787000,0.0,0.0
2025-09-10,16.2,16.42,15.87,16.04,29141700,0.0,0.0
2025-09-09,15.45,16.24,15.28,16.15,34180600,0.0,0.0
2025-09-08,15.51,15.75,15.23,15.42,22874700,0.0,0.0
2025-09-05,15.46,15.96,14.9,15.37,32925300,0.0,0.0
2025-09-04,15.47,15.81,14.88,15.29,27518900,0.0,0.0
2025-09-03,15.8,16.12,15.18,15.3,32108000,0.0,0.0
2025-09-02,15.15,15.86,14.78,15.85,29039700,0.0,0.0
2025-08-29,15.98,15.99,15.46,15.62,20006700,0.0,0.0
2025-08-28,15.43,16.29,15.4,15.92,32742500,0.0,0.0
2025-08-27,15.33,15.81,15.07,15.23,26923500,0.0,0.0
2025-08-26,15.03,15.55,14.98,15.45,23348100,0.0,0.0
2025-08-25,15.42,15.44,14.76,15.02,21415500,0.0,0.0
2025-08-22,14.74,15.62,14.43,15.54,31682500,0.0,0.0
2025-08-21,15.0,15.02,14.57,14.81,24222500,0.0,0.0
2025-08-20,15.3,15.46,14.2,15.06,36855000,0.0,0.0
2025-08-19,16.52,16.6,15.24,15.32,33392300,0.0,0.0
2025-08-18,17.0,17.07,16.23,16.56,27337500,0.0,0.0
2025-08-15,17.76,17.9,16.52,17.01,45627500,0.0,0.0
2025-08-14,18.25,18.54,17.44,18.18,42780100,0.0,0.0
2025-08-13,18.65,19.09,17.76,18.65,52175600,0.0,0.0
2025-08-12,17.47,18.59,16.94,18.51,46380900,0.0,0.0
2025-08-11,17.0,18.2,16.81,17.37,43714700,0.0,0.0
2025-08-08,17.13,17.77,16.57,16.9,44646000,0.0,0.0
2025-08-07,17.0,17.92,16.56,17.17,65506200,0.0,0.0
2025-08-06,18.56,18.61,17.41,17.58,38888500,0.0,0.0
2025-08-05,17.72,19.17,17.49,18.3,58268200,0.0,0.0
2025-08-04,16.76,17.42,16.35,17.18,33087300,0.0,0.0
2025-08-01,16.51,17.04,16.11,16.38,31626300,0.0,0.0
2025-07-31,17.61,18.59,17.19,17.19,37839200,0.0,0.0
2025-07-30,17.92,18.47,16.77,17.06,37283200,0.0,0.0
2025-07-29,18.82,19.24,17.64,17.67,30091000,0.0,0.0
2025-07-28,19.3,19.44,17.81,18.35,34377600,0.0,0.0
2025-07-25,19.7,19.75,18.73,18.87,31470200,0.0,0.0
2025-07-24,19.64,20.47,19.41,19.76,49987900,0.0,0.0
2025-07-23,18.3,20.47,18.06,20.3,77379100,0.0,0.0
2025-07-22,18.38,18.38,16.78,17.59,43194500,0.0,0.0
2025-07-21,19.45,20.56,18.37,18.39,81623600,0.0,0.0
2025-07-18,18.85,19.07,17.88,18.89,52081800,0.0,0.0
2025-07-17,17.18,19.53,17.1,19.24,101936700,0.0,0.0
2025-07-16,16.3,16.98,15.72,16.91,50935200,0.0,0.0
2025-07-15,15.91,16.27,15.51,16.15,31591700,0.0,0.0
2025-07-14,15.08,15.88,14.89,15.83,28069700,0.0,0.0
2025-07-11,15.86,16.05,14.76,14.81,30063500,0.0,0.0
2025-07-10,16.38,16.6,15.93,16.01,28330000,0.0,0.0
2025-07-09,16.37,17.06,15.69,16.39,39291400,0.0,0.0
2025-07-08,16.99,17.54,15.96,15.99,37366700,0.0,0.0
2025-07-07,16.71,17.17,15.94,16.76,35884400,0.0,0.0
2025-07-03,16.21,16.83,16.1,16.79,29876900,0.0,0.0
2025-07-02,15.12,16.08,14.76,15.98,62915400,0.0,0.0
2025-07-01,15.2,15.32,14.29,14.82,54151500,0.0,0.0
2025-06-30,14.12,14.77,13.83,14.64,38372500,0.0,0.0
2025-06-27,14.1,14.4,13.57,14.02,62783400,0.0,0.0
2025-06-26,14.17,14.41,13.95,14.06,38744600,0.0,0.0
2025-06-25,15.08,15.44,14.16,14.18,30993700,0.0,0.0
2025-06-24,15.28,15.36,14.7,14.97,33442500,0.0,0.0
2025-06-23,15.02,15.35,14.21,14.94,46541800,0.0,0.0
2025-06-20,15.97,16.15,15.48,15.65,55758400,0.0,0.0
2025-06-18,15.74,16.25,15.19,15.71,52611100,0.0,0.0
2025-06-17,15.99,16.1,15.02,15.55,39546600,0.0,0.0
2025-06-16,15.5,16.79,15.46,16.0,59371500,0.0,0.0
2025-06-13,15.34,15.66,14.84,15.17,41618700,0.0,0.0
2025-06-12,16.59,17.0,15.77,15.88,49982500,0.0,0.0
2025-06-11,17.44,17.71,16.17,16.53,86552100,0.0,0.0
2025-06-10,18.0,18.95,16.86,16.93,64100900,0.0,0.0
2025-06-09,18.88,18.91,17.66,17.95,57044300,0.0,0.0
2025-06-06,16.61,18.79,16.26,18.62,82618000,0.0,0.0
2025-06-05,17.53,17.66,16.09,16.47,65927500,0.0,0.0
2025-06-04,17.42,18.2,17.15,17.82,56340400,0.0,0.0
2025-06-03,17.3,17.7,16.68,17.68,60196400,0.0,0.0
2025-06-02,16.24,17.41,15.15,17.11,64920400,0.0,0.0
2025-05-30,15.67,16.45,15.47,16.33,68710500,0.0,0.0
2025-05-29,17.59,18.03,16.21,16.27,66699900,0.0,0.0
2025-05-28,17.0,17.93,16.86,17.55,62298400,0.0,0.0
2025-05-27,19.28,19.43,16.92,17.55,113782100,0.0,0.0
2025-05-23,17.91,19.76,17.6,18.8,148871900,0.0,0.0
2025-05-22,15.38,19.52,15.08,19.04,243312700,0.0,0.0
2025-05-21,17.3,17.8,15.1,15.36,224491900,0.0,0.0
2025-05-20,15.34,17.59,14.6,16.56,308820200,0.0,0.0
2025-05-19,12.52,13.44,11.89,13.15,113476200,0.0,0.0
2025-05-16,11.32,12.66,11.32,12.25,112473800,0.0,0.0
2025-05-15,11.0,12.49,10.6,11.03,112938800,0.0,0.0
2025-05-14,10.94,11.64,10.6,11.08,84236500,0.0,0.0
2025-05-13,11.03,11.54,10.36,10.73,57341600,0.0,0.0
2025-05-12,11.79,11.84,10.6,10.72,76561800,0.0,0.0
2025-05-09,9.85,11.69,9.83,11.09,161687800,0.0,0.0
2025-05-08,8.67,10.89,7.71,10.42,228913500,0.0,0.0
2025-05-07,7.12,7.17,6.82,6.89,20478500,0.0,0.0
2025-05-06,7.1,7.25,6.88,7.23,18169600,0.0,0.0
2025-05-05,7.71,7.84,7.26,7.28,22910300,0.0,0.0
2025-05-02,7.09,7.95,7.09,7.91,43342400,0.0,0.0
2025-05-01,7.01,7.14,6.84,6.98,20359700,0.0,0.0
2025-04-30,6.68,6.93,6.52,6.91,20294500,0.0,0.0
2025-04-29,7.39,7.47,6.9,7.0,31713100,0.0,0.0
2025-04-28,7.76,8.14,7.28,7.37,29948200,0.0,0.0
2025-04-25,7.35,7.67,7.07,7.53,38229300,0.0,0.0
2025-04-24,7.2,7.64,7.16,7.35,27966200,0.0,0.0
2025-04-23,6.74,7.4,6.68,7.13,40330400,0.0,0.0
2025-04-22,6.37,6.37,6.17,6.25,15420800,0.0,0.0
2025-04-21,6.25,6.31,5.97,6.24,14851200,0.0,0.0
2025-04-17,6.51,6.64,6.3,6.42,14213000,0.0,0.0
2025-04-16,6.7,6.75,6.27,6.44,25981300,0.0,0.0
2025-04-15,7.02,7.15,6.82,6.92,16044900,0.0,0.0
2025-04-14,7.57,7.77,6.94,7.02,26773100,0.0,0.0
2025-04-11,7.28,7.59,7.02,7.25,30852300,0.0,0.0
2025-04-10,7.02,7.38,6.81,7.2,35572900,0.0,0.0
2025-04-09,6.27,7.34,6.06,7.2,54243000,0.0,0.0
2025-04-08,7.14,7.14,5.99,6.22,37647400,0.0,0.0
2025-04-07,5.88,6.94,5.77,6.6,41532700,0.0,0.0
2025-04-04,6.88,6.97,6.14,6.34,33922700,0.0,0.0
2025-04-03,6.79,7.23,6.75,7.16,32929500,0.0,0.0
2025-04-02,7.27,7.77,7.23,7.34,41379700,0.0,0.0
2025-04-01,7.91,8.09,7.2,7.42,48534100,0.0,0.0
2025-03-31,7.21,7.73,7.11,7.6,33569700,0.0,0.0
2025-03-28,7.95,8.0,7.25,7.58,35371300,0.0,0.0
2025-03-27,8.13,8.39,7.85,8.06,41950700,0.0,0.0
2025-03-26,8.8,9.22,8.08,8.27,63092700,0.0,0.0
2025-03-25,8.58,8.96,8.08,8.78,74683700,0.0,0.0
2025-03-24,8.9,9.35,8.35,8.72,95463800,0.0,0.0
2025-03-21,8.26,9.02,8.16,8.36,97399500,0.0,0.0
2025-03-20,10.3,11.25,8.27,8.69,177537300,0.0,0.0
2025-03-19,10.94,11.16,9.81,10.6,90270400,0.0,0.0
2025-03-18,10.08,11.5,9.48,10.8,154983100,0.0,0.0
2025-03-17,10.91,11.95,10.23,11.18,210060700,0.0,0.0
2025-03-14,7.7,10.2,7.62,10.15,261242300,0.0,0.0
2025-03-13,6.06,7.12,6.04,6.91,130890800,0.0,0.0
2025-03-12,5.64,6.39,5.34,5.82,72826400,0.0,0.0
2025-03-11,4.69,5.4,4.57,5.38,39851400,0.0,0.0
2025-03-10,5.01,5.05,4.49,4.63,31687100,0.0,0.0
2025-03-07,5.17,5.55,4.96,5.18,44347800,0.0,0.0
2025-03-06,5.28,5.71,5.14,5.23,37526300,0.0,0.0
2025-03-05,5.36,5.6,5.12,5.6,33082100,0.0,0.0
2025-03-04,4.47,5.52,4.45,5.32,49283200,0.0,0.0
2025-03-03,5.58,5.77,4.8,4.9,49860300,0.0,0.0
2025-02-28,5.48,5.86,5.34,5.48,45677400,0.0,0.0
2025-02-27,6.22,6.32,5.53,5.56,45187000,0.0,0.0
2025-02-26,6.15,6.59,6.05,6.14,44114700,0.0,0.0
2025-02-25,6.37,6.4,5.7,5.92,48772600,0.0,0.0
2025-02-24,7.26,7.27,6.25,6.41,70149600,0.0,0.0
2025-02-21,7.71,8.22,7.13,7.25,93361300,0.0,0.0
2025-02-20,7.27,7.48,6.64,7.39,110757000,0.0,0.0
2025-02-19,6.02,7.02,5.84,6.54,97749500,0.0,0.0
2025-02-18,6.39,6.39,5.73,6.04,53948900,0.0,0.0
2025-02-14,6.56,6.8,6.32,6.37,52173900,0.0,0.0
2025-02-13,6.21,6.64,6.05,6.5,69538700,0.0,0.0
2025-02-12,5.38,6.11,5.31,6.04,63679600,0.0,0.0
2025-02-11,5.79,5.85,5.31,5.33,36863700,0.0,0.0
2025-02-10,5.79,6.07,5.53,5.83,44651100,0.0,0.0
2025-02-07,6.05,6.34,5.71,5.81,59278500,0.0,0.0
2025-02-06,6.45,6.66,5.92,5.99,57790100,0.0,0.0
2025-02-05,5.85,6.47,5.65,6.26,85371700,0.0,0.0
2025-02-04,5.94,6.26,5.62,5.78,67457500,0.0,0.0
2025-02-03,5.63,5.89,5.36,5.76,55077100,0.0,0.0
2025-01-31,5.69,6.39,5.66,5.94,74827900,0.0,0.0
2025-01-30,5.67,6.03,5.54,5.64,55033200,0.0,0.0
2025-01-29,5.72,5.92,5.39,5.52,41669900,0.0,0.0
2025-01-28,5.88,5.93,5.41,5.74,43429500,0.0,0.0
2025-01-27,5.8,5.97,5.22,5.58,75835800,0.0,0.0
2025-01-24,6.21,7.11,6.08,6.09,139128900,0.0,0.0
2025-01-23,6.1,6.75,5.91,6.03,87202200,0.0,0.0
2025-01-22,6.99,7.11,6.11,6.25,126921000,0.0,0.0
2025-01-21,5.4,6.33,5.38,6.29,133545800,0.0,0.0
2025-01-17,5.73,6.02,5.23,5.27,76532800,0.0,0.0
2025-01-16,5.99,6.44,5.61,5.81,163483400,0.0,0.0
2025-01-15,5.96,6.35,5.3,5.79,203553100,0.0,0.0
2025-01-14,4.14,4.86,4.02,4.73,141530500,0.0,0.0
2025-01-13,4.66,4.96,3.74,3.83,107285700,0.0,0.0
2025-01-10,6.34,6.76,5.72,5.77,88877100,0.0,0.0
2025-01-08,6.58,6.79,4.65,6.1,181898500,0.0,0.0
2025-01-07,10.44,10.58,9.05,9.55,65469300,0.0,0.0
2025-01-06,9.17,10.45,8.95,10.21,92763400,0.0,0.0
2025-01-03,9.11,10.15,8.83,9.14,64675700,0.0,0.0
2025-01-02,8.5,9.68,7.8,9.61,64221800,0.0,0.0
2024-12-31,9.15,9.4,8.25,8.4,40526800,0.0,0.0
2024-12-30,9.16,9.89,8.4,9.3,57614800,0.0,0.0
2024-12-27,10.14,11.41,9.11,9.91,118973800,0.0,0.0
2024-12-26,7.92,9.94,7.64,9.9,100549100,0.0,0.0
2024-12-24,8.12,8.55,7.66,7.95,51465200,0.0,0.0
2024-12-23,8.02,8.51,7.07,8.15,103120900,0.0,0.0
2024-12-20,5.87,7.88,5.6,6.44,124421900,0.0,0.0
2024-12-19,9.29,9.38,5.91,6.37,121957200,0.0,0.0
2024-12-18,8.15,10.5,8.0,8.96,214157600,0.0,0.0
2024-12-17,8.09,9.42,7.23,8.4,174215700,0.0,0.0
2024-12-16,5.1,7.7,4.84,7.23,163895300,0.0,0.0
2024-12-13,3.97,5.09,3.71,5.0,81275200,0.0,0.0
2024-12-12,4.3,4.63,3.82,3.91,59150500,0.0,0.0
2024-12-11,4.95,4.98,3.75,4.12,86306300,0.0,0.0
2024-12-10,4.61,5.38,4.59,4.68,88653500,0.0,0.0
2024-12-09,5.26,5.33,4.43,4.65,72783700,0.0,0.0
2024-12-06,4.04,5.22,3.86,5.06,85840800,0.0,0.0
2024-12-05,3.02,4.17,2.88,3.77,62069800,0.0,0.0
2024-12-04,3.1,3.32,2.9,2.97,28456700,0.0,0.0
2024-12-03,2.68,3.01,2.5,2.99,24919200,0.0,0.0
2024-12-02,3.24,3.29,2.71,2.76,31240300,0.0,0.0
2024-11-29,2.82,3.2,2.74,3.02,32853500,0.0,0.0
2024-11-27,2.89,2.93,2.6,2.74,22772500,0.0,0.0
2024-11-26,2.7,2.93,2.52,2.7,32246000,0.0,0.0
2024-11-25,3.42,3.77,2.7,2.89,103614200,0.0,0.0
2024-11-22,2.24,3.0,1.97,2.93,84835600,0.0,0.0
2024-11-21,1.81,2.04,1.71,1.97,33057500,0.0,0.0
2024-11-20,1.54,1.76,1.53,1.67,21536500,0.0,0.0
2024-11-19,1.45,1.63,1.43,1.49,11297700,0.0,0.0
2024-11-18,1.66,1.67,1.41,1.44,12495700,0.0,0.0
2024-11-15,1.84,1.86,1.57,1.64,13244500,0.0,0.0
2024-11-14,1.76,2.15,1.6,1.87,34690000,0.0,0.0
2024-11-13,1.57,1.95,1.55,1.78,21722400,0.0,0.0
2024-11-12,1.59,1.68,1.49,1.54,7801400,0.0,0.0
2024-11-11,1.74,1.79,1.47,1.63,13489500,0.0,0.0
2024-11-08,1.44,1.6,1.39,1.6,16819400,0.0,0.0
2024-11-07,1.13,1.47,1.13,1.46,21157400,0.0,0.0
2024-11-06,1.15,1.16,1.09,1.13,4729300,0.0,0.0
2024-11-05,1.0,1.09,0.99,1.09,3740500,0.0,0.0
2024-11-04,1.05,1.05,0.98,1.0,6180900,0.0,0.0
2024-11-01,1.08,1.11,1.03,1.04,4375600,0.0,0.0
2024-10-31,1.16,1.17,1.03,1.06,7978800,0.0,0.0
2024-10-30,1.11,1.19,1.09,1.13,5299600,0.0,0.0
2024-10-29,1.24,1.25,1.12,1.14,8068100,0.0,0.0
2024-10-28,1.07,1.2,1.04,1.2,10079500,0.0,0.0
2024-10-25,1.16,1.19,1.04,1.04,11457900,0.0,0.0
2024-10-24,1.25,1.35,1.1,1.14,13575800,0.0,0.0
2024-10-23,1.19,1.39,1.15,1.19,13359600,0.0,0.0
2024-10-22,1.23,1.28,1.12,1.2,6530700,0.0,0.0
2024-10-21,1.21,1.29,1.15,1.21,14490400,0.0,0.0
2024-10-18,1.05,1.21,1.03,1.17,13411400,0.0,0.0
2024-10-17,1.07,1.08,1.01,1.04,4699000,0.0,0.0
2024-10-16,0.99,1.11,0.98,1.04,10529700,0.0,0.0
2024-10-15,1.0,1.01,0.98,1.0,1781900,0.0,0.0
2024-10-14,0.98,1.03,0.98,1.01,4287800,0.0,0.0
2024-10-11,0.88,0.99,0.88,0.97,4384900,0.0,0.0
2024-10-10,0.9,0.91,0.87,0.89,2033600,0.0,0.0
2024-10-09,0.91,0.93,0.9,0.91,1904600,0.0,0.0
2024-10-08,0.95,0.99,0.91,0.92,2886300,0.0,0.0
2024-10-07,1.0,1.0,0.93,0.96,2095300,0.0,0.0
2024-10-04,0.93,1.01,0.93,1.0,2440700,0.0,0.0
2024-10-03,0.94,0.95,0.9,0.92,1248900,0.0,0.0
2024-10-02,0.93,0.94,0.9,0.92,1305800,0.0,0.0
2024-10-01,0.98,1.0,0.91,0.92,2478900,0.0,0.0
2024-09-30,1.02,1.03,0.97,0.98,2693800,0.0,0.0
2024-09-27,1.0,1.07,1.0,1.03,4737100,0.0,0.0
2024-09-26,0.97,0.98,0.93,0.98,1229300,0.0,0.0
2024-09-25,0.96,1.0,0.95,0.95,1229200,0.0,0.0
2024-09-24,0.9,0.96,0.9,0.94,1431700,0.0,0.0
2024-09-23,0.94,0.95,0.9,0.9,1984100,0.0,0.0
2024-09-20,0.97,0.99,0.93,0.93,5312800,0.0,0.0
2024-09-19,1.0,1.01,0.96,0.96,1326200,0.0,0.0
2024-09-18,1.0,1.02,0.97,0.97,1219700,0.0,0.0
2024-09-17,0.98,1.01,0.98,1.0,1245700,0.0,0.0
2024-09-16,0.99,1.0,0.97,0.98,1165600,0.0,0.0
2024-09-13,1.02,1.03,0.99,1.01,1773200,0.0,0.0
2024-09-12,1.0,1.01,0.97,1.0,1637100,0.0,0.0
2024-09-11,0.94,1.01,0.92,1.0,2186900,0.0,0.0
2024-09-10,0.85,0.94,0.85,0.94,2172700,0.0,0.0
2024-09-09,0.87,0.9,0.8,0.84,4069100,0.0,0.0
2024-09-06,0.92,0.94,0.86,0.88,2198000,0.0,0.0
2024-09-05,0.91,0.96,0.91,0.92,1232200,0.0,0.0
2024-09-04,0.95,0.97,0.91,0.93,1147500,0.0,0.0
2024-09-03,1.01,1.01,0.92,0.94,1802100,0.0,0.0
2024-08-30,1.02,1.03,0.96,1.01,2456100,0.0,0.0
2024-08-29,0.98,1.04,0.98,1.0,2765500,0.0,0.0
2024-08-28,0.98,1.0,0.94,0.95,2353600,0.0,0.0
2024-08-27,1.0,1.01,0.96,0.99,2103400,0.0,0.0
2024-08-26,1.07,1.07,0.99,1.0,2679000,0.0,0.0
2024-08-23,1.08,1.08,1.01,1.07,3496700,0.0,0.0
2024-08-22,1.11,1.11,1.03,1.07,3569100,0.0,0.0
2024-08-21,0.98,1.11,0.95,1.07,6884500,0.0,0.0
2024-08-20,0.95,1.01,0.92,0.95,2697900,0.0,0.0
2024-08-19,0.92,0.94,0.89,0.93,2486100,0.0,0.0
2024-08-16,0.94,0.98,0.91,0.93,1780200,0.0,0.0
2024-08-15,0.93,0.95,0.9,0.94,1582000,0.0,0.0
2024-08-14,0.99,1.0,0.89,0.9,3242500,0.0,0.0
2024-08-13,0.9,0.98,0.88,0.95,3361900,0.0,0.0
2024-08-12,0.85,0.92,0.85,0.88,2371100,0.0,0.0
2024-08-09,0.83,0.85,0.78,0.84,1853900,0.0,0.0
2024-08-08,0.78,0.87,0.75,0.8,3642300,0.0,0.0
2024-08-07,0.9,0.91,0.81,0.81,3592300,0.0,0.0
2024-08-06,0.89,0.9,0.85,0.87,2525400,0.0,0.0
2024-08-05,0.81,0.9,0.81,0.86,4213300,0.0,0.0
2024-08-02,0.94,0.95,0.85,0.94,4199900,0.0,0.0
2024-08-01,1.0,1.01,0.95,0.97,2806400,0.0,0.0
2024-07-31,0.97,1.04,0.96,1.0,2424900,0.0,0.0
2024-07-30,1.02,1.02,0.95,0.95,2732400,0.0,0.0
2024-07-29,1.02,1.06,0.98,0.99,2826200,0.0,0.0
2024-07-26,1.02,1.04,0.95,0.99,6149000,0.0,0.0
2024-07-25,1.0,1.05,0.98,1.03,2722300,0.0,0.0
2024-07-24,1.04,1.05,0.97,0.98,6491400,0.0,0.0
2024-07-23,1.01,1.13,1.0,1.08,3805600,0.0,0.0
2024-07-22,1.06,1.06,0.97,1.01,5617400,0.0,0.0
2024-07-19,1.07,1.07,1.01,1.02,5442700,0.0,0.0
2024-07-18,1.19,1.19,1.06,1.07,5385500,0.0,0.0
2024-07-17,1.26,1.27,1.12,1.15,7757300,0.0,0.0
2024-07-16,1.36,1.37,1.23,1.27,6989000,0.0,0.0
2024-07-15,1.23,1.4,1.2,1.33,8747600,0.0,0.0
2024-07-12,1.21,1.25,1.15,1.21,6406700,0.0,0.0
2024-07-11,1.26,1.34,1.14,1.18,8349500,0.0,0.0
