Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,15.1,16.89,14.6,14.7,75340700,0.0,0.0
2025-10-09,15.4,16.33,14.98,14.99,68609300,0.0,0.0
2025-10-08,16.24,17.77,14.82,15.33,84543300,0.0,0.0
2025-10-07,16.0,16.31,14.97,15.33,58153900,0.0,0.0
2025-10-06,16.03,16.68,15.64,15.72,50445100,0.0,0.0
2025-10-03,14.64,16.49,14.24,15.92,76384400,0.0,0.0
2025-10-02,14.54,15.24,14.08,14.3,58202900,0.0,0.0
2025-10-01,12.3,14.85,12.08,14.59,87787600,0.0,0.0
2025-09-30,13.0,13.62,12.05,12.32,50852500,0.0,0.0
2025-09-29,13.13,13.41,12.13,12.38,37097100,0.0,0.0
2025-09-26,12.59,12.93,12.09,12.66,29247400,0.0,0.0
2025-09-25,11.97,12.85,11.49,12.5,39952500,0.0,0.0
2025-09-24,13.79,14.02,12.34,12.49,43754300,0.0,0.0
2025-09-23,13.43,14.17,13.05,13.53,43548600,0.0,0.0
2025-09-22,13.07,14.1,12.63,13.44,52301400,0.0,0.0
2025-09-19,12.18,13.44,11.94,13.42,74324800,0.0,0.0
2025-09-18,10.38,12.27,10.23,12.13,66639500,0.0,0.0
2025-09-17,9.91,10.64,9.85,10.26,41686500,0.0,0.0
2025-09-16,10.3,10.73,9.88,10.15,41376800,0.0,0.0
2025-09-15,10.05,10.52,9.41,10.36,41060200,0.0,0.0
2025-09-12,8.88,9.96,8.72,9.95,39085000,0.0,0.0
2025-09-11,8.34,9.29,8.29,8.85,37105900,0.0,0.0
2025-09-10,8.6,8.61,8.21,8.35,22368600,0.0,0.0
2025-09-09,9.62,9.65,8.3,8.53,52713200,0.0,0.0
2025-09-08,10.06,10.68,9.26,9.49,102502700,0.0,0.0
2025-09-05,7.81,7.94,7.64,7.84,9675400,0.0,0.0
2025-09-04,7.66,7.7,7.4,7.65,12595800,0.0,0.0
2025-09-03,7.8,8.15,7.7,7.78,12274100,0.0,0.0
2025-09-02,7.77,7.84,7.55,7.73,11386700,0.0,0.0
2025-08-29,8.19,8.19,7.75,7.93,12270600,0.0,0.0
2025-08-28,8.13,8.23,8.02,8.1,8620100,0.0,0.0
2025-08-27,8.17,8.31,7.99,8.04,10768400,0.0,0.0
2025-08-26,8.11,8.56,8.11,8.33,17287100,0.0,0.0
2025-08-25,8.05,8.22,7.8,8.05,12485200,0.0,0.0
2025-08-22,7.86,8.23,7.78,8.16,14821000,0.0,0.0
2025-08-21,7.89,8.01,7.76,7.87,10890300,0.0,0.0
2025-08-20,7.85,7.96,7.65,7.91,13718400,0.0,0.0
2025-08-19,8.8,8.85,7.83,7.91,24514200,0.0,0.0
2025-08-18,8.99,9.11,8.55,8.8,16805900,0.0,0.0
2025-08-15,9.16,9.26,8.8,9.03,14441700,0.0,0.0
2025-08-14,9.26,9.69,8.85,9.09,27697800,0.0,0.0
2025-08-13,9.43,9.7,9.14,9.44,21309600,0.0,0.0
2025-08-12,9.0,9.4,8.96,9.35,25131500,0.0,0.0
2025-08-11,8.87,9.26,8.82,9.08,23752200,0.0,0.0
2025-08-08,9.49,9.6,8.71,8.76,34527900,0.0,0.0
2025-08-07,8.31,9.26,8.31,9.24,38848000,0.0,0.0
2025-08-06,8.46,8.74,8.2,8.28,28528600,0.0,0.0
2025-08-05,9.0,9.11,8.43,8.69,54206400,0.0,0.0
2025-08-04,8.37,8.48,8.11,8.3,23176900,0.0,0.0
2025-08-01,8.2,8.49,8.1,8.26,31166700,0.0,0.0
2025-07-31,8.8,9.05,8.59,8.6,37738700,0.0,0.0
2025-07-30,9.31,9.31,8.48,8.78,61129100,0.0,0.0
2025-07-29,10.84,11.05,9.2,9.28,73326200,0.0,0.0
2025-07-28,11.84,12.28,10.72,10.98,57335600,0.0,0.0
2025-07-25,12.35,12.6,11.11,11.97,57811200,0.0,0.0
2025-07-24,12.48,13.58,12.36,12.63,65511500,0.0,0.0
2025-07-23,13.21,13.59,12.42,12.83,78357300,0.0,0.0
2025-07-22,11.24,14.03,11.24,13.8,104171000,0.0,0.0
2025-07-21,14.03,14.09,11.56,12.52,131226000,0.0,0.0
2025-07-18,14.05,15.03,13.43,14.64,148449700,0.0,0.0
2025-07-17,11.45,13.79,11.45,13.6,111427800,0.0,0.0
2025-07-16,10.93,11.57,10.47,11.35,79299600,0.0,0.0
2025-07-15,10.45,11.15,10.19,10.85,85170300,0.0,0.0
2025-07-14,9.15,10.05,9.09,10.05,47977700,0.0,0.0
2025-07-11,8.81,9.77,8.71,9.23,55750300,0.0,0.0
2025-07-10,8.31,9.15,8.3,9.09,52371300,0.0,0.0
2025-07-09,8.11,8.78,7.93,8.36,49356300,0.0,0.0
2025-07-08,7.13,8.44,7.13,8.18,73200500,0.0,0.0
2025-07-07,6.8,7.04,6.65,7.01,17667600,0.0,0.0
2025-07-03,6.8,7.09,6.75,7.02,19903400,0.0,0.0
2025-07-02,6.3,6.86,6.28,6.8,32691500,0.0,0.0
2025-07-01,6.5,6.54,6.14,6.36,36876200,0.0,0.0
2025-06-30,6.68,7.07,6.51,6.72,51201500,0.0,0.0
2025-06-27,7.55,7.72,6.43,6.62,108565900,0.0,0.0
2025-06-26,5.69,7.71,5.6,7.65,196271300,0.0,0.0
2025-06-25,6.01,6.35,5.31,5.67,178809300,0.0,0.0
2025-06-24,4.33,4.4,4.28,4.33,22403300,0.0,0.0
2025-06-23,4.25,4.32,4.16,4.24,7425300,0.0,0.0
2025-06-20,4.39,4.43,4.26,4.29,10829400,0.0,0.0
2025-06-18,4.23,4.5,4.2,4.38,9874800,0.0,0.0
2025-06-17,4.42,4.43,4.23,4.23,9215600,0.0,0.0
2025-06-16,4.42,4.6,4.41,4.48,8926100,0.0,0.0
2025-06-13,4.31,4.47,4.28,4.34,8643300,0.0,0.0
2025-06-12,4.5,4.61,4.47,4.49,10008100,0.0,0.0
2025-06-11,4.42,4.7,4.39,4.62,20091500,0.0,0.0
2025-06-10,4.4,4.41,4.22,4.33,8942900,0.0,0.0
2025-06-09,4.25,4.53,4.22,4.35,18657300,0.0,0.0
2025-06-06,4.03,4.18,4.01,4.13,8176500,0.0,0.0
2025-06-05,4.23,4.24,3.94,3.98,10551700,0.0,0.0
2025-06-04,4.11,4.29,4.0,4.25,10898300,0.0,0.0
2025-06-03,3.94,4.15,3.9,4.09,11237300,0.0,0.0
2025-06-02,3.98,3.98,3.88,3.93,8098300,0.0,0.0
2025-05-30,4.01,4.07,3.94,4.0,9335800,0.0,0.0
2025-05-29,4.34,4.36,4.05,4.06,14692200,0.0,0.0
2025-05-28,3.99,4.33,3.98,4.32,18364000,0.0,0.0
2025-05-27,4.04,4.05,3.94,3.99,9881500,0.0,0.0
2025-05-23,3.88,4.01,3.87,3.97,9192200,0.0,0.0
2025-05-22,3.88,3.99,3.8,3.97,11280200,0.0,0.0
2025-05-21,3.95,4.05,3.88,3.91,12953700,0.0,0.0
2025-05-20,3.97,4.1,3.87,3.99,12623400,0.0,0.0
2025-05-19,4.53,4.58,3.9,3.97,39818900,0.0,0.0
2025-05-16,4.26,4.85,4.22,4.73,33523100,0.0,0.0
2025-05-15,4.27,4.3,4.14,4.26,11624400,0.0,0.0
2025-05-14,4.33,4.4,4.3,4.32,10835600,0.0,0.0
2025-05-13,4.3,4.39,4.28,4.31,9740600,0.0,0.0
2025-05-12,4.28,4.33,4.16,4.28,10575700,0.0,0.0
2025-05-09,4.0,4.13,3.99,4.06,11211200,0.0,0.0
2025-05-08,3.94,4.01,3.89,3.99,10367800,0.0,0.0
2025-05-07,3.9,3.96,3.83,3.87,5897500,0.0,0.0
2025-05-06,3.84,3.91,3.77,3.89,8146400,0.0,0.0
2025-05-05,3.95,3.98,3.86,3.87,9286800,0.0,0.0
2025-05-02,3.95,4.12,3.94,3.99,10832600,0.0,0.0
2025-05-01,3.96,4.0,3.89,3.92,6738100,0.0,0.0
2025-04-30,3.82,3.95,3.75,3.91,8878800,0.0,0.0
2025-04-29,3.95,4.0,3.91,3.95,7258600,0.0,0.0
2025-04-28,3.99,4.06,3.9,3.96,10040700,0.0,0.0
2025-04-25,3.92,3.99,3.85,3.94,7453400,0.0,0.0
2025-04-24,3.98,4.11,3.79,3.96,13470400,0.0,0.0
2025-04-23,4.11,4.25,3.93,3.98,13142800,0.0,0.0
2025-04-22,3.87,3.94,3.8,3.87,7834500,0.0,0.0
2025-04-21,3.75,3.84,3.65,3.8,6207800,0.0,0.0
2025-04-17,3.7,3.82,3.65,3.79,5731800,0.0,0.0
2025-04-16,3.69,3.79,3.6,3.69,5821900,0.0,0.0
2025-04-15,3.78,3.82,3.72,3.79,6226400,0.0,0.0
2025-04-14,3.87,3.95,3.74,3.81,8062200,0.0,0.0
2025-04-11,3.81,3.83,3.62,3.77,8205800,0.0,0.0
2025-04-10,3.73,3.82,3.59,3.77,10453600,0.0,0.0
2025-04-09,3.46,4.12,3.45,4.05,18588200,0.0,0.0
2025-04-08,3.89,3.9,3.4,3.47,12118600,0.0,0.0
2025-04-07,3.53,4.07,3.48,3.72,11447500,0.0,0.0
2025-04-04,3.9,3.96,3.53,3.83,13592500,0.0,0.0
2025-04-03,3.89,4.09,3.88,3.99,11378000,0.0,0.0
2025-04-02,4.0,4.21,3.92,4.1,10103300,0.0,0.0
2025-04-01,4.18,4.26,4.03,4.08,9701400,0.0,0.0
2025-03-31,4.15,4.23,4.03,4.16,11333100,0.0,0.0
2025-03-28,4.49,4.5,4.27,4.33,7161800,0.0,0.0
2025-03-27,4.55,4.68,4.48,4.52,8182500,0.0,0.0
2025-03-26,4.7,4.7,4.52,4.57,6758300,0.0,0.0
2025-03-25,4.68,4.75,4.6,4.7,6835100,0.0,0.0
2025-03-24,4.62,4.72,4.58,4.66,9335900,0.0,0.0
2025-03-21,4.39,4.56,4.38,4.54,8269300,0.0,0.0
2025-03-20,4.43,4.53,4.4,4.45,5449600,0.0,0.0
2025-03-19,4.4,4.55,4.4,4.49,6918600,0.0,0.0
2025-03-18,4.42,4.44,4.36,4.37,6318000,0.0,0.0
2025-03-17,4.42,4.52,4.38,4.46,8930200,0.0,0.0
2025-03-14,4.25,4.38,4.22,4.36,8194400,0.0,0.0
2025-03-13,4.26,4.35,4.14,4.15,8147600,0.0,0.0
2025-03-12,4.27,4.39,4.21,4.32,9013500,0.0,0.0
2025-03-11,4.31,4.37,4.17,4.24,11139700,0.0,0.0
2025-03-10,4.4,4.63,4.22,4.31,10861900,0.0,0.0
2025-03-07,4.33,4.49,4.32,4.48,8877600,0.0,0.0
2025-03-06,4.37,4.46,4.3,4.37,9183100,0.0,0.0
2025-03-05,4.46,4.49,4.32,4.48,11191400,0.0,0.0
2025-03-04,4.13,4.51,4.05,4.42,19422600,0.0,0.0
2025-03-03,4.75,4.77,4.25,4.26,23162800,0.0,0.0
2025-02-28,4.75,4.79,4.58,4.69,19876000,0.0,0.0
2025-02-27,4.94,5.09,4.8,4.8,11803500,0.0,0.0
2025-02-26,5.04,5.14,4.89,4.91,9597900,0.0,0.0
2025-02-25,4.97,5.05,4.88,4.99,11281900,0.0,0.0
2025-02-24,5.15,5.15,4.96,5.0,11831100,0.0,0.0
2025-02-21,5.33,5.42,5.09,5.18,15107200,0.0,0.0
2025-02-20,5.18,5.35,5.05,5.33,11615400,0.0,0.0
2025-02-19,5.41,5.46,5.2,5.2,14047400,0.0,0.0
2025-02-18,5.23,5.62,5.08,5.54,20415300,0.0,0.0
2025-02-14,5.24,5.49,5.18,5.23,15415100,0.0,0.0
2025-02-13,4.94,5.36,4.94,5.17,30971300,0.0,0.0
2025-02-12,4.77,4.97,4.67,4.83,21253200,0.0,0.0
2025-02-11,4.97,5.01,4.76,4.76,14913200,0.0,0.0
2025-02-10,4.99,5.05,4.92,5.01,9485400,0.0,0.0
2025-02-07,5.04,5.06,4.87,4.94,12396300,0.0,0.0
2025-02-06,5.01,5.15,4.98,5.01,12254000,0.0,0.0
2025-02-05,5.08,5.11,4.98,4.99,8126200,0.0,0.0
2025-02-04,4.99,5.14,4.93,5.07,8743100,0.0,0.0
2025-02-03,5.0,5.08,4.92,4.97,16305000,0.0,0.0
2025-01-31,5.25,5.57,5.09,5.17,16989500,0.0,0.0
2025-01-30,5.12,5.3,5.12,5.2,8277600,0.0,0.0
2025-01-29,5.11,5.19,4.99,5.1,9465600,0.0,0.0
2025-01-28,5.05,5.13,4.93,5.13,8399400,0.0,0.0
2025-01-27,5.08,5.18,4.94,5.07,13937900,0.0,0.0
2025-01-24,5.22,5.32,5.13,5.16,10483300,0.0,0.0
2025-01-23,5.04,5.21,4.97,5.17,11029100,0.0,0.0
2025-01-22,5.1,5.16,5.02,5.03,11784200,0.0,0.0
2025-01-21,5.26,5.33,5.07,5.12,13623100,0.0,0.0
2025-01-17,5.3,5.5,5.2,5.22,12756500,0.0,0.0
2025-01-16,5.34,5.48,5.21,5.26,13295200,0.0,0.0
2025-01-15,5.47,5.76,5.22,5.31,19749300,0.0,0.0
2025-01-14,5.52,5.6,5.16,5.25,17693800,0.0,0.0
2025-01-13,5.42,5.45,5.19,5.39,20207800,0.0,0.0
2025-01-10,5.6,5.72,5.42,5.61,14576000,0.0,0.0
2025-01-08,6.05,6.08,5.56,5.72,25800300,0.0,0.0
2025-01-07,6.6,6.94,6.24,6.29,22075000,0.0,0.0
2025-01-06,6.34,6.87,6.17,6.58,35683600,0.0,0.0
2025-01-03,5.57,6.09,5.45,6.0,23656100,0.0,0.0
2025-01-02,5.25,5.67,5.2,5.54,19376800,0.0,0.0
2024-12-31,5.55,5.61,5.14,5.19,17899600,0.0,0.0
2024-12-30,5.81,5.88,5.42,5.49,20088400,0.0,0.0
2024-12-27,6.2,6.38,5.76,5.95,28684700,0.0,0.0
2024-12-26,5.35,6.17,5.24,6.14,36101700,0.0,0.0
2024-12-24,5.19,5.42,5.15,5.37,8859000,0.0,0.0
2024-12-23,5.06,5.18,5.01,5.15,11261200,0.0,0.0
2024-12-20,4.75,5.25,4.68,5.02,23601100,0.0,0.0
2024-12-19,5.11,5.26,4.72,4.73,26168800,0.0,0.0
2024-12-18,5.29,5.87,5.02,5.08,38544600,0.0,0.0
2024-12-17,4.97,5.35,4.94,5.31,19119300,0.0,0.0
2024-12-16,4.83,5.0,4.71,4.97,9528500,0.0,0.0
2024-12-13,4.9,4.92,4.8,4.89,8436800,0.0,0.0
2024-12-12,4.96,5.04,4.9,4.93,6956900,0.0,0.0
2024-12-11,5.04,5.04,4.79,4.99,15281300,0.0,0.0
2024-12-10,5.27,5.27,4.95,5.01,13852500,0.0,0.0
2024-12-09,5.1,5.54,5.03,5.24,27628600,0.0,0.0
2024-12-06,5.02,5.21,4.91,5.0,15508100,0.0,0.0
2024-12-05,5.52,5.69,4.98,4.99,34366400,0.0,0.0
2024-12-04,5.02,5.06,4.9,4.9,9604900,0.0,0.0
2024-12-03,5.06,5.09,4.93,5.01,7776100,0.0,0.0
2024-12-02,5.27,5.44,5.06,5.2,11950600,0.0,0.0
2024-11-29,5.17,5.31,5.15,5.23,6028300,0.0,0.0
2024-11-27,5.2,5.31,5.1,5.18,6561200,0.0,0.0
2024-11-26,5.22,5.23,5.09,5.16,9248100,0.0,0.0
2024-11-25,5.37,5.55,5.26,5.35,16522600,0.0,0.0
2024-11-22,5.03,5.28,5.01,5.16,10609400,0.0,0.0
2024-11-21,5.13,5.14,4.96,5.04,7920000,0.0,0.0
2024-11-20,4.96,5.17,4.88,5.07,10089900,0.0,0.0
2024-11-19,4.74,5.0,4.67,4.95,9988700,0.0,0.0
2024-11-18,4.74,4.82,4.65,4.73,9491200,0.0,0.0
2024-11-15,4.85,4.85,4.72,4.74,8826900,0.0,0.0
2024-11-14,4.9,5.06,4.83,4.85,9539300,0.0,0.0
2024-11-13,4.88,5.17,4.84,4.88,16368900,0.0,0.0
2024-11-12,4.98,4.98,4.8,4.84,12087300,0.0,0.0
2024-11-11,5.05,5.07,4.88,5.05,13614400,0.0,0.0
2024-11-08,4.95,5.03,4.84,5.02,13796900,0.0,0.0
2024-11-07,5.07,5.12,4.93,4.99,12903400,0.0,0.0
2024-11-06,5.19,5.19,4.97,5.04,11691200,0.0,0.0
2024-11-05,5.07,5.26,4.97,5.2,8035800,0.0,0.0
2024-11-04,5.15,5.26,5.06,5.09,7737900,0.0,0.0
2024-11-01,5.2,5.41,5.11,5.12,10360300,0.0,0.0
2024-10-31,5.32,5.36,5.12,5.15,9738200,0.0,0.0
2024-10-30,5.38,5.52,5.31,5.32,10307100,0.0,0.0
2024-10-29,5.6,5.63,5.43,5.45,10000700,0.0,0.0
2024-10-28,6.23,6.25,5.61,5.69,21491800,0.0,0.0
2024-10-25,6.55,6.55,5.96,6.19,20642200,0.0,0.0
2024-10-24,6.13,7.03,6.05,6.5,69175200,0.0,0.0
2024-10-23,5.3,5.3,5.08,5.18,10008500,0.0,0.0
2024-10-22,5.2,5.33,5.13,5.3,5585700,0.0,0.0
2024-10-21,5.27,5.27,5.13,5.2,6313000,0.0,0.0
2024-10-18,5.38,5.41,5.23,5.28,7448300,0.0,0.0
2024-10-17,5.51,5.51,5.3,5.34,6651400,0.0,0.0
2024-10-16,5.53,5.59,5.44,5.51,3890800,0.0,0.0
2024-10-15,5.55,5.65,5.45,5.49,3606900,0.0,0.0
2024-10-14,5.6,5.61,5.48,5.58,4334000,0.0,0.0
2024-10-11,5.36,5.67,5.36,5.62,5331500,0.0,0.0
2024-10-10,5.35,5.44,5.32,5.41,3615700,0.0,0.0
2024-10-09,5.47,5.58,5.42,5.46,3736000,0.0,0.0
2024-10-08,5.53,5.59,5.4,5.47,4613500,0.0,0.0
2024-10-07,5.64,5.67,5.45,5.57,3745700,0.0,0.0
2024-10-04,5.6,5.68,5.46,5.64,3046100,0.0,0.0
2024-10-03,5.46,5.53,5.41,5.49,3030000,0.0,0.0
2024-10-02,5.35,5.62,5.29,5.55,5573600,0.0,0.0
2024-10-01,5.72,5.77,5.36,5.37,8812300,0.0,0.0
2024-09-30,5.91,6.01,5.7,5.75,5641000,0.0,0.0
2024-09-27,5.86,6.24,5.86,6.01,7365800,0.0,0.0
2024-09-26,5.78,5.95,5.64,5.8,5365500,0.0,0.0
2024-09-25,5.74,5.75,5.64,5.65,4110600,0.0,0.0
2024-09-24,5.8,5.9,5.67,5.77,4531100,0.0,0.0
2024-09-23,5.86,5.87,5.65,5.7,4148400,0.0,0.0
2024-09-20,5.9,5.91,5.71,5.83,6354400,0.0,0.0
2024-09-19,6.0,6.04,5.85,5.93,4173700,0.0,0.0
2024-09-18,5.98,6.19,5.79,5.8,5251300,0.0,0.0
2024-09-17,5.98,6.06,5.9,6.0,4522900,0.0,0.0
2024-09-16,5.9,5.96,5.83,5.88,3042800,0.0,0.0
2024-09-13,5.86,6.03,5.8,5.95,4331700,0.0,0.0
2024-09-12,5.86,5.92,5.69,5.8,3884100,0.0,0.0
2024-09-11,5.56,5.88,5.5,5.86,6340400,0.0,0.0
2024-09-10,5.46,5.56,5.31,5.55,3522100,0.0,0.0
2024-09-09,5.4,5.6,5.36,5.48,4091100,0.0,0.0
2024-09-06,5.43,5.49,5.26,5.37,4936600,0.0,0.0
2024-09-05,5.52,5.62,5.42,5.43,3752900,0.0,0.0
2024-09-04,5.47,5.68,5.43,5.53,4163200,0.0,0.0
2024-09-03,5.76,5.77,5.43,5.52,6479300,0.0,0.0
2024-08-30,5.84,5.91,5.75,5.81,3870600,0.0,0.0
2024-08-29,5.77,5.94,5.71,5.76,3744200,0.0,0.0
