Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,21.56,21.77,19.01,19.01,52084100,0.0,0.0
2025-10-09,21.2,21.41,20.38,21.32,43675400,0.0,0.0
2025-10-08,22.03,22.74,20.22,20.82,52578800,0.0,0.0
2025-10-07,23.87,23.88,21.0,22.01,69257500,0.0,0.0
2025-10-06,21.65,23.39,20.93,22.16,102065500,0.0,0.0
2025-10-03,21.75,25.84,20.91,24.62,118439600,0.0,0.0
2025-10-02,19.31,20.46,19.21,19.98,46510600,0.0,0.0
2025-10-01,18.34,19.68,18.0,18.97,20377000,0.0,0.0
2025-09-30,18.85,19.29,18.21,18.41,20906600,0.0,0.0
2025-09-29,20.7,21.3,18.67,18.85,32791800,0.0,0.0
2025-09-26,20.55,23.44,19.75,20.15,54799900,0.0,0.0
2025-09-25,20.4,21.18,19.21,20.58,46061100,0.0,0.0
2025-09-24,21.92,22.45,20.0,21.41,41305300,0.0,0.0
2025-09-23,21.01,22.24,19.92,21.41,50557900,0.0,0.0
2025-09-22,20.33,20.92,18.41,20.21,80679900,0.0,0.0
2025-09-19,18.19,23.98,18.17,23.27,98556700,0.0,0.0
2025-09-18,18.48,19.25,17.78,18.35,42934200,0.0,0.0
2025-09-17,16.73,18.01,16.59,17.71,35448100,0.0,0.0
2025-09-16,16.92,17.07,15.76,16.87,29370300,0.0,0.0
2025-09-15,17.22,17.48,16.56,16.83,19579700,0.0,0.0
2025-09-12,16.0,17.26,15.86,17.01,28710000,0.0,0.0
2025-09-11,15.37,16.01,15.12,15.89,14810400,0.0,0.0
2025-09-10,16.15,16.28,15.3,15.41,19483500,0.0,0.0
2025-09-09,15.25,16.23,15.09,16.19,17597200,0.0,0.0
2025-09-08,15.0,15.3,14.71,15.24,12545400,0.0,0.0
2025-09-05,15.08,15.68,14.78,15.11,13657900,0.0,0.0
2025-09-04,14.61,14.94,14.2,14.76,14041700,0.0,0.0
2025-09-03,15.21,15.31,14.35,14.55,15887400,0.0,0.0
2025-09-02,15.25,15.48,14.31,15.05,15814400,0.0,0.0
2025-08-29,16.05,16.17,15.39,15.78,14528100,0.0,0.0
2025-08-28,15.1,16.17,14.7,16.1,24575300,0.0,0.0
2025-08-27,15.2,15.38,14.81,14.81,12380900,0.0,0.0
2025-08-26,15.04,15.37,14.85,15.23,13995600,0.0,0.0
2025-08-25,15.74,15.91,15.17,15.21,12581100,0.0,0.0
2025-08-22,14.59,16.09,14.3,15.83,18144800,0.0,0.0
2025-08-21,14.51,14.76,14.37,14.69,9110200,0.0,0.0
2025-08-20,14.7,14.83,13.72,14.62,13602300,0.0,0.0
2025-08-19,15.82,15.95,14.79,14.86,12138200,0.0,0.0
2025-08-18,15.27,16.25,15.03,15.9,16871100,0.0,0.0
2025-08-15,14.89,15.65,14.62,15.32,15982900,0.0,0.0
2025-08-14,15.79,15.81,14.97,15.38,20320600,0.0,0.0
2025-08-13,16.55,16.89,15.5,16.01,23012600,0.0,0.0
2025-08-12,16.41,16.61,15.85,16.6,15018100,0.0,0.0
2025-08-11,16.06,16.79,15.92,16.46,14002800,0.0,0.0
2025-08-08,15.98,16.58,15.77,16.13,12655600,0.0,0.0
2025-08-07,15.99,16.42,15.58,15.76,12055700,0.0,0.0
2025-08-06,16.78,16.89,15.86,16.17,12693400,0.0,0.0
2025-08-05,16.47,17.24,15.78,16.89,32154100,0.0,0.0
2025-08-04,14.93,15.79,14.71,15.6,12423300,0.0,0.0
2025-08-01,14.2,14.87,13.97,14.8,12313400,0.0,0.0
2025-07-31,15.24,15.79,14.76,14.84,14920100,0.0,0.0
2025-07-30,15.3,15.58,14.62,14.73,12237500,0.0,0.0
2025-07-29,16.07,16.44,15.16,15.37,13096000,0.0,0.0
2025-07-28,16.98,17.18,15.93,16.15,12698800,0.0,0.0
2025-07-25,16.97,17.09,16.42,16.71,10241000,0.0,0.0
2025-07-24,17.24,17.34,16.82,16.95,13172000,0.0,0.0
2025-07-23,17.2,17.51,16.72,17.47,15793900,0.0,0.0
2025-07-22,18.2,18.24,16.27,16.81,20057500,0.0,0.0
2025-07-21,19.6,19.82,17.78,17.85,24281700,0.0,0.0
2025-07-18,19.82,20.1,18.78,19.51,22077800,0.0,0.0
2025-07-17,18.52,19.91,18.42,19.77,25705700,0.0,0.0
2025-07-16,18.02,18.58,17.62,18.4,21277900,0.0,0.0
2025-07-15,19.03,19.09,17.43,17.67,33574400,0.0,0.0
2025-07-14,17.9,19.12,17.54,18.94,16917700,0.0,0.0
2025-07-11,18.9,19.55,17.38,17.43,16887100,0.0,0.0
2025-07-10,19.23,19.45,18.7,19.18,10102200,0.0,0.0
2025-07-09,19.43,20.03,18.56,19.14,13573200,0.0,0.0
2025-07-08,20.21,20.49,18.96,19.35,15733900,0.0,0.0
2025-07-07,20.81,21.88,19.52,19.88,21767600,0.0,0.0
2025-07-03,20.4,21.18,20.17,21.13,18594200,0.0,0.0
2025-07-02,18.49,20.94,18.2,20.65,39487400,0.0,0.0
2025-07-01,18.73,19.04,17.93,18.64,20220700,0.0,0.0
2025-06-30,17.57,19.28,17.14,19.17,32043200,0.0,0.0
2025-06-27,17.0,18.36,16.39,17.29,45462800,0.0,0.0
2025-06-26,16.98,17.48,16.74,16.79,13731500,0.0,0.0
2025-06-25,17.94,18.43,16.44,16.74,19505700,0.0,0.0
2025-06-24,18.17,18.19,17.3,17.52,20054600,0.0,0.0
2025-06-23,15.9,17.79,15.5,17.5,41031600,0.0,0.0
2025-06-20,20.1,20.34,18.83,18.88,32394100,0.0,0.0
2025-06-18,20.33,21.57,18.71,19.09,44208700,0.0,0.0
2025-06-17,19.87,21.05,19.18,19.79,47230300,0.0,0.0
2025-06-16,17.36,21.74,17.2,21.22,65558700,0.0,0.0
2025-06-13,16.98,17.68,16.45,16.68,21509300,0.0,0.0
2025-06-12,19.73,20.18,17.34,17.51,60177000,0.0,0.0
2025-06-11,17.1,20.91,16.62,18.97,131799400,0.0,0.0
2025-06-10,14.69,17.59,14.42,15.13,66533000,0.0,0.0
2025-06-09,14.76,15.02,13.62,14.34,35618600,0.0,0.0
2025-06-06,12.16,13.85,11.88,13.7,35529000,0.0,0.0
2025-06-05,12.65,12.72,11.66,11.83,14070100,0.0,0.0
2025-06-04,12.46,12.87,12.17,12.83,13006400,0.0,0.0
2025-06-03,12.22,12.42,11.55,12.4,16460700,0.0,0.0
2025-06-02,11.31,11.84,10.85,11.8,12213800,0.0,0.0
2025-05-30,12.06,12.31,11.12,11.32,25676800,0.0,0.0
2025-05-29,13.64,14.68,12.12,12.43,39756900,0.0,0.0
2025-05-28,12.78,13.36,12.56,12.79,22811700,0.0,0.0
2025-05-27,13.98,14.13,12.68,13.0,38494700,0.0,0.0
2025-05-23,11.33,14.3,11.28,13.31,88710900,0.0,0.0
2025-05-22,10.58,12.5,10.37,12.07,45716500,0.0,0.0
2025-05-21,11.41,11.75,10.37,10.54,29309600,0.0,0.0
2025-05-20,12.74,12.84,11.27,11.51,46686000,0.0,0.0
2025-05-19,12.09,12.23,11.2,11.83,39003800,0.0,0.0
2025-05-16,10.53,12.96,10.26,12.87,92117500,0.0,0.0
2025-05-15,8.88,9.29,8.74,9.24,23345200,0.0,0.0
2025-05-14,9.0,9.55,8.73,8.93,24445300,0.0,0.0
2025-05-13,9.0,9.2,8.66,8.79,11187800,0.0,0.0
2025-05-12,9.5,9.56,8.77,9.1,19198700,0.0,0.0
2025-05-09,8.19,8.87,8.12,8.59,16679800,0.0,0.0
2025-05-08,7.59,8.53,7.19,8.44,25447100,0.0,0.0
2025-05-07,7.09,7.23,6.92,7.08,4036000,0.0,0.0
2025-05-06,7.14,7.18,6.83,7.08,6660400,0.0,0.0
2025-05-05,7.7,7.86,7.31,7.33,7979800,0.0,0.0
2025-05-02,7.1,8.03,7.02,8.01,13825900,0.0,0.0
2025-05-01,7.03,7.14,6.84,7.02,5983600,0.0,0.0
2025-04-30,6.68,6.77,6.49,6.74,5471000,0.0,0.0
2025-04-29,7.28,7.39,6.91,6.91,6847600,0.0,0.0
2025-04-28,7.28,7.55,6.91,7.13,8260100,0.0,0.0
2025-04-25,6.97,7.57,6.79,7.13,13210400,0.0,0.0
2025-04-24,6.39,7.26,6.25,6.94,10972500,0.0,0.0
2025-04-23,6.33,6.83,6.33,6.37,10750300,0.0,0.0
2025-04-22,5.92,6.08,5.89,5.94,4673200,0.0,0.0
2025-04-21,6.21,6.23,5.76,5.87,5384000,0.0,0.0
2025-04-17,6.4,6.52,6.24,6.41,4240400,0.0,0.0
2025-04-16,6.7,6.7,6.28,6.41,5861800,0.0,0.0
2025-04-15,6.95,7.08,6.71,6.83,5957100,0.0,0.0
2025-04-14,7.2,7.57,6.76,6.99,11801100,0.0,0.0
2025-04-11,6.86,7.02,6.52,6.84,7407200,0.0,0.0
2025-04-10,6.75,7.04,6.52,6.85,9722700,0.0,0.0
2025-04-09,6.1,7.06,5.91,6.85,16352900,0.0,0.0
2025-04-08,7.03,7.11,6.11,6.21,11888800,0.0,0.0
2025-04-07,6.01,7.06,6.0,6.77,11685400,0.0,0.0
2025-04-04,7.19,7.35,6.31,6.51,12537600,0.0,0.0
2025-04-03,7.2,7.68,7.11,7.57,9912400,0.0,0.0
2025-04-02,7.5,8.29,7.47,7.85,13619600,0.0,0.0
2025-04-01,8.2,8.4,7.35,7.76,18944700,0.0,0.0
2025-03-31,8.02,8.97,7.65,8.0,24269500,0.0,0.0
2025-03-28,7.72,8.54,7.3,8.45,19074500,0.0,0.0
2025-03-27,7.87,8.0,7.58,7.94,10672400,0.0,0.0
2025-03-26,8.56,8.88,7.8,8.01,15657200,0.0,0.0
2025-03-25,8.64,9.03,8.23,8.48,18595800,0.0,0.0
2025-03-24,7.75,8.79,7.67,8.75,23793500,0.0,0.0
2025-03-21,6.51,7.72,6.33,7.39,28250000,0.0,0.0
2025-03-20,8.04,8.37,7.05,7.39,35758100,0.0,0.0
2025-03-19,8.65,9.0,7.93,8.37,39250400,0.0,0.0
2025-03-18,7.5,9.3,7.25,8.63,87234500,0.0,0.0
2025-03-17,8.52,8.58,7.74,8.02,79383500,0.0,0.0
2025-03-14,6.03,7.11,5.82,7.09,43895700,0.0,0.0
2025-03-13,5.45,5.86,5.38,5.49,16455500,0.0,0.0
2025-03-12,5.01,5.47,4.86,5.42,14063700,0.0,0.0
2025-03-11,4.48,4.83,4.37,4.73,6650000,0.0,0.0
2025-03-10,4.89,4.97,4.45,4.52,7763700,0.0,0.0
2025-03-07,4.85,5.18,4.75,5.03,7910600,0.0,0.0
2025-03-06,5.02,5.24,4.71,4.87,9666900,0.0,0.0
2025-03-05,5.29,5.39,5.01,5.28,9617500,0.0,0.0
2025-03-04,5.02,5.46,5.01,5.26,11407500,0.0,0.0
2025-03-03,6.14,6.28,5.33,5.43,9486900,0.0,0.0
2025-02-28,6.0,6.32,5.86,6.07,9607700,0.0,0.0
2025-02-27,6.74,6.97,6.14,6.18,7353700,0.0,0.0
2025-02-26,6.7,7.14,6.65,6.85,7669800,0.0,0.0
2025-02-25,6.73,6.97,6.33,6.49,9425400,0.0,0.0
2025-02-24,7.41,7.45,6.83,6.86,9753500,0.0,0.0
2025-02-21,7.92,8.64,7.47,7.49,16057300,0.0,0.0
2025-02-20,8.52,8.65,7.93,8.09,21476200,0.0,0.0
2025-02-19,7.38,8.4,7.17,7.96,24737400,0.0,0.0
2025-02-18,7.8,7.8,7.12,7.38,12535600,0.0,0.0
2025-02-14,8.26,8.32,7.78,7.95,12536800,0.0,0.0
2025-02-13,8.29,8.56,8.03,8.28,12831900,0.0,0.0
2025-02-12,7.75,8.42,7.72,8.26,13266000,0.0,0.0
2025-02-11,8.65,8.69,7.86,7.87,13224000,0.0,0.0
2025-02-10,9.0,9.17,8.62,8.71,14819600,0.0,0.0
2025-02-07,9.69,10.09,9.07,9.28,17805300,0.0,0.0
2025-02-06,9.98,10.34,9.43,9.57,14486100,0.0,0.0
2025-02-05,9.83,10.1,9.4,9.87,15497400,0.0,0.0
2025-02-04,10.19,10.55,9.5,9.85,26581900,0.0,0.0
2025-02-03,9.75,10.2,9.37,9.95,13245600,0.0,0.0
2025-01-31,10.01,11.45,9.95,10.38,23142100,0.0,0.0
2025-01-30,10.16,10.66,9.79,10.0,10592100,0.0,0.0
2025-01-29,10.0,10.45,9.72,10.13,11234500,0.0,0.0
2025-01-28,10.22,10.36,9.26,10.2,13401900,0.0,0.0
2025-01-27,9.96,10.78,9.49,9.94,16824900,0.0,0.0
2025-01-24,11.21,12.48,10.75,10.93,35265900,0.0,0.0
2025-01-23,10.72,11.94,10.55,11.12,19573100,0.0,0.0
2025-01-22,12.07,12.47,10.91,11.1,33087000,0.0,0.0
2025-01-21,9.94,11.5,9.8,11.49,44210300,0.0,0.0
2025-01-17,10.12,10.6,9.46,9.83,41524300,0.0,0.0
2025-01-16,12.35,12.7,10.22,10.88,106907600,0.0,0.0
2025-01-15,8.78,11.6,8.51,11.55,113754400,0.0,0.0
2025-01-14,7.15,8.05,6.59,7.43,43059200,0.0,0.0
2025-01-13,8.01,8.58,6.41,6.52,36703400,0.0,0.0
2025-01-10,10.27,10.45,8.8,8.98,30083000,0.0,0.0
2025-01-08,11.7,12.73,8.5,9.91,75349200,0.0,0.0
2025-01-07,17.97,18.1,16.37,17.49,35612500,0.0,0.0
2025-01-06,17.3,20.36,16.66,18.09,43227000,0.0,0.0
2025-01-03,17.99,19.2,16.98,17.5,22526300,0.0,0.0
2025-01-02,16.69,18.77,15.2,18.75,24714900,0.0,0.0
2024-12-31,18.26,18.34,16.01,16.55,17976500,0.0,0.0
2024-12-30,17.72,18.79,16.74,18.54,21619900,0.0,0.0
2024-12-27,20.23,21.75,17.63,18.35,46438300,0.0,0.0
2024-12-26,16.72,19.46,16.22,19.24,40980400,0.0,0.0
2024-12-24,17.86,18.0,16.31,17.09,26601400,0.0,0.0
2024-12-23,19.84,19.95,16.92,18.19,57540100,0.0,0.0
2024-12-20,14.47,19.88,13.81,17.62,128598800,0.0,0.0
2024-12-19,22.0,22.0,13.57,15.14,122452800,0.0,0.0
2024-12-18,19.22,27.15,17.6,25.68,231028400,0.0,0.0
2024-12-17,14.19,18.06,12.6,16.79,193979900,0.0,0.0
2024-12-16,7.1,12.28,6.83,11.08,114580000,0.0,0.0
2024-12-13,6.42,7.05,6.01,6.7,19023100,0.0,0.0
2024-12-12,6.44,7.1,6.33,6.36,17273300,0.0,0.0
2024-12-11,7.11,7.38,5.83,6.4,34069500,0.0,0.0
2024-12-10,7.12,8.35,7.03,7.62,25261800,0.0,0.0
2024-12-09,8.58,8.67,7.0,7.47,21018800,0.0,0.0
2024-12-06,7.49,8.85,7.26,7.93,33811600,0.0,0.0
2024-12-05,6.95,7.9,6.52,7.26,23210700,0.0,0.0
2024-12-04,6.21,7.2,5.95,7.01,19617700,0.0,0.0
2024-12-03,5.97,6.46,5.15,6.17,22151900,0.0,0.0
2024-12-02,7.33,7.56,6.11,6.11,21941200,0.0,0.0
2024-11-29,6.35,7.22,6.15,7.06,24711400,0.0,0.0
2024-11-27,7.0,7.7,5.89,6.75,48035200,0.0,0.0
2024-11-26,6.42,7.3,6.14,6.65,45862300,0.0,0.0
2024-11-25,7.47,9.2,6.52,7.7,134901800,0.0,0.0
2024-11-22,5.03,6.4,4.51,6.1,98807300,0.0,0.0
2024-11-21,4.24,5.31,4.03,4.76,134168600,0.0,0.0
2024-11-20,2.96,3.8,2.85,3.68,106063100,0.0,0.0
2024-11-19,2.52,2.75,2.44,2.54,25364200,0.0,0.0
2024-11-18,2.99,3.0,2.22,2.39,25160100,0.0,0.0
2024-11-15,2.93,3.21,2.53,3.1,53358100,0.0,0.0
2024-11-14,3.67,4.69,3.23,4.4,232619400,0.0,0.0
2024-11-13,1.44,3.42,1.41,2.66,102171900,0.0,0.0
2024-11-12,1.37,1.39,1.26,1.38,2628700,0.0,0.0
2024-11-11,1.5,1.56,1.35,1.41,4210600,0.0,0.0
2024-11-08,1.35,1.5,1.24,1.43,6860700,0.0,0.0
2024-11-07,1.08,1.38,1.08,1.35,7957000,0.0,0.0
2024-11-06,1.24,1.24,1.03,1.08,3207500,0.0,0.0
2024-11-05,1.03,1.17,1.03,1.16,1924900,0.0,0.0
2024-11-04,1.15,1.15,1.03,1.05,2369500,0.0,0.0
2024-11-01,1.11,1.2,1.1,1.13,1904900,0.0,0.0
2024-10-31,1.26,1.29,1.06,1.12,4102900,0.0,0.0
2024-10-30,1.21,1.34,1.15,1.25,5707000,0.0,0.0
2024-10-29,1.4,1.65,1.2,1.22,9963800,0.0,0.0
2024-10-28,1.09,1.29,1.09,1.28,5174300,0.0,0.0
2024-10-25,1.14,1.16,1.05,1.09,2240300,0.0,0.0
2024-10-24,1.09,1.13,1.04,1.1,1908200,0.0,0.0
2024-10-23,1.1,1.19,1.0,1.04,3386900,0.0,0.0
2024-10-22,1.18,1.18,1.07,1.13,3123200,0.0,0.0
2024-10-21,0.93,1.16,0.93,1.14,6879900,0.0,0.0
2024-10-18,0.88,1.03,0.88,0.92,4090100,0.0,0.0
2024-10-17,0.77,0.9,0.73,0.87,3315500,0.0,0.0
2024-10-16,0.7,0.76,0.69,0.76,928500,0.0,0.0
2024-10-15,0.72,0.74,0.69,0.71,458400,0.0,0.0
2024-10-14,0.74,0.74,0.71,0.73,589600,0.0,0.0
2024-10-11,0.67,0.71,0.67,0.69,279100,0.0,0.0
2024-10-10,0.68,0.69,0.65,0.66,344900,0.0,0.0
2024-10-09,0.71,0.73,0.68,0.69,335100,0.0,0.0
2024-10-08,0.73,0.77,0.7,0.72,602200,0.0,0.0
2024-10-07,0.7,0.74,0.7,0.72,651800,0.0,0.0
