Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,47.83,49.13,43.89,43.92,138318500,0.0,0.0
2025-10-09,43.34,48.22,42.89,47.11,155458400,0.0,0.0
2025-10-08,44.26,48.23,41.46,43.23,166627500,0.0,0.0
2025-10-07,43.65,46.18,40.71,43.91,174843700,0.0,0.0
2025-10-06,38.81,43.11,38.37,41.71,110767900,0.0,0.0
2025-10-03,36.99,40.63,35.75,40.06,155531200,0.0,0.0
2025-10-02,30.67,35.81,30.46,35.4,146006200,0.0,0.0
2025-10-01,29.1,31.39,28.65,29.85,84797300,0.0,0.0
2025-09-30,29.22,30.62,28.97,29.79,72038300,0.0,0.0
2025-09-29,31.83,32.53,28.45,29.65,95487600,0.0,0.0
2025-09-26,32.15,33.98,30.74,31.18,100109900,0.0,0.0
2025-09-25,29.82,32.83,28.78,32.1,129306900,0.0,0.0
2025-09-24,32.68,34.4,29.71,31.64,141839200,0.0,0.0
2025-09-23,29.39,32.4,28.84,31.46,103564700,0.0,0.0
2025-09-22,26.33,29.59,25.5,28.37,87217900,0.0,0.0
2025-09-19,24.78,29.09,24.73,28.52,127847900,0.0,0.0
2025-09-18,22.88,26.21,22.4,24.74,113908000,0.0,0.0
2025-09-17,20.07,22.13,19.82,21.99,77851300,0.0,0.0
2025-09-16,19.4,20.3,18.92,20.0,43946800,0.0,0.0
2025-09-15,19.08,19.72,18.67,19.21,43217000,0.0,0.0
2025-09-12,16.78,20.12,16.66,19.09,112179000,0.0,0.0
2025-09-11,16.15,17.0,16.04,16.69,38165200,0.0,0.0
2025-09-10,16.39,16.62,16.1,16.19,32877300,0.0,0.0
2025-09-09,15.25,16.69,15.09,16.5,45080700,0.0,0.0
2025-09-08,15.21,15.49,14.98,15.15,24957100,0.0,0.0
2025-09-05,15.39,15.65,14.47,15.1,33450100,0.0,0.0
2025-09-04,15.23,15.67,14.89,15.12,29216800,0.0,0.0
2025-09-03,15.6,15.81,14.94,15.04,27360100,0.0,0.0
2025-09-02,15.84,16.03,14.77,15.52,64148900,0.0,0.0
2025-08-29,16.6,16.79,16.12,16.23,42451100,0.0,0.0
2025-08-28,15.72,17.27,15.68,16.58,75480500,0.0,0.0
