Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,96.66,97.44,89.35,89.57,3279800,0.0,0.0
2025-10-09,98.7,100.22,96.27,98.72,1423900,0.0,0.0
2025-10-08,96.64,100.12,95.55,99.43,1455600,0.0,0.0
2025-10-07,101.18,102.2,95.93,96.84,1756800,0.0,0.0
2025-10-06,100.91,104.12,100.53,101.0,2461100,0.0,0.0
2025-10-03,104.89,105.0,97.88,99.99,2061400,0.0,0.0
2025-10-02,104.73,105.58,102.65,103.71,2141400,0.0,0.0
2025-10-01,101.99,105.08,101.3,103.14,2222900,0.0,0.0
2025-09-30,103.99,106.61,102.5,104.2,1554900,0.0,0.0
2025-09-29,106.04,107.0,103.72,103.99,1610600,0.0,0.0
2025-09-26,100.1,102.97,99.16,102.62,1421700,0.0,0.0
2025-09-25,96.49,101.15,95.04,100.76,2072900,0.0,0.0
2025-09-24,102.6,102.73,97.76,100.73,2268000,0.0,0.0
2025-09-23,107.21,109.15,100.31,102.62,3773900,0.0,0.0
2025-09-22,102.35,108.61,102.29,106.94,2665200,0.0,0.0
2025-09-19,107.45,107.67,101.2,102.35,9564900,0.0,0.0
2025-09-18,101.48,107.48,99.7,107.38,4157500,0.0,0.0
2025-09-17,98.01,99.9,94.75,97.52,2425500,0.0,0.0
2025-09-16,94.96,98.85,94.5,97.05,2973500,0.0,0.0
2025-09-15,88.13,100.73,88.13,94.88,5403900,0.0,0.0
2025-09-12,88.2,88.29,85.61,86.03,2245600,0.0,0.0
2025-09-11,77.85,89.98,77.85,88.58,4971200,0.0,0.0
2025-09-10,75.45,77.6,75.02,77.11,1385900,0.0,0.0
2025-09-09,73.13,75.49,72.5,74.55,1171000,0.0,0.0
2025-09-08,75.96,76.96,72.45,73.28,1803900,0.0,0.0
2025-09-05,76.93,78.47,74.6,74.81,1354500,0.0,0.0
2025-09-04,73.49,75.52,73.1,75.4,1078700,0.0,0.0
2025-09-03,73.52,74.87,72.68,73.67,1027300,0.0,0.0
2025-09-02,71.72,73.9,70.9,73.49,1387300,0.0,0.0
2025-08-29,80.21,80.79,73.07,73.77,2313800,0.0,0.0
2025-08-28,77.85,81.89,76.49,81.09,2271300,0.0,0.0
2025-08-27,74.33,76.19,74.18,75.05,1041300,0.0,0.0
2025-08-26,73.89,75.69,73.83,75.03,1089200,0.0,0.0
2025-08-25,73.52,74.39,73.13,73.3,563900,0.0,0.0
2025-08-22,70.53,74.63,70.45,73.77,1005900,0.0,0.0
2025-08-21,69.46,71.13,69.36,70.44,640900,0.0,0.0
2025-08-20,69.64,69.87,67.15,69.68,1548600,0.0,0.0
2025-08-19,75.37,75.37,69.64,69.78,1753500,0.0,0.0
2025-08-18,74.15,75.79,73.75,75.77,605500,0.0,0.0
2025-08-15,75.58,75.58,73.6,74.22,867600,0.0,0.0
2025-08-14,75.37,76.7,75.21,76.0,798700,0.0,0.0
2025-08-13,77.75,78.16,75.4,76.79,1006300,0.0,0.0
2025-08-12,73.3,76.63,72.34,76.44,1108900,0.0,0.0
2025-08-11,73.84,74.87,72.43,72.77,1240600,0.0,0.0
2025-08-08,72.5,73.97,72.03,72.86,896100,0.0,0.0
2025-08-07,73.2,73.83,70.58,71.95,1067800,0.0,0.0
2025-08-06,73.03,73.42,70.91,71.56,1116300,0.0,0.0
2025-08-05,75.83,76.2,73.08,73.79,1459600,0.0,0.0
2025-08-04,73.1,75.77,72.41,75.73,1318700,0.0,0.0
2025-08-01,71.0,73.19,69.51,72.41,1910600,0.0,0.0
2025-07-31,74.0,74.94,73.15,73.93,1942200,0.0,0.0
2025-07-30,73.44,76.07,73.03,75.09,2295700,0.0,0.0
2025-07-29,68.0,73.3,65.31,73.15,3639100,0.0,0.0
2025-07-28,63.78,65.38,63.3,64.24,1885900,0.0,0.0
2025-07-25,64.02,64.34,62.81,62.85,974100,0.0,0.0
2025-07-24,65.67,65.92,63.0,64.21,1214200,0.0,0.0
2025-07-23,66.4,66.69,64.84,65.95,1087200,0.0,0.0
2025-07-22,68.51,68.7,65.18,66.61,1238700,0.0,0.0
2025-07-21,68.88,70.05,68.31,68.91,1729600,0.0,0.0
2025-07-18,68.95,69.43,67.57,68.21,1037500,0.0,0.0
2025-07-17,67.45,68.83,66.88,68.17,1651800,0.0,0.0
2025-07-16,64.31,66.86,63.72,66.79,1226700,0.0,0.0
2025-07-15,64.77,65.45,64.11,64.53,814300,0.0,0.0
2025-07-14,63.5,63.63,61.16,63.28,1023000,0.0,0.0
2025-07-11,64.0,64.58,63.56,64.06,478500,0.0,0.0
2025-07-10,65.64,65.64,64.19,64.6,580200,0.0,0.0
2025-07-09,65.13,65.76,64.26,64.79,533400,0.0,0.0
2025-07-08,64.5,65.71,63.55,65.18,928900,0.0,0.0
2025-07-07,65.15,65.44,63.56,63.79,743200,0.0,0.0
2025-07-03,65.76,66.36,65.26,65.89,664700,0.0,0.0
2025-07-02,63.69,65.42,63.59,65.0,1024200,0.0,0.0
2025-07-01,63.39,64.56,61.99,64.14,1125200,0.0,0.0
2025-06-30,64.51,64.9,63.28,64.02,1192500,0.0,0.0
2025-06-27,62.88,64.07,62.3,64.0,1940500,0.0,0.0
2025-06-26,62.88,62.88,61.9,62.52,783900,0.0,0.0
2025-06-25,62.55,62.94,61.12,61.9,654500,0.0,0.0
2025-06-24,61.01,62.82,60.96,62.3,835600,0.0,0.0
2025-06-23,59.46,60.98,58.82,60.0,662800,0.0,0.0
2025-06-20,61.05,61.55,58.92,59.38,1070500,0.0,0.0
2025-06-18,60.09,61.11,59.87,60.55,595800,0.0,0.0
2025-06-17,59.75,60.95,59.75,59.94,745100,0.0,0.0
2025-06-16,58.91,60.57,58.81,60.37,967500,0.0,0.0
2025-06-13,59.49,59.88,57.98,58.1,893200,0.0,0.0
2025-06-12,60.47,61.38,60.3,60.66,713100,0.0,0.0
2025-06-11,61.3,63.15,60.61,61.21,1286500,0.0,0.0
2025-06-10,59.46,60.25,59.27,59.7,627800,0.0,0.0
2025-06-09,58.39,59.88,58.01,59.03,645000,0.0,0.0
2025-06-06,57.65,57.86,57.12,57.43,825400,0.0,0.0
2025-06-05,57.74,58.1,56.21,56.56,977200,0.0,0.0
2025-06-04,56.73,57.59,56.08,57.15,669900,0.0,0.0
2025-06-03,54.79,56.41,54.05,56.3,1179500,0.0,0.0
2025-06-02,53.17,55.02,53.11,54.75,907700,0.0,0.0
2025-05-30,54.04,54.09,52.12,53.47,1374100,0.0,0.0
2025-05-29,55.36,55.36,53.96,54.6,674800,0.0,0.0
2025-05-28,55.11,55.28,54.21,54.23,852900,0.0,0.0
2025-05-27,55.06,55.31,54.03,55.06,778200,0.0,0.0
2025-05-23,53.0,53.95,52.7,53.48,772100,0.0,0.0
2025-05-22,54.75,55.88,54.44,54.52,654700,0.0,0.0
2025-05-21,55.0,56.19,54.32,54.63,1153200,0.0,0.0
2025-05-20,55.15,55.88,54.92,55.65,564700,0.0,0.0
2025-05-19,54.79,55.84,54.79,55.81,619800,0.0,0.0
2025-05-16,56.7,56.9,55.71,56.35,870400,0.0,0.0
2025-05-15,56.99,57.68,56.25,56.77,1155200,0.0,0.0
2025-05-14,56.68,58.2,56.59,57.65,946100,0.0,0.0
2025-05-13,54.25,57.34,54.25,56.67,1120200,0.0,0.0
2025-05-12,55.17,55.22,53.55,54.11,1533500,0.0,0.0
2025-05-09,52.13,52.6,50.89,51.02,830100,0.0,0.0
2025-05-08,52.02,52.45,51.15,51.6,1280800,0.0,0.0
2025-05-07,50.15,51.2,49.61,50.87,963300,0.0,0.0
2025-05-06,49.51,50.47,49.29,50.17,704600,0.0,0.0
2025-05-05,50.31,51.7,50.29,50.72,907300,0.0,0.0
2025-05-02,50.04,51.95,49.87,51.29,1026600,0.0,0.0
2025-05-01,50.05,51.0,48.8,48.88,1289300,0.0,0.0
2025-04-30,47.6,48.98,46.57,48.79,1402900,0.0,0.0
2025-04-29,52.0,52.12,49.23,49.27,2418000,0.0,0.0
2025-04-28,50.9,52.65,50.61,52.22,2024500,0.0,0.0
2025-04-25,48.38,51.0,48.26,50.94,942500,0.0,0.0
2025-04-24,46.86,49.78,46.08,49.36,1502500,0.0,0.0
2025-04-23,46.97,48.12,45.88,45.94,1308700,0.0,0.0
2025-04-22,44.74,45.0,43.78,44.28,860100,0.0,0.0
2025-04-21,44.74,45.52,43.21,44.05,592500,0.0,0.0
2025-04-17,46.24,46.39,44.82,45.72,739100,0.0,0.0
2025-04-16,45.41,46.52,44.56,45.92,1084800,0.0,0.0
2025-04-15,47.32,48.33,47.22,47.47,591400,0.0,0.0
2025-04-14,48.85,49.24,45.86,47.24,879200,0.0,0.0
2025-04-11,45.81,47.41,44.81,47.04,992100,0.0,0.0
2025-04-10,49.18,49.42,44.86,46.24,1506600,0.0,0.0
2025-04-09,42.91,52.71,42.18,52.29,1839000,0.0,0.0
2025-04-08,46.81,47.34,41.43,42.9,1543900,0.0,0.0
2025-04-07,40.51,47.88,40.12,44.76,1768200,0.0,0.0
2025-04-04,43.39,44.49,40.85,43.13,1796400,0.0,0.0
2025-04-03,49.08,49.55,45.52,46.15,1792200,0.0,0.0
2025-04-02,51.17,53.82,51.11,52.68,973900,0.0,0.0
2025-04-01,51.35,52.41,50.18,52.29,976500,0.0,0.0
2025-03-31,52.1,52.13,50.01,51.78,1020700,0.0,0.0
2025-03-28,54.88,55.8,53.05,53.7,975800,0.0,0.0
2025-03-27,55.83,56.47,54.46,55.44,506200,0.0,0.0
2025-03-26,58.68,59.02,55.7,56.64,712500,0.0,0.0
