Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,20.52,20.77,18.1,18.8,11510700,0.0,0.0
2025-10-09,19.67,21.08,19.52,20.32,11672800,0.0,0.0
2025-10-08,19.46,19.77,19.12,19.4,7645900,0.0,0.0
2025-10-07,19.5,20.25,18.92,19.46,9208000,0.0,0.0
2025-10-06,19.35,19.75,19.1,19.25,6326500,0.0,0.0
2025-10-03,19.13,19.64,18.81,19.11,10738600,0.0,0.0
2025-10-02,18.73,19.24,18.3,19.15,15353300,0.0,0.0
2025-10-01,18.51,20.02,17.93,18.35,21698800,0.0,0.0
2025-09-30,17.78,18.28,16.83,17.29,10487100,0.0,0.0
2025-09-29,17.75,17.9,17.1,17.78,9072200,0.0,0.0
2025-09-26,16.98,17.9,16.87,17.67,12420400,0.0,0.0
2025-09-25,15.72,16.94,15.69,16.91,10205000,0.0,0.0
2025-09-24,16.73,17.05,15.78,16.05,8503600,0.0,0.0
2025-09-23,17.77,17.95,16.37,16.45,9987400,0.0,0.0
2025-09-22,16.53,17.8,16.49,17.61,11217600,0.0,0.0
2025-09-19,16.41,16.98,16.14,16.58,14191600,0.0,0.0
2025-09-18,16.46,16.47,15.56,16.3,10348800,0.0,0.0
2025-09-17,16.25,16.94,15.71,15.91,9964800,0.0,0.0
2025-09-16,16.57,16.97,16.07,16.24,6336000,0.0,0.0
2025-09-15,16.01,16.9,15.7,16.45,8447100,0.0,0.0
2025-09-12,15.98,16.42,15.9,16.06,7217600,0.0,0.0
2025-09-11,16.17,17.26,15.83,16.01,10269400,0.0,0.0
2025-09-10,16.2,16.73,16.06,16.2,6952800,0.0,0.0
2025-09-09,16.93,16.93,15.4,16.03,10477900,0.0,0.0
2025-09-08,18.08,18.1,16.44,16.92,12286600,0.0,0.0
2025-09-05,16.92,18.32,16.85,18.18,17576600,0.0,0.0
2025-09-04,16.52,17.1,16.28,16.43,10075400,0.0,0.0
2025-09-03,15.87,16.51,15.67,16.48,8776800,0.0,0.0
2025-09-02,15.06,16.04,14.95,15.93,6980200,0.0,0.0
2025-08-29,16.36,16.51,15.96,15.97,6815800,0.0,0.0
2025-08-28,15.94,16.48,15.77,16.37,6703700,0.0,0.0
2025-08-27,16.49,16.83,15.78,15.8,9003700,0.0,0.0
2025-08-26,16.4,16.9,16.25,16.61,11127700,0.0,0.0
2025-08-25,15.73,16.4,15.21,16.38,10029000,0.0,0.0
2025-08-22,14.97,16.4,14.6,16.2,16060000,0.0,0.0
2025-08-21,15.06,15.06,14.18,14.74,14921200,0.0,0.0
2025-08-20,15.53,16.12,15.3,15.47,16863300,0.0,0.0
2025-08-19,15.45,15.91,14.81,15.49,18712900,0.0,0.0
2025-08-18,14.77,16.57,14.67,15.5,50682600,0.0,0.0
2025-08-15,10.48,14.87,10.1,13.92,76431500,0.0,0.0
2025-08-14,10.82,10.94,10.26,10.48,12232000,0.0,0.0
2025-08-13,11.47,11.82,10.79,10.93,13468200,0.0,0.0
2025-08-12,11.72,11.89,11.34,11.42,11611000,0.0,0.0
2025-08-11,12.15,12.75,11.38,11.6,14000300,0.0,0.0
2025-08-08,12.07,12.25,11.14,11.85,18609900,0.0,0.0
2025-08-07,11.2,12.33,10.81,12.0,48256300,0.0,0.0
2025-08-06,9.24,9.44,9.01,9.07,13059000,0.0,0.0
2025-08-05,9.77,9.81,9.36,9.42,9012400,0.0,0.0
2025-08-04,9.95,10.07,9.6,9.7,8631200,0.0,0.0
2025-08-01,10.03,10.22,9.75,9.85,8252300,0.0,0.0
2025-07-31,10.23,10.48,10.1,10.26,9378900,0.0,0.0
2025-07-30,10.81,10.84,9.91,10.15,10958200,0.0,0.0
2025-07-29,11.14,11.27,10.7,10.75,8488000,0.0,0.0
2025-07-28,10.86,11.28,10.7,11.15,12120900,0.0,0.0
2025-07-25,10.53,10.84,10.34,10.78,8774800,0.0,0.0
2025-07-24,11.38,11.88,10.32,10.58,23450800,0.0,0.0
2025-07-23,11.16,11.3,10.61,10.64,14608600,0.0,0.0
2025-07-22,10.6,11.34,10.53,11.16,17476700,0.0,0.0
2025-07-21,10.38,10.88,9.99,10.46,13344600,0.0,0.0
2025-07-18,10.15,10.55,9.97,10.24,11869700,0.0,0.0
