Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,4.03,4.03,3.38,3.39,4700500,0.0,0.0
2025-10-09,4.02,4.3,3.93,4.03,4281000,0.0,0.0
2025-10-08,3.62,4.06,3.59,4.04,5071700,0.0,0.0
2025-10-07,3.72,3.74,3.45,3.63,2381500,0.0,0.0
2025-10-06,3.54,3.85,3.46,3.77,2538300,0.0,0.0
2025-10-03,3.51,3.68,3.44,3.5,1990700,0.0,0.0
2025-10-02,3.37,3.51,3.3,3.51,1494900,0.0,0.0
2025-10-01,3.31,3.44,3.3,3.33,1330800,0.0,0.0
2025-09-30,3.33,3.35,3.23,3.28,1297400,0.0,0.0
2025-09-29,3.36,3.43,3.29,3.32,1603300,0.0,0.0
2025-09-26,3.44,3.5,3.35,3.36,1559100,0.0,0.0
2025-09-25,3.59,3.62,3.32,3.36,3616500,0.0,0.0
2025-09-24,3.76,3.81,3.61,3.71,1949600,0.0,0.0
2025-09-23,3.69,4.0,3.62,3.74,3542900,0.0,0.0
2025-09-22,3.61,3.78,3.53,3.64,2805400,0.0,0.0
2025-09-19,3.57,3.82,3.57,3.66,4581800,0.0,0.0
2025-09-18,3.59,3.67,3.54,3.55,1912600,0.0,0.0
2025-09-17,3.74,3.77,3.48,3.53,2666200,0.0,0.0
2025-09-16,3.74,3.84,3.62,3.77,1606300,0.0,0.0
2025-09-15,3.99,4.07,3.64,3.73,3977900,0.0,0.0
2025-09-12,3.82,4.12,3.73,3.83,4926700,0.0,0.0
2025-09-11,3.58,3.8,3.55,3.74,1106600,0.0,0.0
2025-09-10,3.76,3.82,3.53,3.54,1527700,0.0,0.0
2025-09-09,3.57,3.75,3.53,3.72,1259900,0.0,0.0
2025-09-08,3.48,3.63,3.45,3.6,1014800,0.0,0.0
2025-09-05,3.42,3.52,3.37,3.5,1032400,0.0,0.0
2025-09-04,3.58,3.6,3.35,3.46,1473000,0.0,0.0
2025-09-03,3.61,3.79,3.58,3.58,1710600,0.0,0.0
2025-09-02,3.55,3.68,3.52,3.59,1097900,0.0,0.0
2025-08-29,3.6,3.77,3.55,3.73,1127100,0.0,0.0
2025-08-28,3.67,3.69,3.56,3.62,533300,0.0,0.0
2025-08-27,3.74,3.77,3.58,3.66,1236400,0.0,0.0
2025-08-26,3.59,3.78,3.53,3.75,1734700,0.0,0.0
2025-08-25,3.44,3.73,3.39,3.61,1528000,0.0,0.0
2025-08-22,3.48,3.63,3.43,3.51,1482000,0.0,0.0
2025-08-21,3.33,3.6,3.33,3.55,1616900,0.0,0.0
2025-08-20,3.34,3.4,3.25,3.36,1164900,0.0,0.0
2025-08-19,3.56,3.58,3.32,3.42,1444700,0.0,0.0
2025-08-18,3.56,3.71,3.48,3.57,1676100,0.0,0.0
2025-08-15,3.72,3.74,3.38,3.71,2350400,0.0,0.0
2025-08-14,3.66,3.87,3.54,3.72,3320700,0.0,0.0
2025-08-13,3.56,3.85,3.51,3.61,3220600,0.0,0.0
2025-08-12,3.28,3.49,3.28,3.48,1005500,0.0,0.0
2025-08-11,3.41,3.43,3.23,3.28,1297200,0.0,0.0
2025-08-08,3.39,3.54,3.33,3.43,943000,0.0,0.0
2025-08-07,3.46,3.52,3.35,3.38,895900,0.0,0.0
2025-08-06,3.47,3.52,3.4,3.44,744200,0.0,0.0
2025-08-05,3.44,3.55,3.35,3.52,985500,0.0,0.0
2025-08-04,3.34,3.43,3.3,3.38,883500,0.0,0.0
2025-08-01,3.23,3.37,3.15,3.26,1338300,0.0,0.0
2025-07-31,3.4,3.42,3.26,3.28,807900,0.0,0.0
2025-07-30,3.44,3.53,3.34,3.38,670300,0.0,0.0
2025-07-29,3.56,3.62,3.39,3.39,1063300,0.0,0.0
2025-07-28,3.64,3.64,3.47,3.55,841000,0.0,0.0
2025-07-25,3.56,3.6,3.45,3.56,706600,0.0,0.0
2025-07-24,3.51,3.61,3.5,3.54,804700,0.0,0.0
2025-07-23,3.66,3.77,3.49,3.56,1139400,0.0,0.0
2025-07-22,3.65,3.65,3.39,3.62,1782400,0.0,0.0
2025-07-21,3.65,3.92,3.42,3.43,2196100,0.0,0.0
2025-07-18,3.66,3.67,3.49,3.51,988100,0.0,0.0
2025-07-17,3.69,3.84,3.61,3.67,1825700,0.0,0.0
2025-07-16,3.52,3.74,3.46,3.72,1519600,0.0,0.0
2025-07-15,3.4,3.61,3.35,3.58,1183500,0.0,0.0
2025-07-14,3.26,3.41,3.25,3.36,797500,0.0,0.0
2025-07-11,3.32,3.37,3.24,3.28,926500,0.0,0.0
2025-07-10,3.43,3.5,3.31,3.35,715200,0.0,0.0
2025-07-09,3.38,3.45,3.33,3.44,641500,0.0,0.0
2025-07-08,3.37,3.39,3.2,3.37,1486800,0.0,0.0
2025-07-07,3.5,3.5,3.31,3.35,1270500,0.0,0.0
2025-07-03,3.48,3.6,3.46,3.56,712400,0.0,0.0
2025-07-02,3.45,3.6,3.44,3.54,819100,0.0,0.0
2025-07-01,3.61,3.66,3.44,3.47,1128500,0.0,0.0
2025-06-30,3.9,3.93,3.58,3.62,1812200,0.0,0.0
2025-06-27,3.74,3.78,3.58,3.76,10974700,0.0,0.0
2025-06-26,3.5,3.78,3.5,3.73,1536500,0.0,0.0
2025-06-25,3.69,3.69,3.43,3.46,1100300,0.0,0.0
2025-06-24,3.59,3.63,3.43,3.61,1396400,0.0,0.0
2025-06-23,3.55,3.64,3.38,3.54,1533900,0.0,0.0
2025-06-20,3.47,3.55,3.41,3.55,1360400,0.0,0.0
2025-06-18,3.35,3.54,3.3,3.52,1219600,0.0,0.0
2025-06-17,3.39,3.44,3.3,3.31,1039700,0.0,0.0
2025-06-16,3.31,3.47,3.31,3.42,882600,0.0,0.0
2025-06-13,3.15,3.34,3.12,3.22,997100,0.0,0.0
2025-06-12,3.25,3.38,3.17,3.21,1177700,0.0,0.0
2025-06-11,3.58,3.7,3.29,3.32,2074000,0.0,0.0
2025-06-10,3.5,3.63,3.48,3.6,1294100,0.0,0.0
2025-06-09,3.56,3.66,3.46,3.51,1156300,0.0,0.0
2025-06-06,3.48,3.64,3.45,3.48,959800,0.0,0.0
2025-06-05,3.51,3.75,3.2,3.53,2120400,0.0,0.0
2025-06-04,3.62,3.65,3.41,3.55,1614400,0.0,0.0
2025-06-03,3.67,3.81,3.63,3.64,1773400,0.0,0.0
