Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,76.51,78.08,73.56,74.0,2930500,0.0,0.0
2025-10-09,76.53,76.91,75.89,76.5,1989800,0.0,0.0
2025-10-08,76.93,77.69,75.67,76.25,2060400,0.0,0.0
2025-10-07,77.18,77.71,74.2,75.18,3921500,0.0,0.0
2025-10-06,78.88,79.05,75.49,76.78,3167500,0.0,0.0
2025-10-03,79.35,79.79,76.38,77.12,3926500,0.0,0.0
2025-10-02,79.35,79.98,77.86,79.0,6364500,0.0,0.0
2025-10-01,75.51,79.64,75.0,79.5,5599500,0.0,0.0
2025-09-30,77.39,77.51,74.2,76.36,6742400,0.0,0.0
2025-09-29,73.61,74.13,72.76,73.65,2259500,0.0,0.0
2025-09-26,73.22,74.78,73.14,73.45,3406900,0.0,0.0
2025-09-25,72.63,75.11,72.04,73.14,3633200,0.0,0.0
2025-09-24,74.16,74.5,72.97,73.1,2862500,0.0,0.0
2025-09-23,73.69,75.0,72.91,73.64,11218100,0.0,0.0
2025-09-22,73.06,74.29,71.71,73.14,5310900,0.0,0.0
2025-09-19,72.36,73.17,71.16,72.47,7027700,0.0,0.0
2025-09-18,71.99,72.87,70.71,71.22,3994300,0.0,0.0
2025-09-17,69.39,73.58,68.92,71.81,7567900,0.0,0.0
2025-09-16,71.89,72.06,69.14,69.8,5518800,0.0,0.0
2025-09-15,72.11,74.55,70.41,71.94,7512200,0.0,0.0
2025-09-12,77.05,77.27,74.11,74.89,5558100,0.0,0.0
2025-09-11,79.06,79.7,75.0,77.04,7090400,0.0,0.0
2025-09-10,83.5,85.0,79.5,79.89,4721900,0.0,0.0
2025-09-09,83.58,85.37,79.22,83.57,10168100,0.0,0.0
2025-09-08,81.53,84.48,75.5,80.63,24269800,0.0,0.0
2025-09-05,67.13,70.19,66.18,67.24,7061500,0.0,0.0
2025-09-04,64.08,67.36,63.39,67.22,4540300,0.0,0.0
2025-09-03,65.06,65.24,62.28,63.91,4644900,0.0,0.0
2025-09-02,60.94,65.54,60.35,65.24,6894400,0.0,0.0
2025-08-29,57.14,61.87,56.26,61.79,12454800,0.0,0.0
2025-08-28,58.71,58.85,54.74,56.95,8130000,0.0,0.0
2025-08-27,54.31,59.64,53.9,58.76,19724800,0.0,0.0
