Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,90.89,91.48,86.67,86.76,1727000,0.0,0.0
2025-10-09,92.1,92.91,90.52,91.02,1326900,0.0,0.0
2025-10-08,93.33,93.33,92.24,92.38,737800,0.0,0.0
2025-10-07,95.52,95.82,92.56,92.95,1359100,0.0,0.0
2025-10-06,94.24,96.62,92.22,95.62,1386100,0.0,0.0
2025-10-03,94.28,97.21,93.81,96.79,1093300,0.0,0.0
2025-10-02,91.88,94.6,90.62,94.55,1210300,0.0,0.0
2025-10-01,93.12,93.99,90.98,91.62,762200,0.0,0.0
2025-09-30,94.0,94.32,92.3,93.61,1158500,0.0,0.0
2025-09-29,93.82,95.79,92.15,94.61,1453200,0.0,0.0
2025-09-26,93.99,94.55,91.85,92.4,878300,0.0,0.0
2025-09-25,95.07,95.51,93.0,94.21,1034700,0.0,0.0
2025-09-24,98.5,99.3,94.85,95.28,1099200,0.0,0.0
2025-09-23,100.42,101.0,98.0,98.01,646300,0.0,0.0
2025-09-22,99.46,101.01,98.71,100.4,978000,0.0,0.0
2025-09-19,99.5,99.78,97.59,99.62,2098000,0.0,0.0
2025-09-18,99.08,99.65,96.99,98.98,1247200,0.0,0.0
2025-09-17,99.72,101.6,98.25,98.99,1351900,0.0,0.0
2025-09-16,100.99,101.46,98.52,99.01,990500,0.0,0.0
2025-09-15,101.76,102.21,100.63,101.14,1019700,0.0,0.0
2025-09-12,103.48,103.48,99.96,100.77,1052300,0.0,0.0
2025-09-11,97.72,104.03,96.95,103.97,1690300,0.0,0.0
2025-09-10,98.33,98.33,96.58,97.48,1107300,0.0,0.0
2025-09-09,97.29,99.31,95.74,98.33,1352400,0.0,0.0
2025-09-08,99.99,100.53,97.03,97.59,1508900,0.0,0.0
2025-09-05,102.02,103.54,99.52,100.18,1857200,0.0,0.0
2025-09-04,105.17,105.58,101.5,101.87,1237200,0.0,0.0
2025-09-03,105.4,106.68,104.43,105.18,1071400,0.0,0.0
2025-09-02,104.8,106.06,104.02,105.59,882600,0.0,0.0
2025-08-29,105.19,106.1,104.38,106.0,1004400,0.0,0.0
2025-08-28,106.5,107.49,105.23,105.92,1049800,0.0,0.0
2025-08-27,105.53,107.29,105.53,106.76,824500,0.0,0.0
2025-08-26,104.29,106.66,104.03,105.62,1402900,0.0,0.0
2025-08-25,103.37,105.44,102.6,104.46,1071600,0.0,0.0
2025-08-22,101.36,105.24,101.35,103.98,1160900,0.0,0.0
2025-08-21,102.15,102.25,99.83,100.54,971700,0.0,0.0
2025-08-20,104.78,104.78,101.07,102.64,1369300,0.0,0.0
2025-08-19,105.41,106.24,103.78,104.52,833400,0.0,0.0
2025-08-18,106.33,106.72,104.71,104.83,829600,0.0,0.0
