Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,9.2,9.42,8.68,8.76,11792300,0.0,0.0
2025-10-09,8.84,9.44,8.69,9.0,7883700,0.0,0.0
2025-10-08,8.6,9.05,8.55,8.84,4448200,0.0,0.0
2025-10-07,8.81,8.93,8.43,8.54,3833700,0.0,0.0
2025-10-06,8.66,8.9,8.48,8.74,6312300,0.0,0.0
2025-10-03,9.01,9.14,8.4,8.5,9290600,0.0,0.0
2025-10-02,8.93,9.22,8.35,8.91,12067800,0.0,0.0
2025-10-01,7.5,7.94,7.49,7.93,4086400,0.0,0.0
2025-09-30,7.37,7.71,7.3,7.41,3442800,0.0,0.0
2025-09-29,7.8,7.92,7.46,7.5,4819100,0.0,0.0
2025-09-26,7.6,7.82,7.43,7.66,3073700,0.0,0.0
2025-09-25,7.5,7.68,7.0,7.58,5767600,0.0,0.0
2025-09-24,7.3,8.2,7.26,7.7,6784200,0.0,0.0
2025-09-23,7.54,7.75,7.14,7.2,3244800,0.0,0.0
2025-09-22,7.27,7.52,7.11,7.51,3366900,0.0,0.0
2025-09-19,7.59,7.76,7.25,7.29,7029100,0.0,0.0
2025-09-18,7.3,7.58,7.03,7.55,5951800,0.0,0.0
2025-09-17,7.14,7.43,7.03,7.23,4958700,0.0,0.0
2025-09-16,7.1,7.38,7.03,7.11,4864900,0.0,0.0
2025-09-15,6.98,7.26,6.89,7.08,4347000,0.0,0.0
2025-09-12,6.8,6.97,6.47,6.88,3491800,0.0,0.0
2025-09-11,6.89,7.07,6.83,6.92,3521700,0.0,0.0
2025-09-10,6.64,6.93,6.62,6.88,6424200,0.0,0.0
2025-09-09,7.2,7.2,6.64,6.65,3700300,0.0,0.0
2025-09-08,7.3,7.32,6.99,7.14,5215200,0.0,0.0
2025-09-05,7.25,7.62,6.95,7.16,9111900,0.0,0.0
2025-09-04,6.75,7.29,6.62,7.15,5482500,0.0,0.0
2025-09-03,6.73,7.46,6.7,6.78,10280200,0.0,0.0
2025-09-02,6.31,6.73,6.25,6.72,5156300,0.0,0.0
2025-08-29,6.57,6.66,6.43,6.51,2362500,0.0,0.0
2025-08-28,6.56,6.71,6.42,6.59,2114100,0.0,0.0
2025-08-27,6.82,6.84,6.48,6.5,6611300,0.0,0.0
2025-08-26,6.79,7.13,6.67,6.84,6088500,0.0,0.0
2025-08-25,6.48,6.82,6.27,6.8,5591300,0.0,0.0
2025-08-22,5.8,6.49,5.72,6.48,4152400,0.0,0.0
2025-08-21,6.11,6.14,5.72,5.76,4236600,0.0,0.0
2025-08-20,6.13,6.3,5.92,6.15,5137700,0.0,0.0
2025-08-19,6.04,6.26,5.91,6.13,5799000,0.0,0.0
2025-08-18,5.4,6.07,5.4,6.04,9461100,0.0,0.0
2025-08-15,4.64,5.37,4.57,5.19,9895400,0.0,0.0
2025-08-14,4.74,4.8,4.45,4.59,7935700,0.0,0.0
2025-08-13,4.71,5.01,4.63,4.88,7004000,0.0,0.0
2025-08-12,4.46,4.78,4.43,4.62,6326400,0.0,0.0
2025-08-11,4.7,4.79,4.45,4.46,4937700,0.0,0.0
2025-08-08,4.87,4.98,4.7,4.72,5865600,0.0,0.0
2025-08-07,5.01,5.18,4.74,4.77,7217600,0.0,0.0
2025-08-06,4.61,4.87,4.54,4.62,5828800,0.0,0.0
2025-08-05,5.8,5.81,4.65,4.67,11392600,0.0,0.0
2025-08-04,5.19,5.44,5.14,5.38,6377100,0.0,0.0
2025-08-01,5.35,5.4,5.15,5.16,2926900,0.0,0.0
2025-07-31,5.36,5.48,5.31,5.39,3459300,0.0,0.0
2025-07-30,5.6,5.62,5.31,5.39,3586400,0.0,0.0
2025-07-29,5.88,5.88,5.51,5.58,2636200,0.0,0.0
2025-07-28,5.85,5.95,5.79,5.83,3256600,0.0,0.0
2025-07-25,5.65,5.96,5.61,5.84,3533400,0.0,0.0
2025-07-24,5.8,5.8,5.51,5.61,3116100,0.0,0.0
2025-07-23,6.0,6.03,5.76,5.81,4075600,0.0,0.0
2025-07-22,5.69,6.16,5.67,6.0,5475800,0.0,0.0
2025-07-21,5.65,5.76,5.57,5.64,3928100,0.0,0.0
2025-07-18,5.77,5.77,5.43,5.52,4908000,0.0,0.0
2025-07-17,5.95,6.0,5.64,5.7,4134700,0.0,0.0
2025-07-16,5.9,5.9,5.71,5.81,2686500,0.0,0.0
