Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,335.99,337.86,331.72,332.81,2419300,0.0,0.0
2025-10-09,337.5,337.5,330.79,333.22,2228600,0.0,0.0
2025-10-08,337.05,338.98,335.52,337.57,1549000,0.0,0.0
2025-10-07,336.84,337.46,334.73,337.0,1499800,0.0,0.0
2025-10-06,346.24,346.24,336.79,336.91,2032100,0.0,0.0
2025-10-03,343.8,349.68,342.63,346.6,1188100,0.0,0.0
2025-10-02,340.03,344.71,339.17,343.9,1564100,0.0,0.0
2025-10-01,344.66,346.05,340.32,341.22,1413900,0.0,0.0
2025-09-30,342.77,346.77,341.55,346.26,1332900,0.0,0.0
2025-09-29,342.54,343.41,340.59,342.92,1642100,0.0,0.0
2025-09-26,341.31,343.22,340.0,341.91,1039400,0.0,0.0
2025-09-25,341.12,343.01,338.99,340.1,1582400,0.0,0.0
2025-09-24,342.8,346.81,342.45,342.96,1128200,0.0,0.0
2025-09-23,345.59,348.9,344.03,344.45,1350600,0.0,0.0
2025-09-22,345.61,348.78,343.95,346.41,1224200,0.0,0.0
2025-09-19,350.64,350.64,345.99,346.8,2559000,0.0,0.0
2025-09-18,350.1,353.06,347.98,349.56,1608000,0.0,0.0
2025-09-17,354.4,359.21,348.5,350.21,2165900,0.0,0.0
2025-09-16,356.55,357.4,352.38,353.2,2266100,0.0,0.0
2025-09-15,360.06,360.1,354.51,357.08,2016300,0.0,0.0
2025-09-12,365.84,367.48,359.99,360.1,1848800,0.0,0.0
2025-09-11,358.69,369.52,357.74,368.68,2079000,0.0,0.0
2025-09-10,358.94,362.24,354.59,357.45,1777800,0.0,0.0
2025-09-09,370.98,372.0,358.56,361.38,2210000,0.0,0.0
2025-09-08,372.38,375.59,370.62,375.23,1544600,0.0,0.0
2025-09-05,368.85,376.58,366.5,372.43,3067000,0.0,0.0
2025-09-04,365.5,366.96,361.75,365.78,1922900,0.0,0.0
2025-09-03,360.3,364.17,359.66,363.03,2528600,0.0,0.0
2025-09-02,361.47,363.16,359.24,360.92,1472500,0.0,0.0
2025-08-29,365.8,367.43,364.62,365.83,1328500,0.0,0.0
2025-08-28,368.15,368.33,364.08,366.18,1136900,0.0,0.0
2025-08-27,367.05,368.35,365.58,367.4,812400,0.0,0.0
2025-08-26,367.4,367.98,364.97,366.46,1828400,0.0,0.0
2025-08-25,370.23,371.87,365.07,367.0,1411000,0.0,0.0
2025-08-22,365.93,379.65,363.34,372.93,2298600,0.0,0.0
2025-08-21,364.14,366.31,360.88,363.86,1450100,0.0,0.0
2025-08-20,367.44,370.0,365.16,367.13,1798300,0.0,0.0
2025-08-19,358.43,368.9,358.43,367.93,2089400,0.0,0.0
2025-08-18,364.11,364.73,358.26,358.85,2097300,0.0,0.0
2025-08-15,365.86,367.62,362.35,364.4,1785100,0.79,0.0
2025-08-14,367.26,370.96,362.99,364.78,2615100,0.0,0.0
2025-08-13,359.28,369.26,358.99,368.03,2880900,0.0,0.0
2025-08-12,354.76,360.4,353.28,357.32,2567500,0.0,0.0
2025-08-11,352.4,356.21,349.74,353.81,2626000,0.0,0.0
2025-08-08,349.18,352.08,348.08,351.4,1628300,0.0,0.0
