Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,6.43,6.47,5.83,5.96,793300,0.0,0.0
2025-10-09,6.31,6.58,6.29,6.4,937900,0.0,0.0
2025-10-08,5.55,6.79,5.53,6.31,3018900,0.0,0.0
2025-10-07,5.46,5.52,5.22,5.52,1276000,0.0,0.0
2025-10-06,5.99,6.06,5.44,5.48,782900,0.0,0.0
2025-10-03,5.75,6.01,5.75,5.9,1194300,0.0,0.0
2025-10-02,5.92,6.13,5.71,5.74,1613100,0.0,0.0
2025-10-01,6.09,6.16,5.81,5.87,1257500,0.0,0.0
2025-09-30,5.95,6.21,5.8,6.17,1206900,0.0,0.0
2025-09-29,6.18,6.36,5.96,5.97,966200,0.0,0.0
2025-09-26,5.98,6.16,5.77,6.15,1183200,0.0,0.0
2025-09-25,6.26,6.31,5.75,5.92,1069000,0.0,0.0
2025-09-24,5.35,6.36,5.26,6.24,2664000,0.0,0.0
2025-09-23,5.24,5.48,5.18,5.33,1718200,0.0,0.0
2025-09-22,5.15,5.24,5.03,5.17,629600,0.0,0.0
2025-09-19,5.41,5.43,5.03,5.12,3060700,0.0,0.0
2025-09-18,5.7,5.7,5.41,5.44,1252700,0.0,0.0
2025-09-17,5.46,5.78,5.42,5.47,844700,0.0,0.0
2025-09-16,5.51,5.61,5.4,5.41,715000,0.0,0.0
2025-09-15,5.43,5.69,5.35,5.49,665300,0.0,0.0
2025-09-12,5.29,5.49,5.25,5.39,918600,0.0,0.0
2025-09-11,5.25,5.38,5.18,5.31,482800,0.0,0.0
2025-09-10,5.02,5.33,4.98,5.24,1105400,0.0,0.0
2025-09-09,5.12,5.13,4.86,5.0,1260900,0.0,0.0
2025-09-08,5.5,5.58,5.04,5.13,1155900,0.0,0.0
2025-09-05,5.61,5.74,5.39,5.5,1143100,0.0,0.0
2025-09-04,5.76,5.76,5.41,5.56,659700,0.0,0.0
2025-09-03,5.38,5.77,5.34,5.75,548400,0.0,0.0
2025-09-02,5.42,5.72,5.35,5.43,760800,0.0,0.0
2025-08-29,5.64,5.64,5.37,5.48,508600,0.0,0.0
2025-08-28,5.68,5.8,5.6,5.62,536800,0.0,0.0
2025-08-27,5.68,5.77,5.59,5.62,458100,0.0,0.0
2025-08-26,5.6,5.72,5.56,5.71,374100,0.0,0.0
2025-08-25,5.92,5.93,5.57,5.6,805100,0.0,0.0
2025-08-22,5.73,6.07,5.66,5.93,794400,0.0,0.0
2025-08-21,5.55,5.73,5.46,5.66,742700,0.0,0.0
2025-08-20,5.72,5.82,5.47,5.66,922600,0.0,0.0
2025-08-19,6.0,6.01,5.73,5.8,852300,0.0,0.0
2025-08-18,6.15,6.28,6.03,6.03,858900,0.0,0.0
2025-08-15,6.17,6.26,6.02,6.11,886100,0.0,0.0
2025-08-14,6.7,6.75,6.09,6.17,1333400,0.0,0.0
2025-08-13,6.04,6.81,5.87,6.68,1449500,0.0,0.0
2025-08-12,6.15,6.31,6.01,6.04,1665200,0.0,0.0
2025-08-11,6.25,6.31,5.75,6.08,983700,0.0,0.0
2025-08-08,6.21,6.53,6.2,6.29,1125800,0.0,0.0
2025-08-07,6.49,6.54,6.09,6.19,1223800,0.0,0.0
2025-08-06,6.63,6.64,6.36,6.51,1109700,0.0,0.0
2025-08-05,6.83,6.91,6.59,6.7,708500,0.0,0.0
2025-08-04,6.85,7.04,6.54,6.82,1126900,0.0,0.0
2025-08-01,6.65,6.91,6.45,6.83,1146100,0.0,0.0
2025-07-31,7.03,7.16,6.75,6.84,1261100,0.0,0.0
