Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-10-10,21.04,21.27,17.0,17.21,2324700,0.0,0.0,0.0
2025-10-09,20.71,21.55,20.45,20.95,2386400,0.0,0.0,0.0
2025-10-08,19.12,21.5,18.67,21.48,1926500,0.0,0.0,0.0
2025-10-07,19.87,20.66,18.03,19.04,2110500,0.0,0.0,0.0
2025-10-06,18.31,19.7,18.31,18.73,2188500,0.0,0.0,0.0
2025-10-03,17.54,18.02,16.24,16.99,1700900,0.0,0.0,0.0
2025-10-02,17.33,17.65,16.46,17.4,2296400,0.0,0.0,0.0
2025-10-01,14.38,17.39,14.28,17.32,2402000,0.0,0.0,0.0
2025-09-30,13.64,14.77,13.63,14.62,1619600,0.0,0.0,0.0
2025-09-29,13.7,14.31,13.48,13.72,1141900,0.0,0.0,0.0
2025-09-26,13.3,13.48,12.57,13.42,1644100,0.0,0.0,0.0
2025-09-25,12.92,14.23,12.48,13.66,1699400,0.0,0.0,0.0
2025-09-24,14.3,14.83,13.65,13.68,1589200,0.0,0.0,0.0
2025-09-23,14.4,14.57,13.49,14.15,2009800,0.0,0.0,0.0
2025-09-22,13.21,15.06,13.1,14.1,3095400,0.0,0.0,0.0
2025-09-19,13.63,13.9,13.28,13.46,1543800,0.0,0.0,0.0
2025-09-18,13.3,13.81,12.79,13.57,2018800,0.0,0.0,0.0
2025-09-17,12.8,13.28,12.31,13.0,1924400,0.0,0.0,0.0
2025-09-16,13.36,13.54,12.78,12.99,1089000,0.0,0.0,0.0
2025-09-15,13.15,13.52,12.63,13.31,1275700,0.0,0.0,0.0
2025-09-12,14.01,14.2,12.9,13.07,2111700,0.0,0.0,0.0
2025-09-11,12.67,12.8,12.25,12.54,1705200,0.0,0.0,0.0
2025-09-10,12.67,13.42,12.19,12.52,2942200,0.0,0.0,0.0
2025-09-09,10.6,12.01,10.55,11.99,1936900,0.0,0.0,0.0
2025-09-08,10.92,11.03,10.41,10.46,1214100,0.0,0.0,0.0
2025-09-05,11.02,11.06,10.33,10.69,1140700,0.0,0.0,0.0
2025-09-04,10.66,10.9,10.38,10.86,847200,0.0,0.0,0.0
2025-09-03,11.0,11.03,10.38,10.55,961600,0.0,0.0,0.0
2025-09-02,10.47,10.94,10.33,10.94,1268100,0.0,0.0,0.0
2025-08-29,12.06,12.09,11.31,11.36,1793300,0.0,0.0,0.0
2025-08-28,13.3,13.6,12.77,12.79,1734800,0.0,0.0,0.0
2025-08-27,12.98,13.42,12.76,13.28,1035700,0.0,0.0,0.0
2025-08-26,12.9,13.07,12.63,13.06,660400,0.0,0.0,0.0
2025-08-25,12.6,13.38,12.45,12.9,1287400,0.0,0.0,0.0
2025-08-22,11.6,12.9,11.55,12.8,1432800,0.0,0.0,0.0
2025-08-21,12.11,12.3,11.67,11.96,1028400,0.0,0.0,0.0
2025-08-20,12.54,12.61,11.39,12.13,1477200,0.0,0.0,0.0
2025-08-19,14.07,14.08,12.47,12.51,1371900,0.0,0.0,0.0
2025-08-18,13.77,14.58,13.73,14.1,953100,0.0,0.0,0.0
2025-08-15,13.75,13.94,13.1,13.85,1194500,0.0,0.0,0.0
2025-08-14,13.83,14.04,13.44,13.94,1393900,0.0,0.0,0.0
2025-08-13,14.52,14.66,14.0,14.32,1194500,0.0,0.0,0.0
2025-08-12,14.07,14.64,13.56,14.55,1879600,0.0,0.0,0.0
2025-08-11,13.73,14.56,13.7,13.82,1408400,0.0,0.0,0.0
2025-08-08,14.95,15.2,13.42,13.45,1802000,0.0,0.0,0.0
2025-08-07,15.15,16.17,14.77,14.78,2314100,0.0,0.0,0.0
2025-08-06,15.37,15.99,13.31,14.93,5024800,0.0,0.0,0.0
2025-08-05,24.75,25.25,23.11,23.59,1793600,0.0,0.0,0.0
2025-08-04,24.21,25.1,23.88,24.38,687700,0.0,0.0,0.0
2025-08-01,23.36,24.18,21.78,23.03,1008100,0.0,0.0,0.0
2025-07-31,27.8,28.05,24.65,25.14,1048300,0.0,0.0,0.0
2025-07-30,25.58,27.97,25.27,26.68,1619300,0.0,0.0,0.0
2025-07-29,25.87,27.34,24.49,24.93,1412900,0.0,0.0,0.0
2025-07-28,22.71,26.18,22.5,26.16,1402200,0.0,0.0,0.0
