Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-10-10,27.84,31.38,27.84,31.17,1137600,0.0,0.0,0.0
2025-10-09,27.38,28.78,27.04,28.42,1287300,0.0,0.0,0.0
2025-10-08,25.96,28.15,25.9,26.75,1082800,0.0,0.0,0.0
2025-10-07,23.24,27.19,23.24,27.19,1494200,0.0,0.0,0.0
2025-10-06,22.65,23.82,22.43,23.13,1057800,0.0,0.0,0.0
2025-10-03,24.32,25.23,23.33,24.21,1333600,0.0,0.0,0.0
2025-10-02,24.79,25.9,24.1,24.18,1670700,0.0,0.0,0.0
2025-10-01,27.48,27.65,25.42,26.33,1331400,0.0,0.0,0.0
2025-09-30,29.58,30.33,28.92,29.29,668400,0.0,0.0,0.0
2025-09-29,31.09,31.79,28.29,28.57,1163900,0.0,0.0,0.0
2025-09-26,34.05,34.76,32.01,32.15,993000,0.0,0.0,0.0
2025-09-25,31.29,35.65,31.29,34.08,2420000,0.0,0.0,0.0
2025-09-24,28.53,29.97,27.55,29.91,993500,0.0,0.0,0.0
2025-09-23,27.65,29.18,27.32,29.13,775800,0.0,0.0,0.0
2025-09-22,27.67,28.85,26.97,27.83,1303900,0.0,0.0,0.0
2025-09-19,26.06,27.59,25.29,26.45,829700,0.0,0.0,0.0
2025-09-18,28.16,28.38,24.22,25.81,1834800,0.0,0.0,0.0
2025-09-17,28.39,30.38,27.55,29.28,1206700,0.0,0.0,0.0
2025-09-16,29.45,30.19,28.36,28.37,794900,0.0,0.0,0.0
2025-09-15,29.35,30.99,29.18,29.71,1000300,0.0,0.0,0.0
2025-09-12,29.5,29.76,28.25,29.08,712200,0.0,0.0,0.0
2025-09-11,29.95,30.72,29.49,30.07,1060900,0.0,0.0,0.0
2025-09-10,29.0,30.83,27.61,30.04,1106300,0.0,0.0,0.0
2025-09-09,29.37,30.41,29.1,29.69,823100,0.0,0.0,0.0
2025-09-08,29.76,30.78,28.94,29.42,1033600,0.0,0.0,0.0
2025-09-05,28.62,31.29,28.26,28.4,1290900,0.0,0.0,0.0
2025-09-04,29.58,31.73,29.1,29.98,1124200,0.0,0.0,0.0
2025-09-03,27.59,29.91,27.2,29.49,755000,0.0,0.0,0.0
2025-09-02,28.82,29.32,26.5,27.68,1656800,0.0,0.0,0.0
2025-08-29,28.87,29.22,28.07,28.92,1499900,0.0,0.0,0.0
2025-08-28,26.97,28.54,26.73,28.17,980900,0.0,0.0,0.0
2025-08-27,26.78,27.74,26.28,27.71,1211700,0.0,0.0,0.0
2025-08-26,27.82,28.0,26.23,26.28,1061800,0.0,0.0,0.0
2025-08-25,27.43,28.22,26.46,27.61,1416300,0.0,0.0,0.0
2025-08-22,29.61,29.85,25.3,25.51,1966000,0.0,0.0,0.0
2025-08-21,28.75,29.52,28.15,29.09,1563800,0.0,0.0,0.0
2025-08-20,28.83,31.27,27.78,28.0,2177400,0.0,0.0,0.0
2025-08-19,25.58,29.8,25.44,29.37,1847300,0.0,0.0,0.0
2025-08-18,26.02,26.3,25.05,25.58,1080300,0.0,0.0,0.0
2025-08-15,24.44,26.03,24.44,25.19,1263500,0.0,0.0,0.0
2025-08-14,23.6,25.26,23.47,24.35,1419200,0.0,0.0,0.0
2025-08-13,21.53,23.12,21.41,22.39,1153600,0.0,0.0,0.0
2025-08-12,21.22,22.39,21.16,21.92,1206200,0.0,0.0,0.0
2025-08-11,20.91,21.44,19.78,21.32,1795300,0.0,0.0,0.0
2025-08-08,21.61,22.5,20.4,21.84,1551900,0.0,0.0,0.0
2025-08-07,22.87,22.94,20.69,21.15,1934700,0.0,0.0,0.0
2025-08-06,24.62,24.79,23.33,23.44,780200,0.0,0.0,0.0
2025-08-05,23.51,24.74,23.0,24.49,1218600,0.0,0.0,0.0
2025-08-04,25.2,26.17,22.82,22.92,1683900,0.0,0.0,0.0
2025-08-01,23.48,26.2,23.25,26.1,2963300,0.0,0.0,0.0
2025-07-31,22.58,22.8,21.21,22.1,1163700,0.0,0.0,0.0
2025-07-30,22.85,23.32,21.97,23.03,804700,0.0,0.0,0.0
2025-07-29,21.79,23.55,21.78,23.09,623900,0.0,0.0,0.0
2025-07-28,20.75,22.13,20.72,22.11,721100,0.0,0.0,0.0
