Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,2.83,2.84,2.51,2.52,5436000,0.0,0.0
2025-10-09,2.69,2.89,2.69,2.82,7397900,0.0,0.0
2025-10-08,2.66,2.68,2.62,2.63,4148200,0.0,0.0
2025-10-07,2.55,2.73,2.55,2.65,4435200,0.0,0.0
2025-10-06,2.59,2.59,2.52,2.56,10117000,0.0,0.0
2025-10-03,2.52,2.66,2.52,2.58,2720100,0.0,0.0
2025-10-02,2.54,2.62,2.48,2.53,2855400,0.0,0.0
2025-10-01,2.64,2.66,2.52,2.54,3538500,0.0,0.0
2025-09-30,2.72,2.73,2.62,2.68,3384000,0.0,0.0
2025-09-29,2.53,2.79,2.49,2.74,10025000,0.0,0.0
2025-09-26,2.46,2.47,2.32,2.33,2554000,0.0,0.0
2025-09-25,2.5,2.54,2.43,2.46,1619500,0.0,0.0
2025-09-24,2.48,2.58,2.47,2.57,1869100,0.0,0.0
2025-09-23,2.45,2.59,2.44,2.5,8512100,0.0,0.0
2025-09-22,2.47,2.5,2.45,2.47,1706400,0.0,0.0
2025-09-19,2.56,2.6,2.41,2.47,2971900,0.0,0.0
2025-09-18,2.51,2.59,2.51,2.56,2285600,0.0,0.0
2025-09-17,2.49,2.58,2.49,2.5,3204800,0.0,0.0
2025-09-16,2.51,2.53,2.44,2.5,1647900,0.0,0.0
2025-09-15,2.37,2.54,2.36,2.5,2992000,0.0,0.0
2025-09-12,2.41,2.47,2.37,2.41,4089800,0.0,0.0
2025-09-11,2.34,2.4,2.33,2.39,1956500,0.0,0.0
2025-09-10,2.42,2.42,2.35,2.36,1804500,0.0,0.0
2025-09-09,2.37,2.43,2.34,2.42,2408300,0.0,0.0
2025-09-08,2.48,2.5,2.38,2.39,2064800,0.0,0.0
2025-09-05,2.42,2.52,2.41,2.48,2690500,0.0,0.0
2025-09-04,2.48,2.52,2.37,2.44,4169900,0.0,0.0
2025-09-03,2.56,2.62,2.48,2.52,3933700,0.0,0.0
2025-09-02,2.56,2.58,2.45,2.47,5407200,0.0,0.0
2025-08-29,2.7,2.71,2.59,2.68,5398500,0.0,0.0
2025-08-28,2.53,2.74,2.52,2.69,7019700,0.0,0.0
2025-08-27,2.47,2.57,2.41,2.53,4574000,0.0,0.0
2025-08-26,2.47,2.48,2.38,2.47,4762400,0.0,0.0
2025-08-25,2.23,2.42,2.22,2.4,5046700,0.0,0.0
2025-08-22,2.24,2.3,2.22,2.25,2511700,0.0,0.0
2025-08-21,2.21,2.28,2.18,2.24,2386300,0.0,0.0
2025-08-20,2.09,2.24,2.07,2.21,4127800,0.0,0.0
2025-08-19,2.16,2.18,2.09,2.1,4460000,0.0,0.0
2025-08-18,2.04,2.17,2.03,2.16,4228400,0.0,0.0
2025-08-15,2.13,2.15,2.01,2.02,5212800,0.0,0.0
2025-08-14,2.08,2.18,2.06,2.11,5016300,0.0,0.0
2025-08-13,2.0,2.16,2.0,2.14,5500600,0.0,0.0
2025-08-12,2.05,2.14,1.94,2.02,9088700,0.0,0.0
2025-08-11,1.8,2.03,1.79,2.01,15334000,0.0,0.0
2025-08-08,1.68,1.71,1.64,1.68,3117500,0.0,0.0
2025-08-07,1.7,1.73,1.64,1.67,2020000,0.0,0.0
2025-08-06,1.65,1.73,1.65,1.69,2482600,0.0,0.0
2025-08-05,1.66,1.68,1.62,1.66,2491800,0.0,0.0
2025-08-04,1.65,1.69,1.61,1.64,2407500,0.0,0.0
2025-08-01,1.7,1.71,1.62,1.65,5644000,0.0,0.0
2025-07-31,1.79,1.84,1.67,1.72,14060800,0.0,0.0
2025-07-30,1.45,1.48,1.43,1.44,1463400,0.0,0.0
2025-07-29,1.49,1.51,1.45,1.46,1608000,0.0,0.0
2025-07-28,1.52,1.53,1.49,1.5,1308200,0.0,0.0
2025-07-25,1.54,1.55,1.5,1.51,1412700,0.0,0.0
2025-07-24,1.61,1.61,1.53,1.54,1171700,0.0,0.0
2025-07-23,1.66,1.67,1.59,1.6,1597600,0.0,0.0
2025-07-22,1.58,1.67,1.58,1.64,2719100,0.0,0.0
2025-07-21,1.54,1.6,1.53,1.58,2079500,0.0,0.0
2025-07-18,1.66,1.67,1.53,1.54,2432400,0.0,0.0
2025-07-17,1.49,1.57,1.48,1.56,1922400,0.0,0.0
2025-07-16,1.51,1.56,1.48,1.49,1992100,0.0,0.0
2025-07-15,1.61,1.62,1.5,1.51,3058200,0.0,0.0
2025-07-14,1.47,1.64,1.47,1.58,8445800,0.0,0.0
2025-07-11,1.41,1.42,1.36,1.39,1731400,0.0,0.0
2025-07-10,1.37,1.45,1.37,1.42,2131000,0.0,0.0
2025-07-09,1.38,1.45,1.38,1.42,2233100,0.0,0.0
2025-07-08,1.24,1.39,1.24,1.38,4436600,0.0,0.0
2025-07-07,1.24,1.27,1.23,1.24,1269700,0.0,0.0
2025-07-03,1.25,1.29,1.25,1.27,1102800,0.0,0.0
2025-07-02,1.23,1.25,1.22,1.25,1407900,0.0,0.0
2025-07-01,1.2,1.25,1.15,1.22,3313300,0.0,0.0
2025-06-30,1.23,1.24,1.2,1.21,1290900,0.0,0.0
2025-06-27,1.24,1.25,1.22,1.23,982600,0.0,0.0
2025-06-26,1.22,1.25,1.22,1.25,1033000,0.0,0.0
2025-06-25,1.23,1.25,1.22,1.22,1700000,0.0,0.0
2025-06-24,1.25,1.27,1.23,1.24,1275000,0.0,0.0
2025-06-23,1.24,1.26,1.22,1.24,1547800,0.0,0.0
2025-06-20,1.27,1.28,1.25,1.25,1780600,0.0,0.0
2025-06-18,1.28,1.3,1.26,1.27,1324300,0.0,0.0
2025-06-17,1.31,1.33,1.27,1.28,1238600,0.0,0.0
2025-06-16,1.29,1.34,1.29,1.33,1131800,0.0,0.0
2025-06-13,1.34,1.35,1.28,1.29,2093400,0.0,0.0
2025-06-12,1.32,1.36,1.31,1.35,1231600,0.0,0.0
2025-06-11,1.32,1.37,1.31,1.33,1590300,0.0,0.0
2025-06-10,1.32,1.34,1.3,1.32,1311300,0.0,0.0
2025-06-09,1.31,1.35,1.31,1.33,736400,0.0,0.0
2025-06-06,1.28,1.34,1.27,1.32,1985800,0.0,0.0
2025-06-05,1.29,1.31,1.27,1.29,1065900,0.0,0.0
2025-06-04,1.27,1.3,1.27,1.29,898200,0.0,0.0
2025-06-03,1.26,1.3,1.26,1.28,895700,0.0,0.0
2025-06-02,1.27,1.3,1.24,1.27,1360400,0.0,0.0
2025-05-30,1.29,1.3,1.25,1.27,1855300,0.0,0.0
2025-05-29,1.3,1.31,1.28,1.3,1049800,0.0,0.0
2025-05-28,1.29,1.31,1.28,1.3,667000,0.0,0.0
2025-05-27,1.29,1.32,1.28,1.29,1042900,0.0,0.0
2025-05-23,1.29,1.3,1.27,1.29,1278100,0.0,0.0
2025-05-22,1.3,1.33,1.28,1.31,995500,0.0,0.0
2025-05-21,1.31,1.37,1.3,1.31,1596400,0.0,0.0
2025-05-20,1.29,1.34,1.29,1.33,1694000,0.0,0.0
2025-05-19,1.33,1.34,1.28,1.3,1283300,0.0,0.0
2025-05-16,1.28,1.35,1.27,1.35,2322100,0.0,0.0
2025-05-15,1.27,1.29,1.24,1.28,1658200,0.0,0.0
2025-05-14,1.31,1.33,1.27,1.28,1781500,0.0,0.0
2025-05-13,1.32,1.34,1.3,1.32,1644900,0.0,0.0
2025-05-12,1.33,1.34,1.29,1.32,2218500,0.0,0.0
2025-05-09,1.3,1.35,1.28,1.29,1201700,0.0,0.0
2025-05-08,1.3,1.33,1.29,1.31,1706100,0.0,0.0
2025-05-07,1.3,1.33,1.29,1.3,1367900,0.0,0.0
2025-05-06,1.34,1.35,1.3,1.31,1953200,0.0,0.0
2025-05-05,1.37,1.38,1.33,1.35,1838500,0.0,0.0
2025-05-02,1.41,1.42,1.35,1.39,2525500,0.0,0.0
2025-05-01,1.45,1.45,1.35,1.41,4074000,0.0,0.0
2025-04-30,1.47,1.53,1.44,1.49,2152700,0.0,0.0
2025-04-29,1.47,1.5,1.44,1.48,911400,0.0,0.0
2025-04-28,1.5,1.53,1.43,1.47,1094100,0.0,0.0
2025-04-25,1.49,1.55,1.48,1.49,1853100,0.0,0.0
2025-04-24,1.42,1.5,1.41,1.48,1738200,0.0,0.0
2025-04-23,1.41,1.44,1.39,1.42,1028100,0.0,0.0
2025-04-22,1.36,1.42,1.36,1.39,1024200,0.0,0.0
2025-04-21,1.39,1.4,1.34,1.36,1281200,0.0,0.0
2025-04-17,1.36,1.4,1.34,1.4,1050200,0.0,0.0
2025-04-16,1.32,1.39,1.31,1.35,1165900,0.0,0.0
