Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,20.2,20.74,18.34,18.39,4295300,0.0,0.0
2025-10-09,19.93,20.15,19.26,19.65,2046500,0.0,0.0
2025-10-08,19.39,19.98,19.14,19.93,2444800,0.0,0.0
2025-10-07,18.7,19.43,18.15,19.29,2871900,0.0,0.0
2025-10-06,19.11,19.39,18.26,18.57,3253100,0.0,0.0
2025-10-03,19.89,20.39,19.09,19.09,5689200,0.0,0.0
2025-10-02,19.76,20.25,18.61,19.56,3292400,0.0,0.0
2025-10-01,17.29,20.32,17.28,20.06,7162000,0.0,0.0
2025-09-30,17.94,18.53,17.25,17.46,6897100,0.0,0.0
2025-09-29,19.9,20.1,18.0,18.53,8131900,0.0,0.0
2025-09-26,20.2,20.65,19.21,19.75,6001700,0.0,0.0
2025-09-25,21.85,22.13,20.11,20.15,6502700,0.0,0.0
2025-09-24,24.57,24.64,20.1,21.76,7693700,0.0,0.0
2025-09-23,23.94,24.84,23.71,24.49,3144900,0.0,0.0
2025-09-22,23.5,24.02,23.11,23.58,2638600,0.0,0.0
2025-09-19,23.99,24.19,23.09,23.56,4585100,0.0,0.0
2025-09-18,24.15,24.35,22.77,24.06,3618900,0.0,0.0
2025-09-17,22.5,24.96,22.42,24.49,4467000,0.0,0.0
2025-09-16,22.61,23.0,21.93,22.43,3426600,0.0,0.0
2025-09-15,23.22,23.49,21.75,22.01,5664900,0.0,0.0
2025-09-12,23.06,24.48,21.85,23.08,4530400,0.0,0.0
2025-09-11,24.01,24.41,22.72,23.15,4978200,0.0,0.0
2025-09-10,22.22,24.65,20.86,24.59,10883600,0.0,0.0
2025-09-09,20.11,21.16,18.35,20.06,12859000,0.0,0.0
2025-09-08,22.71,23.05,21.81,22.08,5401700,0.0,0.0
2025-09-05,22.96,23.21,21.65,22.8,3610100,0.0,0.0
2025-09-04,22.64,23.05,22.02,22.98,6371200,0.0,0.0
2025-09-03,23.15,23.47,22.05,22.76,4985100,0.0,0.0
2025-09-02,26.17,26.36,22.8,23.08,5290000,0.0,0.0
2025-08-29,27.91,28.07,26.89,26.98,1609600,0.0,0.0
2025-08-28,28.5,28.74,28.0,28.04,1268500,0.0,0.0
2025-08-27,28.24,28.68,27.38,28.36,1843200,0.0,0.0
2025-08-26,28.38,28.69,27.99,28.4,1456800,0.0,0.0
2025-08-25,28.5,28.88,28.01,28.04,885800,0.0,0.0
2025-08-22,27.3,29.0,27.28,28.79,1909000,0.0,0.0
2025-08-21,27.11,27.4,26.53,27.2,1757700,0.0,0.0
2025-08-20,27.61,27.63,26.31,27.09,1927800,0.0,0.0
2025-08-19,28.43,28.57,27.51,27.72,1158300,0.0,0.0
2025-08-18,27.88,28.87,27.55,28.8,1472900,0.0,0.0
2025-08-15,29.7,29.78,27.35,27.55,2186300,0.0,0.0
2025-08-14,28.49,29.81,28.18,29.78,1321800,0.0,0.0
2025-08-13,28.4,29.1,27.76,28.87,1419400,0.0,0.0
2025-08-12,29.0,29.37,27.06,28.48,2666000,0.0,0.0
2025-08-11,28.51,29.86,28.51,29.09,1654500,0.0,0.0
2025-08-08,29.44,29.8,28.46,28.83,3075400,0.0,0.0
2025-08-07,30.6,30.6,29.02,29.03,1008200,0.0,0.0
2025-08-06,30.46,30.86,29.69,30.12,1154600,0.0,0.0
2025-08-05,30.09,31.74,29.07,30.42,1856900,0.0,0.0
2025-08-04,29.7,30.38,28.82,29.88,2281600,0.0,0.0
2025-08-01,29.79,29.82,28.15,29.62,2508300,0.0,0.0
2025-07-31,29.58,31.0,29.51,30.67,1633000,0.0,0.0
2025-07-30,28.95,30.33,28.46,30.17,2034600,0.0,0.0
2025-07-29,30.0,30.42,28.72,29.05,2155700,0.0,0.0
2025-07-28,28.78,29.98,28.53,29.84,1588000,0.0,0.0
2025-07-25,28.56,28.66,27.86,28.64,1378800,0.0,0.0
2025-07-24,28.11,29.05,27.77,28.66,1527800,0.0,0.0
2025-07-23,29.75,29.8,26.49,28.11,4713500,0.0,0.0
2025-07-22,29.5,30.33,28.75,30.18,2114300,0.0,0.0
2025-07-21,30.99,31.48,29.07,29.75,6743100,0.0,0.0
2025-07-18,30.5,32.18,28.03,31.69,11069200,0.0,0.0
2025-07-17,22.29,29.9,19.58,28.34,9274600,0.0,0.0
2025-07-16,22.15,22.32,21.5,22.07,1926800,0.0,0.0
2025-07-15,22.6,22.99,22.22,22.27,1372600,0.0,0.0
2025-07-14,22.1,23.09,21.99,22.75,1661400,0.0,0.0
2025-07-11,21.97,22.67,21.45,22.43,1686600,0.0,0.0
2025-07-10,21.82,22.27,21.44,21.8,1537300,0.0,0.0
2025-07-09,23.45,23.46,21.29,22.01,3555800,0.0,0.0
2025-07-08,22.69,23.42,22.47,23.34,2190200,0.0,0.0
2025-07-07,23.01,23.21,22.38,22.74,4753000,0.0,0.0
2025-07-03,22.93,23.38,22.84,23.25,692900,0.0,0.0
2025-07-02,21.5,23.35,21.38,22.98,2822100,0.0,0.0
2025-07-01,21.5,22.13,21.03,21.5,3740500,0.0,0.0
2025-06-30,22.98,22.98,21.92,21.98,3718400,0.0,0.0
2025-06-27,22.1,22.94,21.65,22.92,6972300,0.0,0.0
2025-06-26,22.0,22.58,21.94,22.29,1413100,0.0,0.0
2025-06-25,21.69,22.06,21.45,21.86,1724700,0.0,0.0
2025-06-24,21.0,22.16,20.59,21.9,2500500,0.0,0.0
2025-06-23,23.3,23.41,20.95,21.19,2401400,0.0,0.0
2025-06-20,22.51,22.89,22.0,22.15,1857200,0.0,0.0
2025-06-18,22.71,23.73,22.11,22.5,1577800,0.0,0.0
2025-06-17,23.0,23.35,22.5,22.64,1380600,0.0,0.0
2025-06-16,22.74,23.49,22.31,23.03,1287200,0.0,0.0
2025-06-13,23.26,23.7,22.58,22.78,1504400,0.0,0.0
2025-06-12,22.73,23.0,22.42,22.96,1360200,0.0,0.0
2025-06-11,23.02,23.44,22.39,22.97,2003200,0.0,0.0
2025-06-10,24.48,24.66,22.9,22.92,2617900,0.0,0.0
2025-06-09,24.04,24.81,23.63,24.29,1750800,0.0,0.0
2025-06-06,23.4,24.95,23.4,24.5,2103400,0.0,0.0
2025-06-05,22.82,23.44,22.7,23.21,2373200,0.0,0.0
2025-06-04,24.23,24.31,22.29,23.1,5112300,0.0,0.0
2025-06-03,29.36,29.36,23.51,24.04,7376000,0.0,0.0
2025-06-02,29.45,29.83,28.43,29.18,1630100,0.0,0.0
2025-05-30,27.24,29.21,27.0,28.78,2989000,0.0,0.0
2025-05-29,27.9,28.0,26.85,27.51,3074700,0.0,0.0
2025-05-28,32.65,32.84,26.66,27.89,8792100,0.0,0.0
2025-05-27,32.5,33.29,32.4,32.93,2060700,0.0,0.0
2025-05-23,31.88,32.76,31.58,32.1,2926400,0.0,0.0
2025-05-22,30.5,32.63,29.76,32.29,6811500,0.0,0.0
2025-05-21,32.76,33.3,31.88,32.35,1730300,0.0,0.0
2025-05-20,33.93,34.59,32.66,32.76,4046000,0.0,0.0
2025-05-19,32.84,35.0,31.32,33.02,8778300,0.0,0.0
2025-05-16,28.23,29.0,27.55,28.86,1982800,0.0,0.0
2025-05-15,27.64,28.13,27.2,28.06,2078900,0.0,0.0
2025-05-14,28.0,28.98,27.83,28.51,2704900,0.0,0.0
2025-05-13,26.77,28.79,26.62,28.06,3095900,0.0,0.0
2025-05-12,27.05,27.39,25.46,26.42,3795500,0.0,0.0
