Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,28.55,29.8,26.13,26.19,105105900,0.0,0.0
2025-10-09,28.04,28.69,27.75,28.45,66863900,0.0,0.0
2025-10-08,28.49,28.71,27.65,28.02,84643200,0.0,0.0
2025-10-07,27.1,28.84,26.68,28.14,121607800,0.0,0.0
2025-10-06,25.77,27.14,25.31,26.36,97325600,0.0,0.0
2025-10-03,26.1,26.18,24.84,25.24,78751700,0.0,0.0
2025-10-02,26.33,26.35,25.45,25.97,65256700,0.0,0.0
2025-10-01,26.73,27.33,25.64,25.76,81148100,0.0,0.0
2025-09-30,27.47,27.61,25.7,26.42,94402900,0.0,0.0
2025-09-29,28.36,28.63,27.11,27.55,60395300,0.0,0.0
2025-09-26,28.37,28.48,27.56,27.98,36585300,0.0,0.0
2025-09-25,27.76,28.67,27.06,28.12,49863500,0.0,0.0
2025-09-24,29.5,29.67,28.35,28.44,46087500,0.0,0.0
2025-09-23,29.81,30.14,28.85,29.09,47417500,0.0,0.0
2025-09-22,29.3,30.3,28.97,29.81,64448300,0.0,0.0
2025-09-19,28.26,29.63,28.24,29.51,74760900,0.0,0.0
2025-09-18,27.59,28.58,27.08,28.11,71508300,0.0,0.0
2025-09-17,27.25,27.46,26.13,27.14,73319900,0.0,0.0
2025-09-16,27.79,27.88,26.63,27.42,67268500,0.0,0.0
2025-09-15,27.25,27.77,26.93,27.67,66929400,0.0,0.0
2025-09-12,26.0,26.69,25.77,26.55,61305200,0.0,0.0
2025-09-11,25.76,26.6,25.62,25.96,54719200,0.0,0.0
2025-09-10,26.29,26.85,25.3,25.52,63942200,0.0,0.0
2025-09-09,26.02,26.19,25.55,25.97,49113000,0.0,0.0
2025-09-08,25.81,26.1,25.05,25.96,55972700,0.0,0.0
2025-09-05,25.77,25.97,24.18,25.6,71312300,0.0,0.0
2025-09-04,24.33,25.54,24.24,25.38,51599700,0.0,0.0
2025-09-03,25.06,25.11,24.39,24.49,48252800,0.0,0.0
2025-09-02,24.5,25.28,23.7,24.91,76177300,0.0,0.0
2025-08-29,26.16,26.42,25.21,25.54,54432500,0.0,0.0
2025-08-28,25.02,26.33,25.0,26.04,68314800,0.0,0.0
2025-08-27,25.61,25.81,24.88,24.96,54456400,0.0,0.0
2025-08-26,26.2,26.6,25.5,25.62,125930100,0.0,0.0
2025-08-25,25.18,26.38,24.81,26.15,90233000,0.0,0.0
2025-08-22,23.16,25.25,22.9,25.02,101606500,0.0,0.0
2025-08-21,22.44,23.37,22.31,23.33,53440700,0.0,0.0
2025-08-20,22.42,22.72,21.21,22.52,87818300,0.0,0.0
2025-08-19,24.61,24.91,22.69,22.75,82575000,0.0,0.0
2025-08-18,23.69,24.23,23.41,24.23,45472900,0.0,0.0
2025-08-15,23.29,23.86,22.61,23.77,44765000,0.0,0.0
