Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,23.01,23.08,21.86,22.44,3220000,0.0,0.0
2025-10-09,23.6,23.84,22.38,22.85,4226500,0.0,0.0
2025-10-08,23.8,24.16,23.29,23.51,3926500,0.0,0.0
2025-10-07,23.43,23.49,23.03,23.25,3112800,0.0,0.0
2025-10-06,23.65,24.22,23.33,23.41,2911600,0.0,0.0
2025-10-03,23.76,23.92,23.05,23.35,2579800,0.0,0.0
2025-10-02,24.08,24.18,22.34,23.5,4249700,0.0,0.0
2025-10-01,24.61,24.77,23.56,23.89,3978800,0.0,0.0
2025-09-30,24.21,25.09,24.06,24.42,3085400,0.0,0.0
2025-09-29,24.79,24.91,24.41,24.58,3757200,0.0,0.0
2025-09-26,23.92,24.23,23.76,24.13,3795800,0.0,0.0
2025-09-25,22.94,23.76,22.72,23.74,4158800,0.0,0.0
2025-09-24,23.18,23.4,22.54,22.82,2828300,0.0,0.0
2025-09-23,23.45,23.71,23.0,23.1,3438200,0.0,0.0
2025-09-22,23.35,23.5,22.68,23.2,4445600,0.0,0.0
2025-09-19,21.72,22.94,21.64,22.84,10088000,0.0,0.0
2025-09-18,21.54,21.8,21.06,21.8,3806100,0.0,0.0
2025-09-17,20.99,22.4,20.86,21.78,3660600,0.0,0.0
2025-09-16,22.83,22.83,21.48,21.54,3675900,0.0,0.0
2025-09-15,22.4,23.03,22.28,22.64,3309000,0.0,0.0
2025-09-12,22.87,23.07,22.01,22.39,3439200,0.0,0.0
2025-09-11,21.97,22.77,21.88,22.76,2503000,0.0,0.0
2025-09-10,21.34,22.02,21.31,21.97,3031000,0.0,0.0
2025-09-09,21.66,21.66,20.82,21.16,5133400,0.0,0.0
2025-09-08,21.61,21.69,21.08,21.39,3693500,0.0,0.0
2025-09-05,20.81,21.19,20.51,21.1,3359000,0.0,0.0
2025-09-04,20.03,20.54,19.84,20.41,3446700,0.0,0.0
2025-09-03,20.12,20.47,19.76,20.36,4368300,0.0,0.0
2025-09-02,19.72,20.0,19.0,19.95,5906400,0.0,0.0
2025-08-29,18.18,19.33,18.18,19.31,4236700,0.0,0.0
2025-08-28,18.54,18.57,18.12,18.3,3122500,0.0,0.0
2025-08-27,18.2,18.48,18.03,18.44,2272900,0.0,0.0
2025-08-26,17.61,18.45,17.58,18.32,4413100,0.0,0.0
2025-08-25,17.12,17.63,17.12,17.52,3649900,0.0,0.0
2025-08-22,16.81,17.17,16.66,17.11,5136600,0.0,0.0
2025-08-21,16.37,16.95,16.28,16.92,2139800,0.0,0.0
2025-08-20,16.22,16.59,16.22,16.45,2380100,0.0,0.0
2025-08-19,16.66,16.66,15.99,16.09,3001400,0.0,0.0
2025-08-18,16.91,16.91,16.46,16.78,2185400,0.0,0.0
2025-08-15,16.53,16.81,16.33,16.78,4367100,0.0,0.0
2025-08-14,16.27,16.57,16.05,16.08,3252800,0.0,0.0
2025-08-13,16.3,16.45,16.11,16.35,4119600,0.0,0.0
2025-08-12,15.82,16.18,15.57,16.13,4476100,0.0,0.0
2025-08-11,14.95,15.58,14.67,15.56,3426200,0.0,0.0
2025-08-08,15.02,15.24,14.76,15.19,3476800,0.0,0.0
2025-08-07,15.43,15.49,14.62,14.84,4385300,0.0,0.0
2025-08-06,13.69,15.3,13.67,15.24,11010500,0.0,0.0
2025-08-05,12.53,13.0,12.43,12.99,3753500,0.0,0.0
2025-08-04,12.37,12.58,12.22,12.57,1653000,0.0,0.0
2025-08-01,12.17,12.3,11.87,12.07,1937900,0.0,0.0
2025-07-31,12.18,12.22,11.87,11.95,2072100,0.0,0.0
2025-07-30,12.1,12.36,12.0,12.06,2060900,0.0,0.0
2025-07-29,12.33,12.35,12.16,12.27,1750700,0.0,0.0
2025-07-28,12.38,12.38,12.08,12.21,1856400,0.0,0.0
2025-07-25,12.43,12.63,12.31,12.48,1458900,0.0,0.0
2025-07-24,12.6,12.72,12.35,12.56,1609800,0.0,0.0
2025-07-23,12.76,13.02,12.65,12.74,1595100,0.0,0.0
