Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,23.2,26.1,20.68,20.83,786500,0.0,0.0
2025-10-09,23.47,24.63,22.3,22.98,240400,0.0,0.0
2025-10-08,23.8,24.96,22.75,23.4,406000,0.0,0.0
2025-10-07,21.5,23.5,21.25,23.01,315400,0.0,0.0
2025-10-06,23.0,23.0,21.09,21.69,309800,0.0,0.0
2025-10-03,21.84,23.75,21.51,22.35,435500,0.0,0.0
2025-10-02,20.44,21.8,19.7,21.59,394700,0.0,0.0
2025-10-01,17.5,20.46,17.4,20.21,444600,0.0,0.0
2025-09-30,16.55,17.7,16.35,17.52,257500,0.0,0.0
2025-09-29,18.0,18.34,16.93,17.16,335700,0.0,0.0
2025-09-26,19.5,19.5,17.77,17.86,259900,0.0,0.0
2025-09-25,21.99,21.99,19.1,19.41,563900,0.0,0.0
2025-09-24,21.0,23.0,20.6,22.22,870600,0.0,0.0
2025-09-23,20.91,21.2,19.6,20.01,437600,0.0,0.0
2025-09-22,19.0,21.13,18.45,20.08,863700,0.0,0.0
2025-09-19,17.13,18.38,16.89,18.1,303100,0.0,0.0
2025-09-18,18.11,18.11,16.92,17.13,286700,0.0,0.0
2025-09-17,16.84,18.48,16.57,17.6,527100,0.0,0.0
2025-09-16,15.65,16.67,15.07,16.54,345700,0.0,0.0
2025-09-15,14.98,15.35,14.6,15.19,186300,0.0,0.0
2025-09-12,14.73,14.85,14.13,14.8,110800,0.0,0.0
2025-09-11,13.18,14.88,13.18,14.6,226200,0.0,0.0
2025-09-10,14.23,14.29,13.14,13.18,169100,0.0,0.0
2025-09-09,13.64,14.0,13.15,13.86,195700,0.0,0.0
2025-09-08,13.7,13.95,13.39,13.5,153800,0.0,0.0
2025-09-05,14.28,14.3,13.5,13.98,82500,0.0,0.0
2025-09-04,14.64,14.64,13.47,14.23,106600,0.0,0.0
2025-09-03,14.44,14.91,14.17,14.49,181200,0.0,0.0
2025-09-02,14.77,15.0,14.31,14.84,181200,0.0,0.0
2025-08-29,15.72,16.03,14.6,15.13,167300,0.0,0.0
2025-08-28,16.5,16.85,15.7,15.71,117800,0.0,0.0
2025-08-27,16.53,17.0,16.17,16.25,80000,0.0,0.0
2025-08-26,16.51,17.09,15.88,16.78,169000,0.0,0.0
2025-08-25,16.72,17.2,16.17,16.56,159300,0.0,0.0
2025-08-22,15.2,16.89,14.56,16.74,346900,0.0,0.0
2025-08-21,16.33,16.44,15.25,15.29,223300,0.0,0.0
2025-08-20,14.18,16.47,13.62,16.47,664400,0.0,0.0
2025-08-19,14.32,15.14,13.84,14.54,257900,0.0,0.0
2025-08-18,14.6,14.68,13.35,14.4,336400,0.0,0.0
2025-08-15,14.68,15.32,14.26,14.78,237100,0.0,0.0
2025-08-14,14.15,14.78,13.64,14.7,255500,0.0,0.0
2025-08-13,14.19,15.35,13.64,15.24,296200,0.0,0.0
2025-08-12,13.72,14.64,13.25,14.18,266000,0.0,0.0
2025-08-11,12.89,15.31,12.8,13.93,628800,0.0,0.0
2025-08-08,13.11,13.5,11.9,12.72,529200,0.0,0.0
2025-08-07,11.77,12.8,11.77,12.45,424300,0.0,0.0
2025-08-06,11.87,11.99,11.14,11.65,325800,0.0,0.0
2025-08-05,13.35,13.63,11.88,11.91,386200,0.0,0.0
2025-08-04,13.28,14.02,12.67,13.48,422800,0.0,0.0
2025-08-01,12.5,12.84,12.12,12.23,313200,0.0,0.0
2025-07-31,14.01,14.4,12.81,13.02,469000,0.0,0.0
2025-07-30,15.37,15.43,13.93,14.24,473300,0.0,0.0
2025-07-29,17.85,18.43,14.95,15.17,1275300,0.0,0.0
2025-07-28,15.9,19.48,15.69,18.91,2353300,0.0,0.0
2025-07-25,14.2,15.47,13.43,14.99,585900,0.0,0.0
2025-07-24,14.85,14.88,13.89,14.44,371400,0.0,0.0
2025-07-23,15.56,16.3,14.41,14.84,706700,0.0,0.0
2025-07-22,16.29,18.59,14.8,15.51,1506800,0.0,0.0
2025-07-21,14.31,18.49,14.23,16.64,3863400,0.0,0.0
2025-07-18,9.42,14.2,9.42,13.5,3807600,0.0,0.0
2025-07-17,8.73,9.45,8.7,9.27,229700,0.0,0.0
2025-07-16,8.72,9.15,8.63,8.63,150000,0.0,0.0
2025-07-15,8.62,9.13,8.45,8.68,221700,0.0,0.0
2025-07-14,8.43,8.69,8.28,8.47,121800,0.0,0.0
2025-07-11,9.3,9.38,8.38,8.38,293400,0.0,0.0
2025-07-10,8.58,9.6,8.58,9.32,334000,0.0,0.0
2025-07-09,9.01,9.2,8.52,8.67,194900,0.0,0.0
2025-07-08,8.89,9.57,8.37,9.04,516300,0.0,0.0
