Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,17.9,18.1,17.03,17.24,4717500,0.0,0.0
2025-10-09,18.1,18.2,17.76,17.9,3479600,0.0,0.0
2025-10-08,17.85,18.31,17.74,18.16,3189100,0.0,0.0
2025-10-07,17.99,18.06,17.45,17.7,6390200,0.0,0.0
2025-10-06,18.0,18.18,17.88,17.88,3393500,0.0,0.0
2025-10-03,18.16,18.28,17.78,17.97,3066800,0.0,0.0
2025-10-02,18.29,18.44,17.86,18.2,5850900,0.0,0.0
2025-10-01,18.8,19.08,17.96,18.19,7286900,0.0,0.0
2025-09-30,19.48,19.95,18.86,18.91,7271300,0.0,0.0
2025-09-29,19.21,19.47,19.12,19.46,4639400,0.0,0.0
2025-09-26,18.72,19.02,18.54,18.72,5684200,0.0,0.0
2025-09-25,18.55,18.93,18.45,18.57,3870700,0.0,0.0
2025-09-24,19.1,19.23,18.43,18.77,4554100,0.0,0.0
2025-09-23,19.2,19.52,19.01,19.15,5433100,0.0,0.0
2025-09-22,19.41,19.43,18.98,19.18,6557000,0.0,0.0
2025-09-19,18.96,19.62,18.92,19.4,6755300,0.0,0.0
2025-09-18,18.88,19.23,18.77,19.18,8270100,0.0,0.0
2025-09-17,18.95,19.39,18.75,19.02,4744800,0.0,0.0
2025-09-16,18.87,18.99,18.58,18.83,6294200,0.0,0.0
2025-09-15,18.45,18.77,18.36,18.65,5652000,0.0,0.0
2025-09-12,18.3,18.4,18.05,18.29,4049000,0.0,0.0
2025-09-11,17.68,18.27,17.67,18.12,4036700,0.0,0.0
2025-09-10,17.85,17.96,17.59,17.62,4000700,0.0,0.0
2025-09-09,17.32,18.15,17.28,17.85,8466500,0.0,0.0
2025-09-08,17.47,17.49,16.85,17.26,4978500,0.0,0.0
2025-09-05,16.77,17.44,16.77,17.3,5292500,0.0,0.0
2025-09-04,16.32,16.61,15.96,16.51,3170900,0.0,0.0
2025-09-03,16.19,16.52,16.16,16.38,2694900,0.0,0.0
2025-09-02,16.11,16.49,16.02,16.28,3914500,0.0,0.0
2025-08-29,16.77,16.82,16.39,16.47,3497300,0.0,0.0
2025-08-28,16.0,16.77,15.97,16.6,6581600,0.0,0.0
