Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,436.54,443.13,411.45,413.49,110712100,0.0,0.0
2025-10-09,431.81,436.35,426.18,435.54,69339900,0.0,0.0
2025-10-08,437.57,441.33,425.23,438.69,71192100,0.0,0.0
2025-10-07,447.82,452.68,432.45,433.09,102296100,0.0,0.0
2025-10-06,440.75,453.55,436.69,453.25,85324900,0.0,0.0
2025-10-03,443.29,446.77,416.58,429.83,133188200,0.0,0.0
2025-10-02,470.54,470.75,435.57,436.0,137009000,0.0,0.0
2025-10-01,443.8,462.29,440.75,459.46,98122300,0.0,0.0
2025-09-30,441.52,445.0,433.12,444.72,74358000,0.0,0.0
2025-09-29,444.35,450.98,439.5,443.21,79491500,0.0,0.0
2025-09-26,428.3,440.47,421.02,440.4,101628200,0.0,0.0
2025-09-25,435.24,435.35,419.08,423.39,96746400,0.0,0.0
2025-09-24,429.83,444.21,429.03,442.79,93133600,0.0,0.0
2025-09-23,439.88,440.97,423.72,425.85,83422700,0.0,0.0
2025-09-22,431.11,444.98,429.13,434.21,97108800,0.0,0.0
2025-09-19,421.82,429.47,421.72,426.07,93131000,0.0,0.0
2025-09-18,428.87,432.22,416.56,416.85,90454500,0.0,0.0
2025-09-17,415.75,428.31,409.67,425.86,106133500,0.0,0.0
2025-09-16,414.5,423.25,411.43,421.62,104285700,0.0,0.0
2025-09-15,423.13,425.7,402.43,410.04,163823700,0.0,0.0
2025-09-12,370.94,396.69,370.24,395.94,168156400,0.0,0.0
2025-09-11,350.17,368.99,347.6,368.81,103756000,0.0,0.0
2025-09-10,350.55,356.33,346.07,347.79,72121700,0.0,0.0
2025-09-09,348.44,350.77,343.82,346.97,53816000,0.0,0.0
2025-09-08,354.64,358.44,344.84,346.4,75208300,0.0,0.0
2025-09-05,348.0,355.87,344.68,350.84,108989800,0.0,0.0
2025-09-04,336.15,338.89,331.48,338.53,60711000,0.0,0.0
2025-09-03,335.2,343.33,328.51,334.09,88733300,0.0,0.0
2025-09-02,328.23,333.33,325.6,329.36,58392000,0.0,0.0
2025-08-29,347.23,348.75,331.7,333.87,81145700,0.0,0.0
2025-08-28,350.91,353.55,340.26,345.98,67903200,0.0,0.0
2025-08-27,351.94,355.39,349.16,349.6,65519000,0.0,0.0
2025-08-26,344.93,351.9,343.72,351.67,76651600,0.0,0.0
2025-08-25,338.9,349.53,335.03,346.6,86670000,0.0,0.0
2025-08-22,321.66,340.25,319.69,340.01,94016300,0.0,0.0
2025-08-21,322.08,324.9,318.68,320.11,55744400,0.0,0.0
2025-08-20,329.22,331.37,314.6,323.9,77481800,0.0,0.0
2025-08-19,335.79,340.55,327.85,329.31,75956000,0.0,0.0
2025-08-18,329.62,336.27,329.59,335.16,56956600,0.0,0.0
2025-08-15,337.66,339.3,327.02,330.56,74319800,0.0,0.0
2025-08-14,335.76,340.47,330.4,335.58,75000700,0.0,0.0
2025-08-13,341.5,348.98,338.2,339.38,67838900,0.0,0.0
2025-08-12,345.0,345.26,332.94,340.84,80522100,0.0,0.0
