Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-10-10,20.12,20.72,17.8,17.96,206418900,0.0,0.0,0.0
2025-10-09,19.68,20.09,19.16,20.01,102666500,0.0,0.0,0.0
2025-10-08,20.23,20.57,19.09,20.31,123330800,0.0,0.0,0.0
2025-10-07,21.25,21.7,19.76,19.83,172015600,0.0,0.0,0.0
2025-10-06,20.63,21.78,20.25,21.75,145389900,0.0,0.0,0.0
2025-10-03,20.87,21.19,18.4,19.63,197646600,0.0,0.0,0.0
2025-10-02,23.61,23.62,20.2,20.22,238644100,0.0,0.0,0.0
2025-10-01,21.03,22.77,20.75,22.5,125507200,0.0,0.0,0.0
2025-09-30,20.83,21.15,20.03,21.11,104288200,0.0,0.0,0.0
2025-09-29,21.1,21.7,20.64,20.98,120008100,0.0,0.0,0.0
2025-09-26,19.64,20.72,18.99,20.71,138504400,0.0,0.0,0.0
2025-09-25,20.32,20.33,18.8,19.19,156797200,0.0,0.0,0.0
2025-09-24,19.86,21.17,19.79,21.03,128413500,0.0,0.0,0.0
2025-09-23,20.83,20.93,19.3,19.5,124061000,0.089,0.0,0.0
2025-09-22,20.0,21.28,19.83,20.26,155988700,0.0,0.0,0.0
2025-09-19,19.18,19.85,19.16,19.54,110268600,0.0,0.0,0.0
2025-09-18,19.84,20.14,18.7,18.71,165189100,0.0,0.0,0.0
2025-09-17,18.65,19.77,18.1,19.55,195977900,0.0,0.0,0.0
2025-09-16,18.55,19.32,18.3,19.17,163431700,0.0,0.0,0.0
2025-09-15,19.3,19.49,17.5,18.13,328268500,0.0,0.0,0.0
2025-09-12,14.95,17.01,14.91,16.96,276888900,0.0,0.0,0.0
2025-09-11,13.4,14.79,13.2,14.77,174602300,0.0,0.0,0.0
2025-09-10,13.43,13.85,13.08,13.2,122529200,0.0,0.0,0.0
2025-09-09,13.26,13.43,12.91,13.14,81849000,0.0,0.0,0.0
2025-09-08,13.75,14.03,12.99,13.1,107063800,0.0,0.0,0.0
2025-09-05,13.23,13.82,12.99,13.45,194801400,0.0,0.0,0.0
2025-09-04,12.39,12.57,12.05,12.55,91197800,0.0,0.0,0.0
2025-09-03,12.31,12.9,11.84,12.23,124770700,0.0,0.0,0.0
2025-09-02,11.82,12.2,11.64,11.9,105721200,0.0,0.0,0.0
2025-08-29,13.25,13.36,12.07,12.24,118810400,0.0,0.0,0.0
2025-08-28,13.55,13.75,12.72,13.14,105252100,0.0,0.0,0.0
2025-08-27,13.64,13.89,13.42,13.44,96322400,0.0,0.0,0.0
2025-08-26,13.09,13.62,13.0,13.61,95928800,0.0,0.0,0.0
2025-08-25,12.63,13.44,12.37,13.22,132969700,0.0,0.0,0.0
2025-08-22,11.45,12.74,11.31,12.74,148611600,0.0,0.0,0.0
2025-08-21,11.49,11.69,11.25,11.36,83190700,0.0,0.0,0.0
2025-08-20,12.01,12.17,10.95,11.63,136039300,0.0,0.0,0.0
2025-08-19,12.51,12.85,11.92,12.02,117597400,0.0,0.0,0.0
2025-08-18,12.07,12.53,12.07,12.46,91316100,0.0,0.0,0.0
2025-08-15,12.65,12.78,11.87,12.14,116514300,0.0,0.0,0.0
2025-08-14,12.52,12.88,12.13,12.5,135078500,0.0,0.0,0.0
2025-08-13,12.97,13.53,12.72,12.8,134575600,0.0,0.0,0.0
2025-08-12,13.25,13.25,12.33,12.9,151562100,0.0,0.0,0.0
2025-08-11,12.5,13.34,12.44,12.78,163142200,0.0,0.0,0.0
2025-08-08,11.52,12.49,11.48,12.08,149972200,0.0,0.0,0.0
2025-08-07,11.41,11.59,11.15,11.56,105590600,0.0,0.0,0.0
2025-08-06,10.59,11.45,10.53,11.41,121891300,0.0,0.0,0.0
2025-08-05,10.67,10.91,10.43,10.65,96279800,0.0,0.0,0.0
2025-08-04,10.68,10.89,10.28,10.68,132502000,0.0,0.0,0.0
2025-08-01,10.49,10.71,9.93,10.27,167921700,0.0,0.0,0.0
2025-07-31,11.47,11.59,10.49,10.63,163233800,0.0,0.0,0.0
2025-07-30,11.65,11.82,10.89,11.42,127387600,0.0,0.0,0.0
2025-07-29,11.92,11.95,11.37,11.59,123076100,0.0,0.0,0.0
2025-07-28,11.39,12.26,11.21,11.9,186198000,0.0,0.0,0.0
2025-07-25,10.73,11.75,10.69,11.22,212392700,0.0,0.0,0.0
2025-07-24,10.88,10.88,10.16,10.49,284183600,0.0,0.0,0.0
2025-07-23,12.45,12.84,12.29,12.6,173959000,0.0,0.0,0.0
2025-07-22,12.38,12.78,11.75,12.53,172328400,0.0,0.0,0.0
2025-07-21,12.72,12.99,12.16,12.28,118440400,0.0,0.0,0.0
2025-07-18,11.8,12.45,11.77,12.35,142960900,0.0,0.0,0.0
2025-07-17,11.9,11.99,11.46,11.62,112091900,0.0,0.0,0.0
2025-07-16,11.17,11.93,11.17,11.79,157640800,0.0,0.0,0.0
2025-07-15,11.68,11.79,11.01,11.02,121065300,0.0,0.0,0.0
2025-07-14,11.54,11.89,11.18,11.48,113094100,0.0,0.0,0.0
2025-07-11,10.83,11.28,10.68,11.23,117923300,0.0,0.0,0.0
2025-07-10,10.34,11.03,10.33,10.99,161544300,0.0,0.0,0.0
2025-07-09,10.17,10.34,9.9,10.05,119512300,0.0,0.0,0.0
2025-07-08,10.14,10.61,9.98,10.2,146701300,0.0,0.0,0.0
2025-07-07,9.75,10.1,9.56,9.94,239961300,0.0,0.0,0.0
2025-07-03,11.69,11.72,11.31,11.48,91042000,0.0,0.0,0.0
2025-07-02,11.33,11.62,10.71,11.53,194688400,0.0,0.0,0.0
2025-07-01,10.33,10.88,9.96,10.49,251113100,0.0,0.0,0.0
2025-06-30,11.93,12.35,11.68,11.76,131005000,0.0,0.0,0.0
2025-06-27,12.28,12.64,11.75,12.22,146969000,0.0,0.0,0.0
2025-06-26,12.31,12.78,12.25,12.39,136740500,0.0,0.0,0.0
2025-06-25,13.73,13.74,11.99,12.52,236855400,0.0,0.0,0.0
2025-06-24,14.86,14.87,13.56,13.56,222724700,0.09,0.0,0.0
2025-06-23,12.63,14.9,12.62,14.24,362261600,0.0,0.0,0.0
2025-06-20,12.67,13.0,11.9,12.23,193982000,0.0,0.0,0.0
2025-06-18,11.88,12.77,11.73,12.24,141163300,0.0,0.0,0.0
