Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,74.26,74.93,72.52,72.7,635700,0.0,0.0
2025-10-09,77.02,77.38,73.81,74.24,731300,0.0,0.0
2025-10-08,77.34,78.37,76.64,76.97,954600,0.0,0.0
2025-10-07,76.48,77.62,76.39,77.08,839000,0.38,0.0
2025-10-06,76.62,76.69,75.42,76.22,839900,0.0,0.0
2025-10-03,76.17,77.17,75.89,76.48,737100,0.0,0.0
2025-10-02,75.52,76.61,75.11,76.1,432300,0.0,0.0
2025-10-01,75.57,76.5,74.94,75.58,566700,0.0,0.0
2025-09-30,75.71,76.22,75.27,75.82,498200,0.0,0.0
2025-09-29,76.7,76.7,75.14,75.74,481600,0.0,0.0
2025-09-26,75.74,76.25,75.16,76.01,454900,0.0,0.0
2025-09-25,75.62,76.16,74.99,75.3,454400,0.0,0.0
2025-09-24,76.57,77.13,75.85,76.07,513600,0.0,0.0
2025-09-23,77.24,78.36,76.29,76.73,576400,0.0,0.0
2025-09-22,77.55,78.41,76.73,77.06,648000,0.0,0.0
2025-09-19,79.56,79.56,77.46,77.85,1254500,0.0,0.0
2025-09-18,79.0,80.18,78.61,79.54,543700,0.0,0.0
2025-09-17,79.43,80.9,78.41,78.74,631300,0.0,0.0
2025-09-16,79.25,79.58,78.23,79.12,1281700,0.0,0.0
2025-09-15,79.19,79.52,78.73,79.2,549900,0.0,0.0
2025-09-12,79.4,79.41,78.41,78.89,717500,0.0,0.0
2025-09-11,78.26,79.75,78.08,79.52,728300,0.0,0.0
2025-09-10,78.06,78.85,77.77,78.1,709000,0.0,0.0
2025-09-09,80.67,80.84,78.17,78.38,792900,0.0,0.0
2025-09-08,81.28,81.34,80.0,80.99,733200,0.0,0.0
2025-09-05,80.31,81.93,79.98,81.24,954100,0.0,0.0
2025-09-04,77.46,81.56,77.34,80.21,2383800,0.0,0.0
2025-09-03,80.76,81.59,79.32,80.13,1567500,0.0,0.0
2025-09-02,79.68,81.12,79.49,81.04,1045100,0.0,0.0
2025-08-29,81.25,82.11,80.3,80.66,1131000,0.0,0.0
2025-08-28,82.61,83.02,80.98,81.59,926100,0.0,0.0
2025-08-27,80.74,82.43,80.43,82.13,771400,0.0,0.0
2025-08-26,81.82,82.29,80.4,80.81,602700,0.0,0.0
2025-08-25,82.09,83.9,81.39,82.02,1017900,0.0,0.0
2025-08-22,76.33,79.05,75.97,78.72,468900,0.0,0.0
2025-08-21,75.21,75.69,74.82,75.59,394800,0.0,0.0
2025-08-20,77.6,77.73,75.12,75.63,766700,0.0,0.0
2025-08-19,76.46,78.16,76.46,77.63,574400,0.0,0.0
2025-08-18,76.65,76.77,75.71,76.32,641200,0.0,0.0
2025-08-15,77.41,77.66,76.21,76.48,862000,0.0,0.0
2025-08-14,75.87,77.86,75.07,77.64,1465400,0.0,0.0
2025-08-13,74.63,77.14,74.5,76.92,777500,0.0,0.0
2025-08-12,73.31,74.49,72.99,74.42,989700,0.0,0.0
2025-08-11,74.13,74.43,72.58,73.16,603400,0.0,0.0
2025-08-08,73.26,74.0,72.8,73.4,558500,0.0,0.0
2025-08-07,74.62,74.62,72.87,73.08,407800,0.0,0.0
2025-08-06,74.04,74.14,73.35,73.97,655900,0.0,0.0
2025-08-05,74.15,74.56,73.68,74.19,654000,0.0,0.0
2025-08-04,72.71,74.15,72.58,74.03,433100,0.0,0.0
2025-08-01,73.02,73.08,71.83,72.61,670900,0.0,0.0
2025-07-31,73.19,74.47,72.27,73.88,751100,0.0,0.0
2025-07-30,74.42,74.48,72.41,73.14,800400,0.0,0.0
2025-07-29,74.28,74.51,73.73,74.07,423800,0.0,0.0
2025-07-28,74.85,75.22,74.08,74.13,647900,0.0,0.0
2025-07-25,74.52,75.03,73.76,74.99,351600,0.0,0.0
2025-07-24,74.53,74.86,73.83,74.31,502800,0.0,0.0
2025-07-23,75.13,75.69,74.61,74.93,574000,0.0,0.0
2025-07-22,73.11,74.87,73.11,74.61,664800,0.0,0.0
2025-07-21,73.83,73.99,72.77,72.91,548000,0.0,0.0
2025-07-18,73.68,74.22,72.6,73.36,456200,0.0,0.0
2025-07-17,72.65,74.01,72.58,73.69,452700,0.0,0.0
2025-07-16,72.13,72.96,71.71,72.62,587100,0.0,0.0
2025-07-15,73.84,74.32,72.23,72.28,634100,0.0,0.0
2025-07-14,74.24,74.84,73.17,73.35,841500,0.0,0.0
