Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,13.92,15.86,13.65,14.65,32105100,0.0,0.0
2025-10-09,14.22,14.39,13.17,13.55,15113200,0.0,0.0
2025-10-08,13.58,14.34,13.51,14.0,18786500,0.0,0.0
2025-10-07,13.22,13.79,12.85,13.54,21020900,0.0,0.0
2025-10-06,13.4,13.58,13.01,13.05,17420300,0.0,0.0
2025-10-03,13.19,13.44,12.81,13.21,32201700,0.0,0.0
2025-10-02,13.36,13.68,12.92,13.68,12669400,0.0,0.0
2025-10-01,13.3,13.57,12.76,12.99,16990900,0.0,0.0
2025-09-30,13.28,14.03,13.27,13.34,17862400,0.0,0.0
2025-09-29,14.01,14.16,13.6,13.89,11209400,0.0,0.0
2025-09-26,13.4,14.33,13.3,13.67,14775300,0.0,0.0
2025-09-25,13.08,13.68,12.32,13.44,20453500,0.0,0.0
2025-09-24,13.55,15.06,13.12,13.68,28531300,0.0,0.0
2025-09-23,13.33,13.91,13.1,13.85,23454900,0.0,0.0
2025-09-22,12.4,13.5,11.88,13.42,23905100,0.0,0.0
2025-09-19,12.11,12.8,12.07,12.35,35212500,0.0,0.0
2025-09-18,11.95,12.31,11.26,12.26,30007600,0.0,0.0
2025-09-17,12.22,12.49,12.07,12.24,14002000,0.0,0.0
2025-09-16,13.07,13.15,12.13,12.34,17612200,0.0,0.0
2025-09-15,11.84,13.25,11.47,13.17,22382100,0.0,0.0
2025-09-12,12.16,12.18,11.68,11.87,9095000,0.0,0.0
2025-09-11,12.5,12.87,12.03,12.05,11766300,0.0,0.0
2025-09-10,12.09,12.95,11.97,12.6,15555100,0.0,0.0
2025-09-09,11.72,12.31,11.64,12.09,13832600,0.0,0.0
2025-09-08,11.27,11.89,11.04,11.82,17183300,0.0,0.0
2025-09-05,11.44,11.51,10.78,11.17,11216600,0.0,0.0
2025-09-04,11.66,11.8,11.05,11.28,12435400,0.0,0.0
2025-09-03,11.38,11.61,11.03,11.51,13825100,0.0,0.0
2025-09-02,10.41,11.03,10.12,10.98,11729500,0.0,0.0
2025-08-29,10.98,11.29,10.46,10.69,12833400,0.0,0.0
2025-08-28,10.44,10.58,10.37,10.48,8739100,0.0,0.0
2025-08-27,10.79,10.87,10.34,10.37,8779800,0.0,0.0
2025-08-26,10.48,11.03,10.48,10.7,15311100,0.0,0.0
2025-08-25,10.45,10.79,10.32,10.4,16759600,0.0,0.0
2025-08-22,9.95,10.65,9.82,10.53,16619800,0.0,0.0
2025-08-21,9.38,9.67,9.33,9.62,8031900,0.0,0.0
2025-08-20,9.5,9.6,9.23,9.39,10821700,0.0,0.0
2025-08-19,10.47,10.5,9.41,9.66,15611000,0.0,0.0
