Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,90.26,91.14,88.99,89.44,488100,0.0,0.0
2025-10-09,90.89,91.05,89.76,90.02,400000,0.0,0.0
2025-10-08,90.98,91.38,90.0,91.35,486600,0.0,0.0
2025-10-07,91.38,91.9,90.2,90.43,333300,0.0,0.0
2025-10-06,92.25,93.49,90.82,91.43,383600,0.0,0.0
2025-10-03,93.51,94.39,92.12,92.18,310000,0.0,0.0
2025-10-02,92.53,93.28,91.91,93.25,307300,0.0,0.0
2025-10-01,93.29,94.28,92.23,92.97,219500,0.0,0.0
2025-09-30,91.53,93.74,91.52,93.49,335200,0.0,0.0
2025-09-29,92.86,92.86,91.61,92.24,503100,0.0,0.0
2025-09-26,91.86,92.75,91.73,92.23,279800,0.0,0.0
2025-09-25,92.49,94.44,91.16,91.8,243400,0.0,0.0
2025-09-24,94.02,94.68,92.75,93.11,252000,0.0,0.0
2025-09-23,95.14,96.22,93.78,94.44,353600,0.0,0.0
2025-09-22,95.14,95.6,94.63,95.19,422000,0.0,0.0
2025-09-19,97.89,97.89,95.14,95.32,1485900,0.0,0.0
2025-09-18,97.49,99.1,97.01,98.2,338100,0.0,0.0
2025-09-17,98.85,101.06,96.0,97.12,400500,0.0,0.0
2025-09-16,99.1,99.78,97.7,98.31,269400,0.0,0.0
2025-09-15,98.98,100.87,98.22,99.29,328900,0.0,0.0
2025-09-12,101.41,101.83,98.54,98.68,231600,0.0,0.0
2025-09-11,100.06,102.69,100.06,102.4,403200,0.0,0.0
2025-09-10,100.03,100.77,99.29,99.72,229800,0.0,0.0
2025-09-09,101.85,101.85,99.55,100.42,315000,0.0,0.0
2025-09-08,103.66,103.66,101.23,102.6,289400,0.0,0.0
2025-09-05,103.16,105.57,102.54,103.79,234400,0.0,0.0
2025-09-04,99.2,102.74,98.99,102.64,293400,0.0,0.0
2025-09-03,99.83,100.28,97.89,98.42,386700,0.0,0.0
2025-09-02,99.82,100.46,99.39,100.17,328000,0.0,0.0
2025-08-29,102.07,103.0,100.34,100.97,271200,0.35,0.0
