Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,15.08,15.18,13.26,13.37,4335900,0.0,0.0
2025-10-09,16.15,16.77,14.75,15.25,3679300,0.0,0.0
2025-10-08,15.96,16.65,14.91,15.64,3265400,0.0,0.0
2025-10-07,16.4,17.25,15.13,15.99,3118200,0.0,0.0
2025-10-06,16.76,17.48,16.0,16.21,4423900,0.0,0.0
2025-10-03,16.15,17.18,15.18,16.38,9167200,0.0,0.0
2025-10-02,15.0,15.5,14.7,14.97,3668500,0.0,0.0
2025-10-01,15.13,15.98,14.35,14.86,3485800,0.0,0.0
2025-09-30,14.48,15.43,13.51,15.1,6073600,0.0,0.0
2025-09-29,13.35,14.41,13.31,13.8,3582500,0.0,0.0
2025-09-26,12.88,13.2,12.51,12.91,1334600,0.0,0.0
2025-09-25,12.25,13.35,11.82,13.11,3222700,0.0,0.0
2025-09-24,14.0,14.65,13.28,13.4,2540500,0.0,0.0
2025-09-23,14.33,15.23,13.61,14.0,4087900,0.0,0.0
2025-09-22,13.0,14.89,12.67,14.35,7102500,0.0,0.0
2025-09-19,11.05,13.13,11.05,13.1,7302100,0.0,0.0
2025-09-18,11.55,11.55,10.91,11.11,2708500,0.0,0.0
2025-09-17,11.33,11.9,11.11,11.43,3769500,0.0,0.0
2025-09-16,10.98,11.69,10.33,11.64,3444400,0.0,0.0
2025-09-15,10.78,10.99,10.26,10.95,2313900,0.0,0.0
2025-09-12,10.6,10.63,9.88,10.5,2672400,0.0,0.0
2025-09-11,10.02,10.92,10.0,10.59,2991500,0.0,0.0
2025-09-10,9.86,10.03,9.68,9.95,1535200,0.0,0.0
2025-09-09,10.07,10.13,9.61,9.66,1548100,0.0,0.0
2025-09-08,9.69,10.02,9.58,10.02,2086100,0.0,0.0
2025-09-05,9.33,9.61,8.92,9.56,1737300,0.0,0.0
2025-09-04,9.0,9.28,8.82,9.27,1319000,0.0,0.0
2025-09-03,9.36,9.39,8.78,9.02,2122100,0.0,0.0
2025-09-02,9.2,9.35,8.65,9.16,3122100,0.0,0.0
2025-08-29,9.96,9.96,9.36,9.6,3129600,0.0,0.0
2025-08-28,10.28,10.75,10.16,10.17,1880300,0.0,0.0
2025-08-27,10.75,10.79,10.23,10.23,1752100,0.0,0.0
2025-08-26,11.51,11.82,10.61,10.76,3322100,0.0,0.0
2025-08-25,11.05,11.95,10.8,11.55,4089300,0.0,0.0
2025-08-22,10.3,11.39,10.11,11.07,3695300,0.0,0.0
