Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,369.4,369.4,352.51,354.5,12787300,0.0,0.0
2025-10-09,372.52,376.22,366.08,367.69,8759800,0.0,0.0
2025-10-08,366.93,374.63,365.8,369.92,9438300,0.0,0.0
2025-10-07,359.41,364.72,358.06,363.66,7236200,0.0,0.0
2025-10-06,361.03,362.52,357.11,358.77,7181700,0.0,0.0
2025-10-03,357.25,368.0,356.61,360.2,13494800,0.0,0.0
2025-10-02,347.29,355.08,344.65,353.72,8564200,0.0,0.0
2025-10-01,343.9,348.7,341.63,348.3,8825500,0.0,0.0
2025-09-30,343.75,349.32,342.33,345.3,7429700,0.0,0.0
2025-09-29,343.98,345.55,341.45,345.18,6878900,0.0,0.0
2025-09-26,347.93,349.97,341.3,344.08,6774700,0.0,0.0
2025-09-25,348.9,350.19,343.6,345.56,8104900,0.0,0.0
2025-09-24,350.2,354.5,347.84,351.81,9016300,0.0,0.0
2025-09-23,341.0,352.7,339.96,347.69,12504100,0.0,0.0
2025-09-22,334.46,342.48,332.6,341.3,8903700,0.0,0.0
2025-09-19,336.5,340.96,333.84,336.69,13656800,0.0,0.0
2025-09-18,343.53,344.93,334.12,334.82,11255600,0.0,0.0
2025-09-17,337.69,343.0,337.69,341.61,8467700,0.0,0.0
2025-09-16,347.5,349.04,338.32,339.78,12695800,0.0,0.0
2025-09-15,351.26,351.71,342.53,347.89,11035900,2.21,0.0
2025-09-12,353.67,360.04,350.25,350.3,14016200,0.0,0.0
2025-09-11,346.81,358.72,343.67,351.39,18943500,0.0,0.0
2025-09-10,343.39,346.38,339.26,344.61,17804300,0.0,0.0
2025-09-09,330.42,349.51,325.11,345.74,46408900,0.0,0.0
2025-09-08,317.71,319.63,311.83,318.24,18438600,0.0,0.0
2025-09-05,308.49,315.95,306.27,313.41,14126700,0.0,0.0
2025-09-04,304.18,309.95,302.19,308.43,7725700,0.0,0.0
2025-09-03,306.18,307.65,301.8,305.95,9654600,0.0,0.0
2025-09-02,306.38,310.93,305.37,306.86,10957100,0.0,0.0
2025-08-29,300.4,308.06,299.02,307.93,12065400,0.0,0.0
2025-08-28,302.34,302.56,297.52,300.39,11235000,0.0,0.0
2025-08-27,298.66,304.05,298.62,301.97,9982800,0.0,0.0
2025-08-26,302.4,307.02,292.36,298.55,16303200,0.0,0.0
2025-08-25,306.56,306.93,300.83,302.95,8917100,0.0,0.0
2025-08-22,304.18,308.73,302.67,305.49,14930000,0.0,0.0
2025-08-21,300.39,304.65,295.93,301.45,13359000,0.0,0.0
2025-08-20,304.48,305.27,293.85,297.96,16679000,0.0,0.0
2025-08-19,306.96,308.55,297.33,302.33,22348600,0.0,0.0
2025-08-18,311.22,314.42,305.49,306.56,39600500,0.0,0.0
2025-08-15,299.82,308.35,292.86,302.1,68198500,0.0,0.0
2025-08-14,270.39,272.13,265.33,269.79,25011100,0.0,0.0
2025-08-13,262.73,270.48,261.24,270.11,19480300,0.0,0.0
2025-08-12,252.43,261.23,252.08,259.93,12171800,0.0,0.0
2025-08-11,252.28,256.78,250.56,250.79,11779500,0.0,0.0
2025-08-08,243.26,249.51,242.84,249.32,10185700,0.0,0.0
2025-08-07,244.88,247.19,238.0,243.14,11369900,0.0,0.0
2025-08-06,249.07,251.57,243.77,244.24,12946400,0.0,0.0
2025-08-05,239.65,250.49,238.55,249.43,23795900,0.0,0.0
2025-08-04,236.75,240.73,235.46,239.47,17427900,0.0,0.0
2025-08-01,249.04,249.91,233.13,236.28,39989200,0.0,0.0
2025-07-31,259.76,259.76,246.2,248.0,29606900,0.0,0.0
2025-07-30,263.14,264.96,256.5,264.37,22371800,0.0,0.0
2025-07-29,264.03,271.2,258.92,259.43,41706000,0.0,0.0
2025-07-28,281.72,283.21,277.94,280.35,15779400,0.0,0.0
2025-07-25,279.24,284.35,278.18,279.3,16486600,0.0,0.0
2025-07-24,281.33,287.4,276.48,276.83,22585200,0.0,0.0
