Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,34.24,37.85,31.31,32.61,49566300,0.0,0.0
2025-10-09,28.7,32.59,27.82,31.07,26661700,0.0,0.0
2025-10-08,29.58,29.75,25.76,27.02,14953800,0.0,0.0
2025-10-07,27.25,30.92,26.75,28.27,21490500,0.0,0.0
2025-10-06,28.0,29.1,25.13,26.32,19717700,0.0,0.0
2025-10-03,26.09,28.25,25.01,25.96,41452600,0.0,0.0
2025-10-02,18.51,23.37,18.5,22.71,24643100,0.0,0.0
2025-10-01,17.52,18.65,17.27,18.41,6663400,0.0,0.0
2025-09-30,17.38,18.1,16.3,17.19,4937300,0.0,0.0
2025-09-29,18.65,19.01,16.88,17.54,7894000,0.0,0.0
2025-09-26,17.98,18.06,16.37,17.33,7558000,0.0,0.0
2025-09-25,15.95,19.08,15.45,18.19,12331000,0.0,0.0
2025-09-24,18.19,18.46,16.65,16.66,6987800,0.0,0.0
2025-09-23,16.28,18.15,16.21,17.85,11382100,0.0,0.0
2025-09-22,16.0,16.1,15.42,16.08,3918100,0.0,0.0
2025-09-19,16.52,16.59,15.71,16.25,10718800,0.0,0.0
2025-09-18,15.73,16.5,15.08,16.4,7026000,0.0,0.0
2025-09-17,14.75,15.64,14.45,15.52,5705900,0.0,0.0
2025-09-16,14.58,15.89,14.33,14.92,9225900,0.0,0.0
2025-09-15,14.18,14.7,13.56,13.74,5155600,0.0,0.0
2025-09-12,14.6,14.99,14.03,14.06,2972800,0.0,0.0
2025-09-11,13.76,14.99,13.73,14.53,3742200,0.0,0.0
2025-09-10,14.28,14.55,13.72,13.87,3229500,0.0,0.0
2025-09-09,13.56,14.37,13.56,14.1,3494700,0.0,0.0
2025-09-08,13.68,13.85,13.33,13.52,2770700,0.0,0.0
2025-09-05,13.98,14.34,13.37,13.86,2853500,0.0,0.0
2025-09-04,13.77,14.19,13.6,14.11,2377200,0.0,0.0
2025-09-03,14.2,14.3,13.66,13.76,2563500,0.0,0.0
2025-09-02,14.47,14.57,13.46,13.96,5695900,0.0,0.0
2025-08-29,15.51,15.99,14.88,14.92,5339500,0.0,0.0
2025-08-28,15.88,16.37,15.36,15.42,5161300,0.0,0.0
2025-08-27,15.65,16.1,15.27,15.69,3022000,0.0,0.0
2025-08-26,15.82,16.67,15.48,15.68,5164700,0.0,0.0
2025-08-25,16.0,16.91,15.65,15.83,5870800,0.0,0.0
2025-08-22,15.81,16.39,14.94,15.89,6932000,0.0,0.0
2025-08-21,14.42,15.69,13.99,15.27,7214900,0.0,0.0
2025-08-20,14.45,14.92,13.73,14.27,4251100,0.0,0.0
2025-08-19,15.16,15.2,14.1,14.84,6667500,0.0,0.0
2025-08-18,16.77,16.85,15.48,15.7,6437100,0.0,0.0
2025-08-15,17.51,17.53,16.4,17.19,4771900,0.0,0.0
2025-08-14,16.7,18.19,16.55,17.78,7029500,0.0,0.0
2025-08-13,19.18,19.51,16.51,16.99,11165700,0.0,0.0
2025-08-12,15.75,19.68,15.61,19.04,18028600,0.0,0.0
2025-08-11,16.81,17.35,15.38,15.44,10987000,0.0,0.0
2025-08-08,15.61,16.73,15.23,16.26,11312500,0.0,0.0
2025-08-07,13.79,15.14,13.33,15.04,9455000,0.0,0.0
2025-08-06,14.45,14.45,13.28,13.45,4943700,0.0,0.0
2025-08-05,14.1,15.41,13.72,14.13,8535200,0.0,0.0
2025-08-04,14.79,15.16,13.73,13.99,10467200,0.0,0.0
2025-08-01,12.82,14.0,12.03,13.94,10790800,0.0,0.0
2025-07-31,11.24,12.9,11.13,12.71,6655500,0.0,0.0
2025-07-30,11.05,11.47,10.91,11.15,1716500,0.0,0.0
2025-07-29,12.14,12.3,10.93,11.05,2752200,0.0,0.0
2025-07-28,12.12,12.14,11.47,12.1,2964100,0.0,0.0
2025-07-25,12.24,12.65,11.93,12.02,2748100,0.0,0.0
2025-07-24,12.79,12.94,12.06,12.3,3090800,0.0,0.0
2025-07-23,13.14,13.24,12.45,12.74,3309600,0.0,0.0
2025-07-22,13.28,13.37,12.52,13.01,4433300,0.0,0.0
2025-07-21,14.62,14.67,13.61,13.68,3944100,0.0,0.0
2025-07-18,15.19,15.3,14.12,14.62,5526600,0.0,0.0
2025-07-17,14.53,15.95,13.8,15.45,9994400,0.0,0.0
2025-07-16,16.45,16.46,13.86,14.26,10804400,0.0,0.0
2025-07-15,12.7,15.84,12.28,15.54,16060200,0.0,0.0
2025-07-14,10.82,12.25,10.55,11.85,5255100,0.0,0.0
2025-07-11,11.27,11.56,10.5,10.71,3999800,0.0,0.0
2025-07-10,11.64,11.71,10.81,11.0,8116300,0.0,0.0
2025-07-09,9.84,9.92,9.63,9.79,666800,0.0,0.0
2025-07-08,9.7,10.0,9.49,9.84,863700,0.0,0.0
2025-07-07,9.74,9.79,9.32,9.61,1388100,0.0,0.0
2025-07-03,10.32,10.32,9.68,9.93,1936200,0.0,0.0
2025-07-02,10.4,10.75,10.25,10.52,623500,0.0,0.0
