Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,29.82,30.14,28.19,28.25,2843500,0.0,0.0
2025-10-09,30.3,30.45,29.17,29.59,1883300,0.0,0.0
2025-10-08,28.55,30.27,28.46,30.22,2025200,0.0,0.0
2025-10-07,28.92,29.25,28.04,28.47,1588600,0.0,0.0
2025-10-06,29.35,29.74,28.64,29.2,1831000,0.0,0.0
2025-10-03,30.0,30.0,28.9,29.09,1956300,0.0,0.0
2025-10-02,29.04,29.93,28.71,29.18,2288900,0.0,0.0
2025-10-01,27.41,29.75,27.25,29.35,3454200,0.0,0.0
2025-09-30,26.44,27.3,26.39,27.14,1994800,0.0,0.0
2025-09-29,26.66,26.69,25.92,26.49,2657100,0.0,0.0
2025-09-26,25.44,26.29,25.44,26.24,1384100,0.0,0.0
2025-09-25,25.32,25.99,25.09,25.59,1417200,0.0,0.0
2025-09-24,25.34,26.0,25.34,25.65,1170300,0.0,0.0
2025-09-23,25.81,26.25,25.31,25.69,1979200,0.0,0.0
2025-09-22,26.75,26.78,25.36,25.56,2513600,0.0,0.0
2025-09-19,27.52,27.6,26.25,26.62,3204500,0.0,0.0
2025-09-18,27.1,27.71,26.75,27.53,2022000,0.0,0.0
2025-09-17,26.3,27.93,26.25,27.01,2877200,0.0,0.0
2025-09-16,27.34,27.52,26.28,26.29,2564600,0.0,0.0
2025-09-15,26.92,28.06,26.76,27.7,4260000,0.0,0.0
2025-09-12,26.9,26.97,25.84,26.44,2819800,0.0,0.0
2025-09-11,26.61,27.1,26.13,27.02,3501700,0.0,0.0
2025-09-10,25.3,25.8,25.17,25.66,2103800,0.0,0.0
2025-09-09,25.4,25.71,25.0,25.54,2605700,0.0,0.0
2025-09-08,26.21,26.21,25.19,25.65,3471600,0.0,0.0
2025-09-05,25.86,26.74,25.7,26.25,4450300,0.0,0.0
2025-09-04,23.28,25.7,23.15,25.67,5323500,0.0,0.0
2025-09-03,22.54,24.0,22.54,22.97,2543800,0.0,0.0
