Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,16.51,16.65,15.31,15.34,774600,0.0,0.0
2025-10-09,17.36,17.7,16.81,16.83,426900,0.0,0.0
2025-10-08,17.23,17.35,16.97,17.24,376200,0.0,0.0
2025-10-07,17.29,17.31,16.69,17.11,1153400,0.0,0.0
2025-10-06,17.53,17.92,17.16,17.45,622400,0.0,0.0
2025-10-03,16.4,17.2,16.4,17.07,1078400,0.0,0.0
2025-10-02,16.93,17.24,16.18,16.19,879500,0.0,0.0
2025-10-01,16.97,17.32,16.79,17.1,709900,0.0,0.0
2025-09-30,16.62,16.89,16.26,16.89,987400,0.0,0.0
2025-09-29,18.02,18.17,17.02,17.03,663900,0.0,0.0
2025-09-26,17.85,18.86,17.77,18.34,1248400,0.0,0.0
2025-09-25,18.22,18.55,17.73,17.85,925100,0.0,0.0
2025-09-24,17.39,19.04,17.39,18.37,1955100,0.0,0.0
2025-09-23,16.29,17.46,16.09,17.13,1255600,0.0,0.0
2025-09-22,15.57,16.09,15.39,16.0,717800,0.0,0.0
2025-09-19,16.35,16.4,15.65,15.72,2094900,0.0,0.0
2025-09-18,16.38,16.52,16.12,16.36,1071300,0.0,0.0
2025-09-17,16.41,17.11,16.29,16.38,951000,0.0,0.0
2025-09-16,16.04,16.69,16.04,16.52,970600,0.0,0.0
2025-09-15,16.34,16.51,15.93,15.95,541400,0.0,0.0
2025-09-12,16.95,17.18,16.4,16.41,465700,0.0,0.0
2025-09-11,16.41,16.78,16.32,16.76,673700,0.0,0.0
2025-09-10,15.67,16.72,15.64,16.71,1447400,0.0,0.0
2025-09-09,15.97,16.31,15.64,15.66,844400,0.0,0.0
2025-09-08,16.58,16.62,15.6,15.75,1503400,0.0,0.0
2025-09-05,17.03,17.36,16.17,16.4,1461000,0.0,0.0
2025-09-04,17.44,17.82,17.22,17.39,1417100,0.0,0.0
2025-09-03,18.05,18.59,17.54,17.62,1504500,0.0,0.0
2025-09-02,17.76,18.54,17.61,18.54,1836700,0.0,0.0
2025-08-29,17.57,18.17,17.51,17.82,1652600,0.0,0.0
2025-08-28,17.3,17.99,17.04,17.91,2436500,0.0,0.0
2025-08-27,16.71,18.1,16.7,17.29,3812400,0.0,0.0
2025-08-26,17.62,17.93,16.77,16.77,3310200,0.0,0.0
2025-08-25,16.8,18.81,16.33,18.08,10522900,0.0,0.0
