Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,40.25,40.61,39.82,39.85,38026200,0.69,0.0
2025-10-09,40.65,40.66,40.04,40.14,34868200,0.0,0.0
2025-10-08,40.84,40.84,40.37,40.62,35601000,0.0,0.0
2025-10-07,40.91,41.15,40.64,40.7,34001300,0.0,0.0
2025-10-06,42.52,42.65,40.65,40.74,75944200,0.0,0.0
2025-10-03,42.71,43.19,42.67,42.93,18016000,0.0,0.0
2025-10-02,42.84,42.98,42.49,42.67,21550100,0.0,0.0
2025-10-01,43.18,43.34,42.72,43.09,19921900,0.0,0.0
2025-09-30,42.51,43.23,42.46,43.21,24399100,0.0,0.0
2025-09-29,42.86,42.91,42.36,42.52,15854500,0.0,0.0
2025-09-26,42.91,42.97,42.72,42.87,12456200,0.0,0.0
2025-09-25,42.51,43.03,42.51,42.62,19012200,0.0,0.0
2025-09-24,42.47,42.66,42.23,42.45,21162400,0.0,0.0
2025-09-23,42.43,42.65,42.23,42.62,16796400,0.0,0.0
2025-09-22,42.65,42.78,42.25,42.43,18507700,0.0,0.0
2025-09-19,43.05,43.05,42.73,42.75,29164200,0.0,0.0
2025-09-18,43.14,43.21,42.84,42.93,16507300,0.0,0.0
2025-09-17,43.13,43.66,43.12,43.46,14414000,0.0,0.0
2025-09-16,43.13,43.21,42.57,43.0,16173600,0.0,0.0
2025-09-15,43.31,43.5,43.03,43.13,15034700,0.0,0.0
2025-09-12,43.27,43.34,43.03,43.23,13723500,0.0,0.0
2025-09-11,42.87,43.4,42.77,43.39,15510600,0.0,0.0
2025-09-10,42.76,42.93,42.28,42.76,14807800,0.0,0.0
2025-09-09,42.63,43.0,42.62,42.83,15595500,0.0,0.0
2025-09-08,42.25,42.88,42.21,42.59,30273900,0.0,0.0
2025-09-05,43.35,43.72,43.28,43.63,13406700,0.0,0.0
2025-09-04,43.33,43.67,43.19,43.43,14480500,0.0,0.0
