Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,347.63,350.4,343.25,343.65,6294500,0.0,0.0
2025-10-09,351.47,352.87,345.58,347.04,4434800,0.0,0.0
2025-10-08,353.78,355.0,351.1,351.36,3927500,0.0,0.0
2025-10-07,350.06,354.44,350.06,352.42,5044600,0.0,0.0
2025-10-06,350.01,351.12,344.35,349.28,4735600,0.0,0.0
2025-10-03,346.11,353.16,346.0,349.84,5199700,0.0,0.0
2025-10-02,346.22,347.18,343.56,345.95,5198000,0.0,0.0
2025-10-01,340.31,349.36,340.31,347.83,8381000,0.0,0.0
2025-09-30,339.82,345.61,338.51,341.38,8164400,0.0,0.0
2025-09-29,337.38,340.64,335.55,340.16,7217800,0.0,0.0
2025-09-26,337.23,339.5,336.23,337.37,9619200,0.0,0.0
2025-09-25,338.35,340.2,334.51,334.93,5398700,0.0,0.0
2025-09-24,339.13,339.9,337.92,338.68,5207400,0.0,0.0
2025-09-23,344.59,345.26,337.63,338.7,10142700,0.0,0.0
2025-09-22,339.01,344.86,338.66,344.36,5621800,0.0,0.0
2025-09-19,340.45,342.69,338.25,341.61,13674300,0.0,0.0
2025-09-18,344.73,345.27,338.18,338.18,7526600,0.0,0.0
2025-09-17,339.94,346.2,339.52,346.2,5763500,0.0,0.0
2025-09-16,336.24,340.54,333.47,340.03,5527700,0.0,0.0
2025-09-15,340.61,342.71,338.39,339.05,4367500,0.0,0.0
2025-09-12,341.22,343.19,339.17,339.43,3518300,0.0,0.0
2025-09-11,338.73,343.53,337.87,343.49,5157600,0.0,0.0
2025-09-10,342.61,342.61,336.44,338.12,6557900,0.0,0.0
2025-09-09,341.69,346.32,341.29,343.99,4646200,0.0,0.0
2025-09-08,342.34,344.38,341.0,342.3,4711600,0.0,0.0
2025-09-05,351.38,352.62,340.2,343.22,5448300,0.0,0.0
2025-09-04,350.73,352.63,349.15,350.99,4324000,0.0,0.0
2025-09-03,349.34,350.89,347.26,350.87,4176400,0.0,0.0
2025-09-02,349.31,350.17,346.08,350.07,4940300,0.0,0.0
2025-08-29,350.46,352.63,349.0,351.78,3671900,0.0,0.0
2025-08-28,350.6,351.04,348.6,349.86,4987100,0.0,0.0
2025-08-27,350.71,353.43,349.84,350.35,5531100,0.0,0.0
2025-08-26,348.69,353.4,347.45,351.18,5876200,0.0,0.0
2025-08-25,349.61,350.72,347.5,348.82,8019800,0.0,0.0
