Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,102.05,103.63,101.52,101.84,18504000,0.0,0.0
2025-10-09,103.13,103.45,100.37,101.77,19508000,0.0,0.0
2025-10-08,103.02,103.26,102.15,102.9,13584100,0.0,0.0
2025-10-07,102.38,103.25,100.95,103.24,15538900,0.0,0.0
2025-10-06,101.88,103.07,101.58,102.7,13303600,0.0,0.0
2025-10-03,101.46,102.82,101.2,102.07,11867500,0.0,0.0
2025-10-02,101.45,102.14,99.87,101.7,15605400,0.0,0.0
2025-10-01,102.56,102.86,100.55,101.96,16142800,0.0,0.0
2025-09-30,103.0,103.94,102.72,103.06,13873400,0.0,0.0
2025-09-29,103.05,103.31,102.08,103.08,15477200,0.0,0.0
2025-09-26,102.88,103.49,102.47,103.16,11859300,0.0,0.0
2025-09-25,103.22,103.51,102.58,103.05,13366700,0.0,0.0
2025-09-24,103.04,103.47,102.48,102.73,11391800,0.0,0.0
2025-09-23,102.41,102.68,101.33,102.52,13158700,0.0,0.0
2025-09-22,102.45,103.2,101.92,102.82,12861900,0.0,0.0
2025-09-19,103.81,103.94,102.09,102.33,34791600,0.0,0.0
2025-09-18,103.78,104.64,102.12,103.6,14869400,0.0,0.0
2025-09-17,103.73,106.11,103.73,104.27,25382000,0.0,0.0
2025-09-16,103.85,104.21,103.13,103.42,14481900,0.0,0.0
2025-09-15,103.65,103.98,103.41,103.69,10756900,0.0,0.0
2025-09-12,102.54,103.98,102.36,103.49,11641900,0.0,0.0
2025-09-11,100.99,102.78,100.28,102.65,15900800,0.0,0.0
2025-09-10,101.95,102.45,100.39,100.41,17934900,0.0,0.0
2025-09-09,102.0,102.49,101.55,102.29,11819700,0.0,0.0
2025-09-08,100.85,102.36,100.42,102.28,13685700,0.0,0.0
2025-09-05,101.08,101.48,99.55,100.51,13748500,0.0,0.0
2025-09-04,99.91,101.35,99.65,100.93,15640900,0.0,0.0
2025-09-03,97.85,99.44,97.5,99.44,18995900,0.0,0.0
2025-09-02,97.23,97.85,96.51,97.85,15351300,0.0,0.0
2025-08-29,96.1,97.03,95.8,96.98,15600300,0.0,0.0
2025-08-28,96.0,96.57,95.7,96.11,19241600,0.0,0.0
2025-08-27,95.9,96.32,95.6,96.08,12925700,0.0,0.0
2025-08-26,96.28,96.47,95.42,96.05,22270400,0.0,0.0
2025-08-25,97.0,97.58,96.07,96.07,18956100,0.0,0.0
2025-08-22,98.07,99.05,96.76,96.83,32695200,0.0,0.0
2025-08-21,99.41,99.45,96.95,97.96,51825100,0.0,0.0
2025-08-20,101.15,102.65,100.93,102.57,18655000,0.0,0.0
2025-08-19,100.96,102.43,100.8,101.29,16999000,0.0,0.0
2025-08-18,100.0,100.88,99.92,100.7,11656100,0.0,0.0
2025-08-15,100.63,100.77,99.54,100.0,13604900,0.235,0.0
2025-08-14,100.98,101.2,100.49,100.61,10858400,0.0,0.0
2025-08-13,101.91,102.57,100.61,100.75,19398500,0.0,0.0
2025-08-12,104.01,104.07,103.13,103.38,17915300,0.0,0.0
2025-08-11,103.66,104.09,102.87,103.69,12856700,0.0,0.0
2025-08-08,103.13,104.48,102.91,103.49,12394700,0.0,0.0
2025-08-07,103.22,103.66,101.87,102.88,12509500,0.0,0.0
2025-08-06,99.23,103.45,99.23,103.12,23738400,0.0,0.0
2025-08-05,99.44,100.24,98.68,99.08,17977000,0.0,0.0
2025-08-04,97.97,99.68,97.97,99.36,19050200,0.0,0.0
2025-08-01,97.77,98.6,97.44,98.26,16750400,0.0,0.0
2025-07-31,97.21,98.4,97.08,97.75,15651300,0.0,0.0
2025-07-30,98.38,98.65,97.06,97.36,13864100,0.0,0.0
2025-07-29,97.55,98.49,97.11,98.1,14034300,0.0,0.0
2025-07-28,97.05,97.9,96.85,97.38,12293100,0.0,0.0
2025-07-25,96.61,97.42,96.31,97.24,12868500,0.0,0.0
2025-07-24,95.35,96.73,95.13,96.37,14991500,0.0,0.0
2025-07-23,95.79,96.07,95.07,95.46,9729700,0.0,0.0
2025-07-22,95.62,96.44,95.52,95.63,9049100,0.0,0.0
2025-07-21,95.04,96.41,94.88,95.45,13450400,0.0,0.0
2025-07-18,94.87,95.26,94.21,94.83,14636300,0.0,0.0
2025-07-17,94.86,95.41,94.67,94.87,11165100,0.0,0.0
2025-07-16,95.2,95.61,94.39,94.93,11181600,0.0,0.0
2025-07-15,95.38,95.56,94.72,95.17,10450800,0.0,0.0
2025-07-14,94.29,95.62,94.16,95.56,13779100,0.0,0.0
2025-07-11,94.79,95.31,94.01,94.18,14595000,0.0,0.0
2025-07-10,96.43,96.55,94.52,94.64,18894800,0.0,0.0
2025-07-09,96.92,97.06,96.16,96.58,13702600,0.0,0.0
2025-07-08,98.59,98.94,96.29,96.86,16875000,0.0,0.0
2025-07-07,98.0,99.12,97.39,99.12,12930900,0.0,0.0
2025-07-03,97.47,98.25,97.19,98.13,7686200,0.0,0.0
2025-07-02,97.9,98.15,96.83,97.38,12502000,0.0,0.0
2025-07-01,97.37,98.96,97.19,98.01,15635800,0.0,0.0
2025-06-30,97.0,97.91,96.09,97.55,17803000,0.0,0.0
2025-06-27,96.1,97.53,95.94,97.04,31431900,0.0,0.0
2025-06-26,96.67,97.11,95.7,95.8,19361400,0.0,0.0
2025-06-25,98.08,98.33,96.92,97.03,11154700,0.0,0.0
2025-06-24,97.5,98.88,97.02,97.77,22403700,0.0,0.0
2025-06-23,95.7,97.7,95.45,97.64,20432400,0.0,0.0
2025-06-20,95.02,96.09,94.98,95.9,20604900,0.0,0.0
2025-06-18,94.35,95.27,93.87,94.87,11333700,0.0,0.0
2025-06-17,93.73,94.6,93.4,94.03,14935600,0.0,0.0
2025-06-16,94.53,95.56,93.88,94.07,14881700,0.0,0.0
2025-06-13,94.3,95.1,93.79,94.22,18694700,0.0,0.0
2025-06-12,94.67,95.04,93.21,94.61,17845700,0.0,0.0
2025-06-11,97.06,97.06,95.13,95.58,16389600,0.0,0.0
2025-06-10,97.06,97.86,96.26,97.09,17162500,0.0,0.0
2025-06-09,97.17,97.62,96.54,97.22,13655700,0.0,0.0
2025-06-06,98.14,98.33,96.74,97.24,15599300,0.0,0.0
2025-06-05,99.07,99.36,97.38,97.73,15817100,0.0,0.0
2025-06-04,99.56,99.9,99.09,99.12,11115600,0.0,0.0
2025-06-03,99.34,100.65,98.34,99.75,15598600,0.0,0.0
2025-06-02,98.61,99.68,97.82,99.54,16999200,0.0,0.0
2025-05-30,96.73,98.7,96.37,98.49,29980100,0.0,0.0
2025-05-29,97.4,97.54,96.62,96.87,14338000,0.0,0.0
2025-05-28,97.29,98.01,96.83,97.01,11220100,0.0,0.0
2025-05-27,97.07,97.57,96.35,97.35,17180900,0.0,0.0
