Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-10,8.49,8.49,8.3,8.33,789700,0.0,0.0
2025-10-09,8.5,8.5,8.4,8.43,537200,0.0,0.0
2025-10-08,8.41,8.52,8.33,8.51,732800,0.0,0.0
2025-10-07,8.5,8.55,8.34,8.35,1748800,0.0,0.0
2025-10-06,8.42,8.44,8.32,8.41,886200,0.0,0.0
2025-10-03,8.51,8.61,8.39,8.42,910500,0.0,0.0
2025-10-02,8.47,8.48,8.38,8.48,906600,0.0,0.0
2025-10-01,8.49,8.54,8.36,8.43,1225700,0.0,0.0
2025-09-30,8.58,8.63,8.47,8.52,901400,0.0,0.0
2025-09-29,8.73,8.74,8.53,8.59,1619300,0.0,0.0
2025-09-26,8.64,8.7,8.6,8.67,637100,0.0,0.0
2025-09-25,8.69,8.7,8.55,8.65,983800,0.0,0.0
2025-09-24,8.81,8.88,8.66,8.71,1122200,0.0,0.0
2025-09-23,8.85,8.87,8.78,8.84,944800,0.0,0.0
2025-09-22,8.79,8.87,8.71,8.83,791800,0.0,0.0
2025-09-19,9.02,9.02,8.76,8.81,1584200,0.0,0.0
2025-09-18,8.8,9.03,8.78,8.99,1443700,0.0,0.0
2025-09-17,8.81,8.9,8.69,8.76,1433600,0.0,0.0
2025-09-16,8.75,8.8,8.62,8.79,1095200,0.0,0.0
2025-09-15,8.74,8.9,8.67,8.73,1420100,0.0,0.0
2025-09-12,8.7,8.7,8.53,8.65,1165900,0.0,0.0
2025-09-11,8.51,8.69,8.42,8.69,871300,0.0,0.0
2025-09-10,8.57,8.65,8.48,8.48,1347900,0.0,0.0
2025-09-09,8.79,8.88,8.57,8.64,1602400,0.0,0.0
2025-09-08,8.96,9.0,8.79,8.8,1782500,0.0,0.0
2025-09-05,9.1,9.19,8.92,8.95,1083500,0.0,0.0
2025-09-04,9.08,9.11,8.99,9.06,838600,0.0,0.0
2025-09-03,8.94,9.17,8.94,9.16,901100,0.0,0.0
2025-09-02,8.96,9.1,8.92,8.97,1150400,0.0,0.0
2025-08-29,9.2,9.2,9.01,9.09,746000,0.0,0.0
2025-08-28,9.14,9.2,9.06,9.14,940500,0.0,0.0
