Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Symbol
2025-10-01,138.58,138.98,128.19,128.34,4333300,0.0,0.0,A
2025-09-30,128.35,128.39,123.01,123.42,2417900,0.248,0.0,A
2025-09-29,123.5,123.98,122.32,123.51,1486100,0.0,0.0,A
2025-09-26,123.14,123.8,121.31,121.81,1167100,0.0,0.0,A
2025-09-25,121.65,123.41,120.54,123.41,1411800,0.0,0.0,A
2025-09-24,124.13,125.71,123.83,124.92,1239900,0.0,0.0,A
2025-09-23,125.69,126.74,125.65,125.92,1281500,0.0,0.0,A
2025-09-22,126.08,126.37,124.92,125.25,976700,0.0,0.0,A
2025-09-19,126.07,128.29,125.77,128.02,2844300,0.0,0.0,A
2025-09-18,127.36,128.28,126.51,127.5,1513200,0.0,0.0,A
2025-09-17,126.47,129.82,126.13,127.46,1921700,0.0,0.0,A
2025-09-16,126.94,127.32,124.77,125.38,1721100,0.0,0.0,A
2025-09-15,125.38,126.16,123.45,123.74,2084900,0.0,0.0,A
2025-09-12,122.99,126.28,122.88,126.2,1250800,0.0,0.0,A
2025-09-11,126.48,126.8,124.62,125.26,1474100,0.0,0.0,A
2025-09-10,123.87,126.47,123.76,125.67,1669500,0.0,0.0,A
2025-09-09,126.0,128.0,125.6,127.84,1470300,0.0,0.0,A
2025-09-08,127.87,128.16,126.03,127.22,2136200,0.0,0.0,A
2025-09-05,128.49,130.74,128.13,128.46,1633200,0.0,0.0,A
2025-09-04,128.22,128.57,123.55,124.75,2715400,0.0,0.0,A
2025-09-03,124.97,125.58,123.47,124.71,2497300,0.0,0.0,A
2025-09-02,124.96,125.27,121.56,124.63,2412700,0.0,0.0,A
2025-08-29,125.41,126.05,123.86,124.75,1781200,0.0,0.0,A
2025-08-28,124.71,125.17,117.96,118.56,3886400,0.0,0.0,A
2025-08-27,118.45,118.96,117.27,118.26,1698600,0.0,0.0,A
2025-08-26,118.06,119.39,117.87,118.99,1898200,0.0,0.0,A
2025-08-25,118.91,121.45,118.24,121.26,1482500,0.0,0.0,A
2025-08-22,121.39,122.16,117.23,118.03,1291000,0.0,0.0,A
2025-08-21,116.92,118.46,116.8,118.25,744700,0.0,0.0,A
2025-08-20,118.87,120.22,118.04,119.63,1431900,0.0,0.0,A
2025-08-19,119.87,120.35,117.91,118.26,1313500,0.0,0.0,A
